timestamp,gnb_ip,old_amf_ip,new_amf_ip,migration_us,migration_ms
2025-11-27 15:15:38,10.0.1.15:9487,10.0.0.6,10.0.0.4,650.000,0.650
2025-11-27 15:15:38,10.0.0.4:38412,10.0.0.6,10.0.0.4,1407.000,1.407
2025-11-27 15:15:38,10.0.1.22:9487,10.0.0.6,10.0.0.4,1966.000,1.966
2025-11-27 15:16:38,10.0.1.30:9487,10.0.0.7,10.0.0.4,370.000,0.370
2025-11-27 15:16:38,10.0.0.4:38412,10.0.0.7,10.0.0.4,685.000,0.685
2025-11-27 15:17:38,10.0.1.41:9487,10.0.0.8,10.0.0.4,733.000,0.733
2025-11-27 15:17:38,10.0.0.4:38412,10.0.0.8,10.0.0.4,1304.000,1.304
2025-11-27 15:17:38,10.0.0.4:38412,10.0.0.8,10.0.0.4,2148.000,2.148
2025-11-27 15:17:38,10.0.1.38:9487,10.0.0.8,10.0.0.4,2571.000,2.571
2025-11-27 15:17:38,10.0.0.4:38412,10.0.0.8,10.0.0.4,3075.000,3.075
2025-11-27 15:17:38,10.0.0.4:38412,10.0.0.8,10.0.0.4,3534.000,3.534
2025-11-27 15:22:38,10.0.1.86:9487,10.0.0.4,10.0.0.5,829.000,0.829
2025-11-27 15:22:38,10.0.0.5:38412,10.0.0.4,10.0.0.5,1406.000,1.406
2025-11-27 15:22:38,10.0.0.5:38412,10.0.0.4,10.0.0.5,1983.000,1.983
2025-11-27 15:22:38,10.0.1.54:9487,10.0.0.4,10.0.0.5,2566.000,2.566
2025-11-27 15:22:38,unknown,10.0.0.4,10.0.0.5,3091.000,3.091
2025-11-27 15:22:38,10.0.0.5:38412,10.0.0.4,10.0.0.5,3778.000,3.778
2025-11-27 15:22:38,10.0.0.5:38412,10.0.0.4,10.0.0.5,4156.000,4.156
2025-11-27 15:22:38,10.0.1.94:9487,10.0.0.4,10.0.0.5,4684.000,4.684
2025-11-27 15:22:38,10.0.0.5:38412,10.0.0.4,10.0.0.5,4909.000,4.909
2025-11-27 15:22:38,10.0.1.86:9487,10.0.0.4,10.0.0.5,5254.000,5.254
2025-11-27 15:22:38,10.0.0.5:38412,10.0.0.4,10.0.0.5,5605.000,5.605
2025-11-27 15:22:38,10.0.1.94:9487,10.0.0.4,10.0.0.5,5879.000,5.879
2025-11-27 15:22:38,unknown,10.0.0.4,10.0.0.5,6526.000,6.526
2025-11-27 15:22:38,10.0.1.97:9487,10.0.0.4,10.0.0.5,6995.000,6.995
2025-11-27 15:22:38,unknown,10.0.0.4,10.0.0.5,7309.000,7.309
2025-11-27 15:22:38,10.0.1.71:9487,10.0.0.4,10.0.0.5,7804.000,7.804
2025-11-27 15:22:38,10.0.0.5:38412,10.0.0.4,10.0.0.5,8222.000,8.222
2025-11-27 15:22:38,10.0.0.5:38412,10.0.0.4,10.0.0.5,8437.000,8.437
2025-11-27 15:22:38,10.0.0.5:38412,10.0.0.4,10.0.0.5,8912.000,8.912
2025-11-27 15:22:38,unknown,10.0.0.4,10.0.0.5,9327.000,9.327
2025-11-27 15:22:38,unknown,10.0.0.4,10.0.0.5,9742.000,9.742
2025-11-27 15:22:38,10.0.1.94:9487,10.0.0.4,10.0.0.5,10003.000,10.003
