timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-11-29 15:22:20,10.0.1.0,10.0.0.4,1832.000,1.832
2025-11-29 15:22:25,10.0.1.1,10.0.0.4,1511.000,1.511
2025-11-29 15:22:28,10.0.1.2,10.0.0.4,982.000,0.982
2025-11-29 15:22:32,10.0.1.3,10.0.0.4,701.000,0.701
2025-11-29 15:22:36,10.0.1.4,10.0.0.4,1498.000,1.498
2025-11-29 15:22:40,10.0.1.5,10.0.0.4,514.000,0.514
2025-11-29 15:22:44,10.0.1.6,10.0.0.4,1251.000,1.251
2025-11-29 15:22:47,10.0.1.7,10.0.0.4,669.000,0.669
2025-11-29 15:22:50,10.0.1.8,10.0.0.4,600.000,0.600
2025-11-29 15:22:53,10.0.1.9,10.0.0.4,664.000,0.664
2025-11-29 15:22:54,10.0.1.10,10.0.0.4,1618.000,1.618
2025-11-29 15:22:56,10.0.1.11,10.0.0.4,913.000,0.913
2025-11-29 15:22:59,10.0.1.12,10.0.0.4,964.000,0.964
2025-11-29 15:23:05,10.0.1.13,10.0.0.4,778.000,0.778
2025-11-29 15:23:06,10.0.1.14,10.0.0.4,1576.000,1.576
2025-11-29 15:23:09,10.0.1.15,10.0.0.4,1183.000,1.183
2025-11-29 15:23:13,10.0.1.16,10.0.0.4,1469.000,1.469
2025-11-29 15:23:18,10.0.1.17,10.0.0.4,1329.000,1.329
2025-11-29 15:23:19,10.0.1.18,10.0.0.4,1302.000,1.302
2025-11-29 15:23:21,10.0.1.19,10.0.0.4,1236.000,1.236
2025-11-29 15:23:27,10.0.1.20,10.0.0.4,953.000,0.953
2025-11-29 15:23:29,10.0.1.21,10.0.0.4,1118.000,1.118
2025-11-29 15:23:34,10.0.1.22,10.0.0.4,1408.000,1.408
2025-11-29 15:23:36,10.0.1.23,10.0.0.4,632.000,0.632
2025-11-29 15:23:39,10.0.1.24,10.0.0.4,1793.000,1.793
2025-11-29 15:23:42,10.0.1.25,10.0.0.4,1176.000,1.176
2025-11-29 15:23:44,10.0.1.26,10.0.0.4,516.000,0.516
2025-11-29 15:23:50,10.0.1.27,10.0.0.4,958.000,0.958
