Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-12-01 16:30:41.074,0,0,1,12,0,0,0,0,0,0,0,0,1,12
2025-12-01 16:30:46.455,1,2,1,12,0,0,0,0,0,0,0,0,2,14
2025-12-01 16:30:51.866,1,2,1,12,0,0,0,0,0,0,0,0,2,14
2025-12-01 16:30:57.334,1,2,1,12,0,0,0,0,0,0,0,0,2,14
2025-12-01 16:31:03.167,0,2,1,12,0,0,0,0,0,0,0,0,1,14
2025-12-01 16:31:09.410,0,2,1,12,0,0,0,0,0,0,0,0,1,14
2025-12-01 16:31:15.115,0,2,1,12,0,0,0,0,0,0,0,0,1,14
2025-12-01 16:31:20.565,0,2,1,12,0,0,0,0,0,0,0,0,1,14
2025-12-01 16:31:26.020,0,2,1,12,0,0,0,0,0,0,0,0,1,14
2025-12-01 16:31:32.728,1,3,2,13,0,0,0,0,0,0,0,0,3,16
2025-12-01 16:31:38.234,1,3,2,13,0,0,0,0,0,0,0,0,3,16
2025-12-01 16:31:43.650,1,3,2,13,0,0,0,0,0,0,0,0,3,16
2025-12-01 16:31:49.055,1,3,2,13,0,0,0,0,0,0,0,0,3,16
2025-12-01 16:31:55.206,1,3,2,13,0,0,0,0,0,0,0,0,3,16
2025-12-01 16:32:02.007,2,3,2,13,0,0,0,0,0,0,0,0,4,16
2025-12-01 16:32:09.153,2,3,2,13,0,0,0,0,0,0,0,0,4,16
2025-12-01 16:32:18.008,3,4,2,13,0,0,0,0,0,0,0,0,5,17
2025-12-01 16:32:30.008,3,4,2,13,0,0,0,0,0,0,0,0,5,17
2025-12-01 16:32:47.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-01 16:32:59.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-01 16:33:08.010,1,5,1,13,20,42,0,0,0,0,0,0,22,60
2025-12-01 16:33:14.169,1,5,1,13,20,42,0,0,0,0,0,0,22,60
