timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-11-14 17:31:03,10.0.1.18,10.0.0.4,3625.000,3.625
2025-11-14 17:51:04,10.0.1.19,10.0.0.4,860.000,0.860
2025-11-14 17:51:10,10.0.1.20,10.0.0.4,641.000,0.641
2025-11-14 17:51:11,10.0.1.21,10.0.0.4,693.000,0.693
2025-11-14 17:51:12,10.0.1.22,10.0.0.4,663.000,0.663
2025-11-14 17:51:12,10.0.1.23,10.0.0.4,973.000,0.973
2025-11-14 17:51:17,10.0.1.24,10.0.0.4,1704.000,1.704
2025-11-14 17:51:19,10.0.1.25,10.0.0.4,1512.000,1.512
2025-11-14 17:51:21,10.0.1.26,10.0.0.4,1536.000,1.536
2025-11-14 17:51:26,10.0.1.27,10.0.0.4,1535.000,1.535
2025-11-14 17:51:27,10.0.1.28,10.0.0.4,1702.000,1.702
2025-11-14 17:51:28,10.0.1.29,10.0.0.4,1397.000,1.397
2025-11-14 17:51:51,10.0.1.30,10.0.0.4,1523.000,1.523
2025-11-14 17:51:55,10.0.1.31,10.0.0.4,1177.000,1.177
2025-11-14 17:52:04,10.0.1.32,10.0.0.4,1396.000,1.396
2025-11-14 17:52:05,10.0.1.33,10.0.0.4,1025.000,1.025
2025-11-14 17:52:07,10.0.1.34,10.0.0.4,847.000,0.847
2025-11-14 17:52:08,10.0.1.35,10.0.0.4,391.000,0.391
2025-11-14 17:52:19,10.0.1.36,10.0.0.4,1625.000,1.625
2025-11-14 17:52:24,10.0.1.37,10.0.0.4,614.000,0.614
2025-11-14 17:52:37,10.0.1.38,10.0.0.4,819.000,0.819
2025-11-14 17:52:38,10.0.1.39,10.0.0.4,1225.000,1.225
2025-11-14 17:52:42,10.0.1.40,10.0.0.4,1225.000,1.225
2025-11-14 17:52:47,10.0.1.41,10.0.0.4,1132.000,1.132
2025-11-14 17:52:49,10.0.1.42,10.0.0.4,487.000,0.487
2025-11-14 17:53:19,10.0.1.43,10.0.0.4,1221.000,1.221
2025-11-14 17:53:20,10.0.1.44,10.0.0.4,1189.000,1.189
2025-11-14 17:53:20,10.0.1.45,10.0.0.4,1134.000,1.134
2025-11-14 17:53:28,10.0.1.46,10.0.0.4,602.000,0.602
2025-11-14 17:53:28,10.0.1.47,10.0.0.4,1043.000,1.043
2025-11-14 17:53:56,10.0.1.48,10.0.0.4,993.000,0.993
2025-11-14 17:54:14,10.0.1.49,10.0.0.4,2108.000,2.108
2025-11-14 17:54:14,10.0.1.50,10.0.0.4,1720.000,1.720
2025-11-14 17:54:20,10.0.1.51,10.0.0.4,532.000,0.532
2025-11-14 17:54:21,10.0.1.52,10.0.0.4,1131.000,1.131
2025-11-14 17:54:22,10.0.1.53,10.0.0.4,628.000,0.628
2025-11-14 17:54:25,10.0.1.54,10.0.0.4,1408.000,1.408
2025-11-14 17:54:35,10.0.1.55,10.0.0.4,930.000,0.930
2025-11-14 17:54:39,10.0.1.56,10.0.0.4,958.000,0.958
2025-11-14 17:54:51,10.0.1.57,10.0.0.4,1017.000,1.017
2025-11-14 17:54:53,10.0.1.58,10.0.0.4,852.000,0.852
2025-11-14 17:54:57,10.0.1.59,10.0.0.4,1473.000,1.473
2025-11-14 17:55:05,10.0.1.60,10.0.0.4,904.000,0.904
2025-11-14 17:55:12,10.0.1.62,10.0.0.4,610.000,0.610
2025-11-14 17:55:12,10.0.1.61,10.0.0.4,685.000,0.685
2025-11-14 17:55:12,10.0.1.63,10.0.0.4,737.000,0.737
2025-11-14 17:55:23,10.0.1.64,10.0.0.4,1784.000,1.784
2025-11-14 17:55:25,10.0.1.65,10.0.0.4,1577.000,1.577
2025-11-14 17:55:35,10.0.1.66,10.0.0.4,798.000,0.798
2025-11-14 17:55:36,10.0.1.67,10.0.0.4,961.000,0.961
2025-11-14 17:55:36,10.0.1.68,10.0.0.4,1605.000,1.605
2025-11-14 17:55:43,10.0.1.69,10.0.0.4,643.000,0.643
2025-11-14 17:55:46,10.0.1.70,10.0.0.4,1709.000,1.709
2025-11-14 17:55:48,10.0.1.71,10.0.0.4,527.000,0.527
2025-11-14 17:55:51,10.0.1.72,10.0.0.4,742.000,0.742
2025-11-14 17:55:55,10.0.1.73,10.0.0.4,1514.000,1.514
2025-11-14 17:55:56,10.0.1.74,10.0.0.4,976.000,0.976
2025-11-14 17:56:22,10.0.1.75,10.0.0.4,1051.000,1.051
2025-11-14 17:56:25,10.0.1.76,10.0.0.4,1263.000,1.263
2025-11-14 17:56:26,10.0.1.77,10.0.0.4,918.000,0.918
2025-11-14 17:56:28,10.0.1.78,10.0.0.4,473.000,0.473
2025-11-14 17:56:32,10.0.1.80,10.0.0.4,644.000,0.644
2025-11-14 17:56:41,10.0.1.82,10.0.0.4,450.000,0.450
2025-11-14 17:56:43,10.0.1.84,10.0.0.4,1288.000,1.288
2025-11-14 17:57:00,10.0.1.86,10.0.0.4,2119.000,2.119
2025-11-14 17:57:07,10.0.1.79,10.0.0.5,7268862.000,7268.862
2025-11-14 17:57:07,10.0.1.81,10.0.0.5,7271302.000,7271.302
2025-11-14 17:57:08,10.0.1.87,10.0.0.5,1129.000,1.129
2025-11-14 17:57:09,10.0.1.88,10.0.0.4,720.000,0.720
2025-11-14 17:57:12,10.0.1.89,10.0.0.5,943.000,0.943
2025-11-14 17:57:12,10.0.1.85,10.0.0.5,215376.000,215.376
2025-11-14 17:57:12,10.0.1.83,10.0.0.5,398515.000,398.515
