timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-12-17 19:20:00,10.0.1.0,10.0.0.4,1644.000,1.644
2025-12-17 19:20:05,10.0.1.1,10.0.0.4,1450.000,1.450
2025-12-17 19:20:09,10.0.1.2,10.0.0.4,1284.000,1.284
2025-12-17 19:20:12,10.0.1.3,10.0.0.4,2200.000,2.200
2025-12-17 19:20:16,10.0.1.4,10.0.0.4,1249.000,1.249
2025-12-17 19:20:21,10.0.1.5,10.0.0.4,1026.000,1.026
2025-12-17 19:20:24,10.0.1.6,10.0.0.4,900.000,0.900
2025-12-17 19:20:27,10.0.1.7,10.0.0.4,617.000,0.617
2025-12-17 19:20:30,10.0.1.8,10.0.0.4,1347.000,1.347
2025-12-17 19:20:33,10.0.1.9,10.0.0.4,1115.000,1.115
2025-12-17 19:20:34,10.0.1.10,10.0.0.4,1135.000,1.135
2025-12-17 19:20:36,10.0.1.11,10.0.0.4,575.000,0.575
2025-12-17 19:20:40,10.0.1.12,10.0.0.4,566.000,0.566
2025-12-17 19:20:45,10.0.1.13,10.0.0.4,775.000,0.775
2025-12-17 19:20:46,10.0.1.14,10.0.0.4,1223.000,1.223
2025-12-17 19:20:50,10.0.1.15,10.0.0.4,629.000,0.629
2025-12-17 19:20:58,10.0.1.17,10.0.0.4,1004.000,1.004
2025-12-17 19:20:59,10.0.1.18,10.0.0.4,1072.000,1.072
2025-12-17 19:21:04,10.0.1.16,10.0.0.4,1827451.000,1827.451
2025-12-17 19:21:07,10.0.1.20,10.0.0.4,1557.000,1.557
2025-12-17 19:21:09,10.0.1.21,10.0.0.5,1110.000,1.110
2025-12-17 19:21:12,10.0.1.19,10.0.0.5,2402211.000,2402.211
2025-12-17 19:21:15,10.0.1.22,10.0.0.5,987.000,0.987
2025-12-17 19:21:16,10.0.1.23,10.0.0.5,624.000,0.624
2025-12-17 19:21:19,10.0.1.24,10.0.0.5,990.000,0.990
2025-12-17 19:21:23,10.0.1.25,10.0.0.5,736.000,0.736
2025-12-17 19:21:25,10.0.1.26,10.0.0.5,491.000,0.491
2025-12-17 19:21:30,10.0.1.27,10.0.0.5,566.000,0.566
2025-12-17 19:21:35,10.0.1.28,10.0.0.5,949.000,0.949
2025-12-17 19:21:37,10.0.1.29,10.0.0.5,985.000,0.985
2025-12-17 19:21:39,10.0.1.30,10.0.0.5,1121.000,1.121
2025-12-17 19:21:41,10.0.1.31,10.0.0.5,626.000,0.626
2025-12-17 19:21:44,10.0.1.32,10.0.0.5,940.000,0.940
2025-12-17 19:21:46,10.0.1.33,10.0.0.5,1091.000,1.091
2025-12-17 19:21:47,10.0.1.34,10.0.0.5,1204.000,1.204
2025-12-17 19:21:52,10.0.1.35,10.0.0.5,600.000,0.600
2025-12-17 19:22:01,10.0.1.37,10.0.0.5,573.000,0.573
2025-12-17 19:22:06,10.0.1.36,10.0.0.5,571823.000,571.823
2025-12-17 19:22:11,10.0.1.39,10.0.0.5,1550.000,1.550
2025-12-17 19:22:15,10.0.1.38,10.0.0.5,2393676.000,2393.676
2025-12-17 19:22:17,10.0.1.41,10.0.0.6,2575.000,2.575
2025-12-17 19:22:18,10.0.1.40,10.0.0.6,723954.000,723.954
2025-12-17 19:22:20,10.0.1.42,10.0.0.6,1270.000,1.270
2025-12-17 19:22:22,10.0.1.43,10.0.0.6,801.000,0.801
2025-12-17 19:22:26,10.0.1.44,10.0.0.6,598.000,0.598
2025-12-17 19:22:31,10.0.1.45,10.0.0.6,1302.000,1.302
2025-12-17 19:22:35,10.0.1.46,10.0.0.6,983.000,0.983
2025-12-17 19:22:38,10.0.1.47,10.0.0.6,1722.000,1.722
2025-12-17 19:22:40,10.0.1.48,10.0.0.6,990.000,0.990
2025-12-17 19:22:45,10.0.1.49,10.0.0.6,1371.000,1.371
2025-12-17 19:22:49,10.0.1.50,10.0.0.6,1208.000,1.208
2025-12-17 19:22:50,10.0.1.51,10.0.0.6,1635.000,1.635
2025-12-17 19:22:52,10.0.1.52,10.0.0.6,508.000,0.508
2025-12-17 19:22:58,10.0.1.53,10.0.0.6,1320.000,1.320
2025-12-17 19:23:00,10.0.1.54,10.0.0.6,573.000,0.573
2025-12-17 19:23:05,10.0.1.55,10.0.0.6,906.000,0.906
2025-12-17 19:23:15,10.0.1.57,10.0.0.6,544.000,0.544
2025-12-17 19:23:18,10.0.1.56,10.0.0.6,1567111.000,1567.111
2025-12-17 19:23:21,10.0.1.58,10.0.0.6,738452.000,738.452
2025-12-17 19:23:25,10.0.1.59,10.0.0.7,5001680.000,5001.680
2025-12-17 19:23:26,10.0.1.60,10.0.0.6,1332.000,1.332
2025-12-17 19:23:31,10.0.1.61,10.0.0.7,819.000,0.819
2025-12-17 19:23:36,10.0.1.62,10.0.0.7,599.000,0.599
2025-12-17 19:23:40,10.0.1.63,10.0.0.7,1595.000,1.595
2025-12-17 19:23:41,10.0.1.64,10.0.0.7,962.000,0.962
2025-12-17 19:23:44,10.0.1.65,10.0.0.7,602.000,0.602
2025-12-17 19:23:47,10.0.1.66,10.0.0.7,995.000,0.995
2025-12-17 19:23:49,10.0.1.67,10.0.0.7,1033.000,1.033
2025-12-17 19:23:51,10.0.1.68,10.0.0.7,1403.000,1.403
2025-12-17 19:23:56,10.0.1.69,10.0.0.7,1203.000,1.203
2025-12-17 19:23:58,10.0.1.70,10.0.0.7,1336.000,1.336
2025-12-17 19:24:01,10.0.1.71,10.0.0.7,1724.000,1.724
2025-12-17 19:24:02,10.0.1.72,10.0.0.7,1570.000,1.570
2025-12-17 19:24:06,10.0.1.73,10.0.0.7,1520.000,1.520
2025-12-17 19:24:10,10.0.1.74,10.0.0.7,1032.000,1.032
2025-12-17 19:24:11,10.0.1.75,10.0.0.7,1585.000,1.585
2025-12-17 19:24:20,10.0.1.77,10.0.0.7,908.000,0.908
2025-12-17 19:24:23,10.0.1.78,10.0.0.7,494.000,0.494
2025-12-17 19:24:26,10.0.1.80,10.0.0.7,588.000,0.588
2025-12-17 19:24:29,10.0.1.81,10.0.0.7,1313.000,1.313
2025-12-17 19:24:30,10.0.1.82,10.0.0.7,562.000,0.562
2025-12-17 19:24:32,10.0.1.76,10.0.0.8,1811313.000,1811.313
2025-12-17 19:24:34,10.0.1.79,10.0.0.8,4077578.000,4077.578
2025-12-17 19:24:36,10.0.1.83,10.0.0.8,650.000,0.650
2025-12-17 19:24:38,10.0.1.84,10.0.0.8,1405.000,1.405
2025-12-17 19:24:42,10.0.1.85,10.0.0.8,905.000,0.905
2025-12-17 19:24:44,10.0.1.86,10.0.0.8,536.000,0.536
2025-12-17 19:24:49,10.0.1.87,10.0.0.8,995.000,0.995
2025-12-17 19:24:53,10.0.1.88,10.0.0.8,1179.000,1.179
2025-12-17 19:24:56,10.0.1.89,10.0.0.8,893.000,0.893
2025-12-17 19:25:00,10.0.1.90,10.0.0.8,787.000,0.787
2025-12-17 19:25:05,10.0.1.91,10.0.0.8,639.000,0.639
2025-12-17 19:25:07,10.0.1.92,10.0.0.8,626.000,0.626
2025-12-17 19:25:13,10.0.1.93,10.0.0.8,1607.000,1.607
2025-12-17 19:25:18,10.0.1.94,10.0.0.8,1394.000,1.394
2025-12-17 19:25:22,10.0.1.95,10.0.0.8,490.000,0.490
2025-12-17 19:25:27,10.0.1.96,10.0.0.8,2541.000,2.541
2025-12-17 19:25:28,10.0.1.97,10.0.0.8,554.000,0.554
2025-12-17 19:25:29,10.0.1.98,10.0.0.8,1523.000,1.523
2025-12-17 19:25:34,10.0.1.99,10.0.0.8,480.000,0.480
