Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-12-18 00:49:11.112,3,1,1,9,0,0,0,0,0,0,0,0,4,10
2025-12-18 00:49:17.244,3,1,1,9,0,0,0,0,0,0,0,0,4,10
2025-12-18 00:49:23.363,1,1,1,9,0,0,0,0,0,0,0,0,2,10
2025-12-18 00:49:29.450,1,1,1,9,0,0,0,0,0,0,0,0,2,10
2025-12-18 00:49:35.536,0,1,1,9,0,0,0,0,0,0,0,0,1,10
2025-12-18 00:49:41.643,0,1,1,9,0,0,0,0,0,0,0,0,1,10
2025-12-18 00:49:47.702,0,1,1,9,0,0,0,0,0,0,0,0,1,10
2025-12-18 00:49:53.677,0,1,1,9,0,0,0,0,0,0,0,0,1,10
2025-12-18 00:49:59.696,0,1,1,9,0,0,0,0,0,0,0,0,1,10
2025-12-18 00:50:05.737,0,1,3,9,0,0,0,0,0,0,0,0,3,10
2025-12-18 00:50:11.770,0,1,3,9,0,0,0,0,0,0,0,0,3,10
2025-12-18 00:50:17.799,0,1,3,9,0,0,0,0,0,0,0,0,3,10
2025-12-18 00:50:23.845,3,2,4,9,0,0,0,0,0,0,0,0,7,11
2025-12-18 00:50:29.871,3,2,4,9,0,0,0,0,0,0,0,0,7,11
2025-12-18 00:50:35.890,4,2,6,10,0,0,0,0,0,0,0,0,10,12
2025-12-18 00:50:41.891,4,2,6,10,0,0,0,0,0,0,0,0,10,12
2025-12-18 00:50:47.900,4,2,6,10,0,0,0,0,0,0,0,0,10,12
2025-12-18 00:50:53.899,4,3,7,10,0,0,0,0,0,0,0,0,11,13
2025-12-18 00:50:59.928,4,3,7,10,0,0,0,0,0,0,0,0,11,13
2025-12-18 00:51:05.937,24,3,7,10,0,0,0,0,0,0,0,0,31,13
2025-12-18 00:51:11.957,24,3,7,10,0,0,0,0,0,0,0,0,31,13
2025-12-18 00:51:17.960,24,3,7,10,0,0,0,0,0,0,0,0,31,13
2025-12-18 00:51:23.924,5,4,4,10,289,9,0,0,0,0,0,0,298,23
2025-12-18 00:51:29.896,5,4,4,10,289,9,0,0,0,0,0,0,298,23
2025-12-18 00:51:35.874,4,4,4,10,7,10,0,0,0,0,0,0,15,24
2025-12-18 00:51:41.859,4,4,4,10,7,10,0,0,0,0,0,0,15,24
2025-12-18 00:51:47.857,4,4,4,10,7,10,0,0,0,0,0,0,15,24
2025-12-18 00:51:53.830,4,5,1,10,5,10,0,0,0,0,0,0,10,25
2025-12-18 00:51:59.806,4,5,1,10,5,10,0,0,0,0,0,0,10,25
2025-12-18 00:52:05.786,16,5,1,10,7,10,0,0,0,0,0,0,24,25
2025-12-18 00:52:11.801,16,5,1,10,7,10,0,0,0,0,0,0,24,25
2025-12-18 00:52:17.836,16,5,1,10,7,10,0,0,0,0,0,0,24,25
2025-12-18 00:52:23.813,3,6,1,10,4,10,603,9,0,0,0,0,611,35
2025-12-18 00:52:29.791,3,6,1,10,4,10,603,9,0,0,0,0,611,35
2025-12-18 00:52:35.743,4,7,1,10,2,10,7,10,0,0,0,0,14,37
2025-12-18 00:52:41.722,4,7,1,10,2,10,7,10,0,0,0,0,14,37
2025-12-18 00:52:47.718,4,7,1,10,2,10,7,10,0,0,0,0,14,37
2025-12-18 00:52:53.682,3,7,1,10,1,10,6,10,0,0,0,0,11,37
2025-12-18 00:52:59.653,3,7,1,10,1,10,6,10,0,0,0,0,11,37
2025-12-18 00:53:05.630,4,8,1,10,1,10,6,10,0,0,0,0,12,38
2025-12-18 00:53:11.586,4,8,1,10,1,10,6,10,0,0,0,0,12,38
2025-12-18 00:53:17.624,4,8,1,10,1,10,6,10,0,0,0,0,12,38
2025-12-18 00:53:23.613,17,8,1,10,1,10,5,10,0,0,0,0,24,38
2025-12-18 00:53:29.600,17,8,1,10,1,10,5,10,0,0,0,0,24,38
2025-12-18 00:53:35.565,3,8,1,10,1,10,5,10,569,10,0,0,579,48
2025-12-18 00:53:41.533,3,8,1,10,1,10,5,10,569,10,0,0,579,48
2025-12-18 00:53:47.526,3,8,1,10,1,10,5,10,569,10,0,0,579,48
2025-12-18 00:53:53.527,3,8,1,10,1,10,2,10,4,9,0,0,11,47
2025-12-18 00:53:59.520,3,8,1,10,1,10,2,10,4,9,0,0,11,47
2025-12-18 00:54:05.482,4,10,1,10,1,10,1,10,5,10,0,0,12,50
2025-12-18 00:54:11.470,4,10,1,10,1,10,1,10,5,10,0,0,12,50
2025-12-18 00:54:17.490,4,10,1,10,1,10,1,10,5,10,0,0,12,50
2025-12-18 00:54:23.521,17,10,1,10,1,10,1,10,6,10,0,0,26,50
2025-12-18 00:54:29.559,17,10,1,10,1,10,1,10,6,10,0,0,26,50
2025-12-18 00:54:35.536,17,10,1,10,1,10,1,10,5,10,0,0,25,50
2025-12-18 00:54:41.517,17,10,1,10,1,10,1,10,5,10,0,0,25,50
2025-12-18 00:54:47.494,17,10,1,10,1,10,1,10,5,10,0,0,25,50
2025-12-18 00:54:53.486,5,11,1,10,1,10,1,10,3,10,7,10,18,61
2025-12-18 00:54:59.509,5,11,1,10,1,10,1,10,3,10,7,10,18,61
2025-12-18 00:55:05.578,4,11,1,10,1,10,1,10,1,10,5,10,13,61
2025-12-18 00:55:11.569,4,11,1,10,1,10,1,10,1,10,5,10,13,61
2025-12-18 00:55:17.558,4,11,1,10,1,10,1,10,1,10,5,10,13,61
2025-12-18 00:55:23.558,3,12,1,10,1,10,1,10,1,10,5,10,12,62
2025-12-18 00:55:29.586,3,12,1,10,1,10,1,10,1,10,5,10,12,62
2025-12-18 00:55:35.651,3,12,1,10,1,10,1,10,1,10,5,10,12,62
2025-12-18 00:55:41.680,3,12,1,10,1,10,1,10,1,10,5,10,12,62
2025-12-18 00:55:47.666,3,12,1,10,1,10,1,10,1,10,5,10,12,62
2025-12-18 00:55:53.634,2,13,1,10,1,10,1,10,1,10,5,10,11,63
2025-12-18 00:55:59.606,2,13,1,10,1,10,1,10,1,10,5,10,11,63
2025-12-18 00:56:05.574,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:56:11.566,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:56:17.543,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:56:23.527,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:56:29.499,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:56:35.500,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:56:41.466,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:56:47.476,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:56:53.460,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:56:59.452,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:57:05.440,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:57:11.440,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:57:17.416,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:57:23.408,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:57:29.395,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:57:35.382,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:57:41.371,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:57:47.360,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:57:53.353,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:57:59.307,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:58:05.290,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:58:11.276,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:58:17.258,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:58:23.244,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:58:29.215,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2025-12-18 00:58:35.186,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:58:41.154,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:58:47.125,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2025-12-18 00:58:53.107,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2025-12-18 00:58:59.062,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2025-12-18 00:59:05.020,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2025-12-18 00:59:10.982,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2025-12-18 00:59:16.948,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2025-12-18 00:59:22.921,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2025-12-18 00:59:28.884,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2025-12-18 00:59:34.852,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2025-12-18 00:59:40.854,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2025-12-18 00:59:46.817,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2025-12-18 00:59:52.801,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2025-12-18 00:59:58.754,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2025-12-18 01:00:04.719,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2025-12-18 01:00:10.685,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2025-12-18 01:00:16.656,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2025-12-18 01:00:22.611,1,10,1,10,1,10,1,10,1,10,1,10,6,60
2025-12-18 01:00:28.558,1,10,1,10,1,10,1,10,1,10,1,10,6,60
