Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2026-01-04 17:11:45.609,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-04 17:11:51.728,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-04 17:11:57.807,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-04 17:12:03.904,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-04 17:12:09.965,37,2,8,10,0,0,0,0,0,0,0,0,45,12
2026-01-04 17:12:15.993,37,2,8,10,0,0,0,0,0,0,0,0,45,12
2026-01-04 17:12:22.084,37,2,8,10,0,0,0,0,0,0,0,0,45,12
2026-01-04 17:12:28.167,2,2,7,10,0,0,0,0,0,0,0,0,9,12
2026-01-04 17:12:34.250,2,2,7,10,0,0,0,0,0,0,0,0,9,12
2026-01-04 17:12:40.318,5,2,6,10,0,0,0,0,0,0,0,0,11,12
2026-01-04 17:12:46.322,5,2,6,10,0,0,0,0,0,0,0,0,11,12
2026-01-04 17:12:52.309,5,2,6,10,0,0,0,0,0,0,0,0,11,12
2026-01-04 17:12:58.293,20,3,6,10,112,10,0,0,0,0,0,0,138,23
2026-01-04 17:13:04.282,20,3,6,10,112,10,0,0,0,0,0,0,138,23
2026-01-04 17:13:10.297,4,4,4,10,4,10,0,0,0,0,0,0,12,24
2026-01-04 17:13:16.276,4,4,4,10,4,10,0,0,0,0,0,0,12,24
2026-01-04 17:13:22.241,4,4,4,10,4,10,0,0,0,0,0,0,12,24
2026-01-04 17:13:28.227,3,4,1,10,6,10,0,0,0,0,0,0,10,24
2026-01-04 17:13:34.205,3,4,1,10,6,10,0,0,0,0,0,0,10,24
2026-01-04 17:13:40.219,18,5,1,10,6,10,0,0,0,0,0,0,25,25
2026-01-04 17:13:46.260,18,5,1,10,6,10,0,0,0,0,0,0,25,25
2026-01-04 17:13:52.266,18,5,1,10,6,10,0,0,0,0,0,0,25,25
2026-01-04 17:13:58.265,18,5,1,10,5,10,712,9,0,0,0,0,736,34
2026-01-04 17:14:04.221,18,5,1,10,5,10,712,9,0,0,0,0,736,34
2026-01-04 17:14:10.210,3,6,1,10,4,10,8,9,0,0,0,0,16,35
2026-01-04 17:14:16.182,3,6,1,10,4,10,8,9,0,0,0,0,16,35
2026-01-04 17:14:22.152,3,6,1,10,4,10,8,9,0,0,0,0,16,35
2026-01-04 17:14:28.144,4,6,1,10,4,10,2,10,0,0,0,0,11,36
2026-01-04 17:14:34.120,4,6,1,10,4,10,2,10,0,0,0,0,11,36
2026-01-04 17:14:40.096,3,7,1,10,2,10,6,10,0,0,0,0,12,37
2026-01-04 17:14:46.094,3,7,1,10,2,10,6,10,0,0,0,0,12,37
2026-01-04 17:14:52.162,3,7,1,10,2,10,6,10,0,0,0,0,12,37
2026-01-04 17:14:58.162,16,7,1,10,1,10,5,10,703,85,0,0,726,122
2026-01-04 17:15:04.145,16,7,1,10,1,10,5,10,703,85,0,0,726,122
2026-01-04 17:15:10.120,3,8,1,10,1,10,5,10,11,9,0,0,21,47
2026-01-04 17:15:16.108,3,8,1,10,1,10,5,10,11,9,0,0,21,47
2026-01-04 17:15:22.080,3,8,1,10,1,10,5,10,11,9,0,0,21,47
2026-01-04 17:15:28.045,3,8,1,10,1,10,3,10,11,9,0,0,19,47
2026-01-04 17:15:34.029,3,8,1,10,1,10,3,10,11,9,0,0,19,47
2026-01-04 17:15:40.029,3,8,1,10,1,10,2,10,4,10,0,0,11,48
2026-01-04 17:15:46.005,3,8,1,10,1,10,2,10,4,10,0,0,11,48
2026-01-04 17:15:51.994,3,8,1,10,1,10,2,10,4,10,0,0,11,48
2026-01-04 17:15:58.009,3,9,1,10,1,10,1,10,4,10,0,0,10,49
2026-01-04 17:16:04.055,3,9,1,10,1,10,1,10,4,10,0,0,10,49
2026-01-04 17:16:10.041,15,10,1,10,1,10,1,10,5,10,470,10,493,60
2026-01-04 17:16:16.028,15,10,1,10,1,10,1,10,5,10,470,10,493,60
2026-01-04 17:16:22.018,15,10,1,10,1,10,1,10,5,10,470,10,493,60
2026-01-04 17:16:28.008,15,10,1,10,1,10,1,10,5,10,4,9,27,59
2026-01-04 17:16:33.990,15,10,1,10,1,10,1,10,5,10,4,9,27,59
2026-01-04 17:16:39.995,4,11,1,10,1,10,1,10,2,10,4,9,13,60
2026-01-04 17:16:46.008,4,11,1,10,1,10,1,10,2,10,4,9,13,60
2026-01-04 17:16:52.047,4,11,1,10,1,10,1,10,2,10,4,9,13,60
2026-01-04 17:16:58.087,3,12,1,10,1,10,1,10,1,10,5,10,12,62
2026-01-04 17:17:04.063,3,12,1,10,1,10,1,10,1,10,5,10,12,62
2026-01-04 17:17:10.109,3,12,1,10,1,10,1,10,1,10,6,10,13,62
2026-01-04 17:17:16.139,3,12,1,10,1,10,1,10,1,10,6,10,13,62
2026-01-04 17:17:22.222,3,12,1,10,1,10,1,10,1,10,6,10,13,62
2026-01-04 17:17:28.239,3,12,1,10,1,10,1,10,1,10,3,10,10,62
2026-01-04 17:17:34.246,3,12,1,10,1,10,1,10,1,10,3,10,10,62
2026-01-04 17:17:40.251,2,13,1,10,1,10,1,10,1,10,6,10,12,63
2026-01-04 17:17:46.248,2,13,1,10,1,10,1,10,1,10,6,10,12,63
2026-01-04 17:17:52.224,2,13,1,10,1,10,1,10,1,10,6,10,12,63
2026-01-04 17:17:58.214,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2026-01-04 17:18:04.201,1,13,1,10,1,10,1,10,1,10,1,10,6,63
2026-01-04 17:18:10.186,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2026-01-04 17:18:16.164,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2026-01-04 17:18:22.138,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2026-01-04 17:18:28.108,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2026-01-04 17:18:34.090,0,13,1,10,1,10,1,10,1,10,1,10,5,63
2026-01-04 17:18:40.058,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2026-01-04 17:18:46.040,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2026-01-04 17:18:52.027,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2026-01-04 17:18:58.018,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2026-01-04 17:19:03.987,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2026-01-04 17:19:09.964,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2026-01-04 17:19:15.954,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2026-01-04 17:19:21.954,1,12,1,10,1,10,1,10,1,10,1,10,6,62
2026-01-04 17:19:27.951,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2026-01-04 17:19:33.933,1,11,1,10,1,10,1,10,1,10,1,10,6,61
2026-01-04 17:19:39.887,1,10,1,10,1,10,1,10,1,10,1,10,6,60
2026-01-04 17:19:45.863,1,10,1,10,1,10,1,10,1,10,1,10,6,60
2026-01-04 17:19:51.861,1,10,1,10,1,10,1,10,1,10,1,10,6,60
2026-01-04 17:19:57.827,1,10,1,10,1,10,1,10,1,10,1,10,6,60
