timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2026-01-02 20:37:50,10.0.1.0,10.0.0.4,1334.000,1.334
2026-01-02 20:37:55,10.0.1.1,10.0.0.4,958.000,0.958
2026-01-02 20:37:58,10.0.1.2,10.0.0.4,1354.000,1.354
2026-01-02 20:38:02,10.0.1.3,10.0.0.4,1179.000,1.179
2026-01-02 20:38:06,10.0.1.4,10.0.0.4,1280.000,1.280
2026-01-02 20:38:10,10.0.1.5,10.0.0.4,601.000,0.601
2026-01-02 20:38:13,10.0.1.6,10.0.0.4,667.000,0.667
2026-01-02 20:38:17,10.0.1.7,10.0.0.4,435.000,0.435
2026-01-02 20:38:20,10.0.1.8,10.0.0.4,1150.000,1.150
2026-01-02 20:38:22,10.0.1.9,10.0.0.4,1357.000,1.357
2026-01-02 20:38:24,10.0.1.10,10.0.0.4,1015.000,1.015
2026-01-02 20:38:26,10.0.1.11,10.0.0.4,1195.000,1.195
2026-01-02 20:38:29,10.0.1.12,10.0.0.4,1197.000,1.197
2026-01-02 20:38:35,10.0.1.13,10.0.0.4,1173.000,1.173
2026-01-02 20:38:36,10.0.1.14,10.0.0.4,1025.000,1.025
2026-01-02 20:38:39,10.0.1.15,10.0.0.4,1552.000,1.552
2026-01-02 20:38:43,10.0.1.16,10.0.0.4,1190.000,1.190
2026-01-02 20:38:48,10.0.1.17,10.0.0.4,1333.000,1.333
2026-01-02 20:38:49,10.0.1.18,10.0.0.4,1746.000,1.746
2026-01-02 20:38:51,10.0.1.19,10.0.0.4,1318.000,1.318
2026-01-02 20:38:57,10.0.1.20,10.0.0.4,1226.000,1.226
2026-01-02 20:38:59,10.0.1.21,10.0.0.4,1110.000,1.110
2026-01-02 20:39:04,10.0.1.22,10.0.0.4,872.000,0.872
2026-01-02 20:39:06,10.0.1.23,10.0.0.4,381.000,0.381
2026-01-02 20:39:12,10.0.1.25,10.0.0.4,1033.000,1.033
2026-01-02 20:39:15,10.0.1.24,10.0.0.4,89732.000,89.732
2026-01-02 20:39:20,10.0.1.27,10.0.0.4,1139.000,1.139
2026-01-02 20:39:25,10.0.1.26,10.0.0.5,4695132.000,4695.132
2026-01-02 20:39:25,10.0.1.28,10.0.0.4,23624.000,23.624
2026-01-02 20:39:26,10.0.1.29,10.0.0.5,887.000,0.887
2026-01-02 20:39:29,10.0.1.30,10.0.0.4,804.000,0.804
2026-01-02 20:39:31,10.0.1.31,10.0.0.5,1440.000,1.440
2026-01-02 20:39:33,10.0.1.32,10.0.0.4,457.000,0.457
2026-01-02 20:39:36,10.0.1.33,10.0.0.5,1425.000,1.425
2026-01-02 20:39:37,10.0.1.34,10.0.0.5,1166.000,1.166
2026-01-02 20:39:42,10.0.1.35,10.0.0.5,1684.000,1.684
2026-01-02 20:39:48,10.0.1.36,10.0.0.5,1595.000,1.595
2026-01-02 20:39:51,10.0.1.37,10.0.0.5,413.000,0.413
2026-01-02 20:39:55,10.0.1.38,10.0.0.5,1742.000,1.742
2026-01-02 20:40:00,10.0.1.39,10.0.0.5,1442.000,1.442
2026-01-02 20:40:03,10.0.1.40,10.0.0.5,423.000,0.423
2026-01-02 20:40:07,10.0.1.41,10.0.0.5,957.000,0.957
2026-01-02 20:40:10,10.0.1.42,10.0.0.5,598.000,0.598
2026-01-02 20:40:12,10.0.1.43,10.0.0.5,767.000,0.767
2026-01-02 20:40:16,10.0.1.44,10.0.0.5,1090.000,1.090
2026-01-02 20:40:21,10.0.1.45,10.0.0.5,440.000,0.440
2026-01-02 20:40:25,10.0.1.46,10.0.0.5,1120.000,1.120
2026-01-02 20:40:28,10.0.1.47,10.0.0.5,491.000,0.491
2026-01-02 20:40:30,10.0.1.48,10.0.0.5,436.000,0.436
2026-01-02 20:40:34,10.0.1.49,10.0.0.5,1232.000,1.232
2026-01-02 20:40:39,10.0.1.50,10.0.0.5,910.000,0.910
2026-01-02 20:40:40,10.0.1.51,10.0.0.5,393.000,0.393
2026-01-02 20:40:42,10.0.1.52,10.0.0.5,491.000,0.491
2026-01-02 20:40:48,10.0.1.53,10.0.0.5,1119.000,1.119
2026-01-02 20:40:55,10.0.1.55,10.0.0.5,408.000,0.408
2026-01-02 20:41:00,10.0.1.56,10.0.0.5,1182.000,1.182
2026-01-02 20:41:05,10.0.1.57,10.0.0.5,541.000,0.541
2026-01-02 20:41:06,10.0.1.54,10.0.0.6,688044.000,688.044
2026-01-02 20:41:06,10.0.1.58,10.0.0.5,1157.000,1.157
2026-01-02 20:41:11,10.0.1.59,10.0.0.6,452.000,0.452
2026-01-02 20:41:16,10.0.1.60,10.0.0.5,20525.000,20.525
2026-01-02 20:41:21,10.0.1.61,10.0.0.6,1262.000,1.262
2026-01-02 20:41:26,10.0.1.62,10.0.0.5,1364.000,1.364
2026-01-02 20:41:30,10.0.1.63,10.0.0.6,405.000,0.405
2026-01-02 20:41:31,10.0.1.64,10.0.0.6,417.000,0.417
2026-01-02 20:41:34,10.0.1.65,10.0.0.6,1055.000,1.055
2026-01-02 20:41:37,10.0.1.66,10.0.0.6,425.000,0.425
2026-01-02 20:41:39,10.0.1.67,10.0.0.6,531.000,0.531
2026-01-02 20:41:41,10.0.1.68,10.0.0.6,914.000,0.914
2026-01-02 20:41:47,10.0.1.69,10.0.0.6,927.000,0.927
2026-01-02 20:41:48,10.0.1.70,10.0.0.6,458.000,0.458
2026-01-02 20:41:51,10.0.1.71,10.0.0.6,468.000,0.468
2026-01-02 20:41:53,10.0.1.72,10.0.0.6,422.000,0.422
2026-01-02 20:41:56,10.0.1.73,10.0.0.6,1108.000,1.108
2026-01-02 20:42:00,10.0.1.74,10.0.0.6,1179.000,1.179
2026-01-02 20:42:01,10.0.1.75,10.0.0.6,462.000,0.462
2026-01-02 20:42:07,10.0.1.76,10.0.0.6,411.000,0.411
2026-01-02 20:42:10,10.0.1.77,10.0.0.6,1671.000,1.671
2026-01-02 20:42:13,10.0.1.78,10.0.0.6,424.000,0.424
2026-01-02 20:42:15,10.0.1.79,10.0.0.6,452.000,0.452
2026-01-02 20:42:16,10.0.1.80,10.0.0.6,374.000,0.374
2026-01-02 20:42:19,10.0.1.81,10.0.0.6,507.000,0.507
2026-01-02 20:42:21,10.0.1.82,10.0.0.6,380.000,0.380
2026-01-02 20:42:26,10.0.1.83,10.0.0.6,433.000,0.433
2026-01-02 20:42:28,10.0.1.84,10.0.0.6,430.000,0.430
2026-01-02 20:42:36,10.0.1.86,10.0.0.6,806.000,0.806
2026-01-02 20:42:41,10.0.1.85,10.0.0.6,1597223.000,1597.223
2026-01-02 20:42:44,10.0.1.87,10.0.0.6,682839.000,682.839
2026-01-02 20:42:48,10.0.1.88,10.0.0.6,1687348.000,1687.348
2026-01-02 20:42:50,10.0.1.90,10.0.0.7,1356.000,1.356
2026-01-02 20:42:52,10.0.1.89,10.0.0.6,1711050.000,1711.050
2026-01-02 20:42:55,10.0.1.91,10.0.0.7,417.000,0.417
2026-01-02 20:42:58,10.0.1.92,10.0.0.6,1767.000,1.767
2026-01-02 20:43:03,10.0.1.93,10.0.0.7,1353.000,1.353
2026-01-02 20:43:08,10.0.1.94,10.0.0.7,555.000,0.555
2026-01-02 20:43:13,10.0.1.95,10.0.0.7,492.000,0.492
2026-01-02 20:43:17,10.0.1.96,10.0.0.7,1052.000,1.052
2026-01-02 20:43:18,10.0.1.97,10.0.0.7,1100.000,1.100
2026-01-02 20:43:20,10.0.1.98,10.0.0.7,620.000,0.620
2026-01-02 20:43:25,10.0.1.99,10.0.0.7,1978.000,1.978
2026-01-02 20:43:28,10.0.1.100,10.0.0.7,1135.000,1.135
2026-01-02 20:43:32,10.0.1.101,10.0.0.7,1189.000,1.189
2026-01-02 20:43:37,10.0.1.102,10.0.0.7,1566.000,1.566
2026-01-02 20:43:42,10.0.1.103,10.0.0.7,464.000,0.464
2026-01-02 20:43:45,10.0.1.104,10.0.0.7,1394.000,1.394
2026-01-02 20:43:51,10.0.1.105,10.0.0.7,412.000,0.412
2026-01-02 20:43:56,10.0.1.106,10.0.0.7,1432.000,1.432
2026-01-02 20:43:58,10.0.1.107,10.0.0.7,883.000,0.883
2026-01-02 20:44:01,10.0.1.108,10.0.0.7,435.000,0.435
2026-01-02 20:44:05,10.0.1.109,10.0.0.7,420.000,0.420
2026-01-02 20:44:09,10.0.1.110,10.0.0.7,618.000,0.618
2026-01-02 20:44:15,10.0.1.111,10.0.0.7,427.000,0.427
2026-01-02 20:44:18,10.0.1.112,10.0.0.7,412.000,0.412
2026-01-02 20:44:19,10.0.1.113,10.0.0.7,417.000,0.417
2026-01-02 20:44:23,10.0.1.114,10.0.0.7,434.000,0.434
2026-01-02 20:44:33,10.0.1.116,10.0.0.7,390.000,0.390
2026-01-02 20:44:36,10.0.1.115,10.0.0.7,1459714.000,1459.714
2026-01-02 20:44:40,10.0.1.118,10.0.0.7,414.000,0.414
2026-01-02 20:44:44,10.0.1.117,10.0.0.8,4750874.000,4750.874
2026-01-02 20:44:45,10.0.1.119,10.0.0.7,445.000,0.445
2026-01-02 20:44:48,10.0.1.120,10.0.0.8,506.000,0.506
2026-01-02 20:44:54,10.0.1.121,10.0.0.7,1118.000,1.118
2026-01-02 20:44:55,10.0.1.122,10.0.0.8,402.000,0.402
2026-01-02 20:44:57,10.0.1.123,10.0.0.7,442.000,0.442
2026-01-02 20:44:59,10.0.1.124,10.0.0.8,520.000,0.520
2026-01-02 20:45:04,10.0.1.125,10.0.0.8,23154.000,23.154
2026-01-02 20:45:09,10.0.1.126,10.0.0.8,1124.000,1.124
2026-01-02 20:45:13,10.0.1.127,10.0.0.8,433.000,0.433
2026-01-02 20:45:17,10.0.1.128,10.0.0.8,381.000,0.381
2026-01-02 20:45:19,10.0.1.129,10.0.0.8,410.000,0.410
2026-01-02 20:45:24,10.0.1.130,10.0.0.8,445.000,0.445
2026-01-02 20:45:30,10.0.1.131,10.0.0.8,335.000,0.335
2026-01-02 20:45:35,10.0.1.132,10.0.0.8,713.000,0.713
2026-01-02 20:45:39,10.0.1.133,10.0.0.8,843.000,0.843
2026-01-02 20:45:43,10.0.1.134,10.0.0.8,357.000,0.357
2026-01-02 20:45:48,10.0.1.135,10.0.0.8,1048.000,1.048
2026-01-02 20:45:51,10.0.1.136,10.0.0.8,854.000,0.854
2026-01-02 20:45:56,10.0.1.137,10.0.0.8,362.000,0.362
2026-01-02 20:45:59,10.0.1.138,10.0.0.8,1079.000,1.079
2026-01-02 20:46:01,10.0.1.139,10.0.0.8,1241.000,1.241
2026-01-02 20:46:06,10.0.1.140,10.0.0.8,342.000,0.342
2026-01-02 20:46:12,10.0.1.141,10.0.0.8,1146.000,1.146
2026-01-02 20:46:13,10.0.1.142,10.0.0.8,1027.000,1.027
2026-01-02 20:46:15,10.0.1.143,10.0.0.8,356.000,0.356
2026-01-02 20:46:21,10.0.1.144,10.0.0.8,672.000,0.672
2026-01-02 20:46:22,10.0.1.145,10.0.0.8,892.000,0.892
2026-01-02 20:46:24,10.0.1.146,10.0.0.8,416.000,0.416
2026-01-02 20:46:28,10.0.1.147,10.0.0.8,1384.000,1.384
2026-01-02 20:46:30,10.0.1.148,10.0.0.8,336.000,0.336
2026-01-02 20:46:33,10.0.1.149,10.0.0.8,1416.000,1.416
