timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-12-01 11:59:02,10.0.1.0,10.0.0.4,321.000,0.321
2025-12-01 11:59:07,10.0.1.1,10.0.0.4,249.000,0.249
2025-12-01 11:59:11,10.0.1.2,10.0.0.4,372.000,0.372
2025-12-01 11:59:14,10.0.1.3,10.0.0.4,119.000,0.119
2025-12-01 11:59:18,10.0.1.4,10.0.0.4,563.000,0.563
2025-12-01 11:59:22,10.0.1.5,10.0.0.4,164.000,0.164
2025-12-01 11:59:25,10.0.1.6,10.0.0.4,265.000,0.265
2025-12-01 11:59:28,10.0.1.7,10.0.0.4,99.000,0.099
2025-12-01 11:59:31,10.0.1.8,10.0.0.4,289.000,0.289
2025-12-01 11:59:33,10.0.1.9,10.0.0.4,220.000,0.220
2025-12-01 11:59:34,10.0.1.10,10.0.0.4,288.000,0.288
2025-12-01 11:59:37,10.0.1.11,10.0.0.4,193.000,0.193
2025-12-01 11:59:40,10.0.1.12,10.0.0.4,222.000,0.222
2025-12-01 11:59:45,10.0.1.13,10.0.0.4,202.000,0.202
2025-12-01 11:59:46,10.0.1.14,10.0.0.4,173.000,0.173
2025-12-01 11:59:49,10.0.1.15,10.0.0.4,254.000,0.254
2025-12-01 11:59:52,10.0.1.16,10.0.0.4,204.000,0.204
2025-12-01 11:59:57,10.0.1.17,10.0.0.4,194.000,0.194
2025-12-01 11:59:58,10.0.1.18,10.0.0.4,195.000,0.195
2025-12-01 12:00:01,10.0.1.19,10.0.0.4,159.000,0.159
2025-12-01 12:00:06,10.0.1.20,10.0.0.4,108.000,0.108
2025-12-01 12:00:08,10.0.1.21,10.0.0.4,127.000,0.127
2025-12-01 12:00:13,10.0.1.22,10.0.0.4,135.000,0.135
2025-12-01 12:00:14,10.0.1.23,10.0.0.4,222.000,0.222
2025-12-01 12:00:17,10.0.1.24,10.0.0.4,300.000,0.300
2025-12-01 12:00:20,10.0.1.25,10.0.0.4,167.000,0.167
2025-12-01 12:00:22,10.0.1.26,10.0.0.4,367.000,0.367
2025-12-01 12:00:27,10.0.1.27,10.0.0.4,110.000,0.110
2025-12-01 12:00:33,10.0.1.28,10.0.0.4,273.000,0.273
2025-12-01 12:00:34,10.0.1.29,10.0.0.4,127.000,0.127
2025-12-01 12:00:36,10.0.1.30,10.0.0.4,142.000,0.142
2025-12-01 12:00:38,10.0.1.31,10.0.0.4,223.000,0.223
2025-12-01 12:00:40,10.0.1.32,10.0.0.4,176.000,0.176
2025-12-01 12:00:42,10.0.1.33,10.0.0.4,150.000,0.150
2025-12-01 12:00:43,10.0.1.34,10.0.0.4,210.000,0.210
2025-12-01 12:00:48,10.0.1.35,10.0.0.4,319.000,0.319
2025-12-01 12:00:57,10.0.1.37,10.0.0.4,94.000,0.094
2025-12-01 12:01:06,10.0.1.39,10.0.0.4,179.000,0.179
2025-12-01 12:01:12,10.0.1.41,10.0.0.4,106.000,0.106
2025-12-01 12:01:16,10.0.1.43,10.0.0.4,89.000,0.089
2025-12-01 12:01:30,10.0.1.42,10.0.0.5,1567967.000,1567.967
2025-12-01 12:01:30,10.0.1.44,10.0.0.5,1776746.000,1776.746
2025-12-01 12:01:30,10.0.1.45,10.0.0.5,1885954.000,1885.954
2025-12-01 12:01:31,10.0.1.38,10.0.0.5,2129016.000,2129.016
2025-12-01 12:01:32,10.0.1.36,10.0.0.5,3098832.000,3098.832
2025-12-01 12:01:32,10.0.1.47,10.0.0.5,131.000,0.131
2025-12-01 12:01:33,10.0.1.40,10.0.0.5,1230934.000,1230.934
2025-12-01 12:01:34,10.0.1.46,10.0.0.5,1886671.000,1886.671
2025-12-01 12:01:34,10.0.1.48,10.0.0.5,223.000,0.223
2025-12-01 12:01:38,10.0.1.49,10.0.0.5,120.000,0.120
2025-12-01 12:01:42,10.0.1.50,10.0.0.5,309.000,0.309
2025-12-01 12:01:43,10.0.1.51,10.0.0.5,283.000,0.283
2025-12-01 12:01:45,10.0.1.52,10.0.0.5,138.000,0.138
2025-12-01 12:01:50,10.0.1.53,10.0.0.5,184.000,0.184
2025-12-01 12:01:53,10.0.1.54,10.0.0.5,172.000,0.172
2025-12-01 12:01:58,10.0.1.55,10.0.0.5,316.000,0.316
2025-12-01 12:02:02,10.0.1.56,10.0.0.5,279.000,0.279
2025-12-01 12:02:07,10.0.1.57,10.0.0.5,289.000,0.289
2025-12-01 12:02:08,10.0.1.58,10.0.0.5,167.000,0.167
2025-12-01 12:02:12,10.0.1.59,10.0.0.5,148.000,0.148
2025-12-01 12:02:17,10.0.1.60,10.0.0.5,190.000,0.190
2025-12-01 12:02:22,10.0.1.61,10.0.0.5,311.000,0.311
2025-12-01 12:02:27,10.0.1.62,10.0.0.5,270.000,0.270
2025-12-01 12:02:31,10.0.1.63,10.0.0.5,112.000,0.112
2025-12-01 12:02:32,10.0.1.64,10.0.0.5,104.000,0.104
2025-12-01 12:02:35,10.0.1.65,10.0.0.5,282.000,0.282
2025-12-01 12:02:37,10.0.1.66,10.0.0.5,134.000,0.134
2025-12-01 12:02:39,10.0.1.67,10.0.0.5,310.000,0.310
2025-12-01 12:02:41,10.0.1.68,10.0.0.5,129.000,0.129
2025-12-01 12:02:46,10.0.1.69,10.0.0.5,89.000,0.089
2025-12-01 12:02:47,10.0.1.70,10.0.0.5,295.000,0.295
2025-12-01 12:02:50,10.0.1.71,10.0.0.5,149.000,0.149
2025-12-01 12:02:55,10.0.1.73,10.0.0.5,86.000,0.086
2025-12-01 12:03:00,10.0.1.75,10.0.0.5,117.000,0.117
2025-12-01 12:03:04,10.0.1.74,10.0.0.6,3887271.000,3887.271
2025-12-01 12:03:05,10.0.1.72,10.0.0.6,4840398.000,4840.398
2025-12-01 12:03:05,10.0.1.76,10.0.0.6,247.000,0.247
2025-12-01 12:03:08,10.0.1.77,10.0.0.5,345.000,0.345
2025-12-01 12:03:11,10.0.1.78,10.0.0.6,265.000,0.265
2025-12-01 12:03:12,10.0.1.79,10.0.0.5,148.000,0.148
2025-12-01 12:03:13,10.0.1.80,10.0.0.6,142.000,0.142
2025-12-01 12:03:17,10.0.1.81,10.0.0.5,363.000,0.363
2025-12-01 12:03:18,10.0.1.82,10.0.0.6,133.000,0.133
2025-12-01 12:03:23,10.0.1.83,10.0.0.5,119.000,0.119
2025-12-01 12:03:25,10.0.1.84,10.0.0.6,140.000,0.140
2025-12-01 12:03:29,10.0.1.85,10.0.0.5,122.000,0.122
2025-12-01 12:03:30,10.0.1.86,10.0.0.6,237.000,0.237
2025-12-01 12:03:35,10.0.1.87,10.0.0.5,106.000,0.106
2025-12-01 12:03:39,10.0.1.88,10.0.0.6,315.000,0.315
2025-12-01 12:03:43,10.0.1.89,10.0.0.6,115.000,0.115
2025-12-01 12:03:46,10.0.1.90,10.0.0.6,124.000,0.124
2025-12-01 12:03:51,10.0.1.91,10.0.0.6,136.000,0.136
2025-12-01 12:03:53,10.0.1.92,10.0.0.6,282.000,0.282
2025-12-01 12:03:58,10.0.1.93,10.0.0.6,189.000,0.189
2025-12-01 12:04:03,10.0.1.94,10.0.0.6,195.000,0.195
2025-12-01 12:04:07,10.0.1.95,10.0.0.6,132.000,0.132
2025-12-01 12:04:11,10.0.1.96,10.0.0.6,121.000,0.121
2025-12-01 12:04:12,10.0.1.97,10.0.0.6,131.000,0.131
2025-12-01 12:04:14,10.0.1.98,10.0.0.6,185.000,0.185
2025-12-01 12:04:19,10.0.1.99,10.0.0.6,119.000,0.119
2025-12-01 12:04:22,10.0.1.100,10.0.0.6,139.000,0.139
2025-12-01 12:04:25,10.0.1.101,10.0.0.6,116.000,0.116
2025-12-01 12:04:30,10.0.1.102,10.0.0.6,417.000,0.417
2025-12-01 12:04:35,10.0.1.103,10.0.0.6,230.000,0.230
2025-12-01 12:04:38,10.0.1.104,10.0.0.6,192.000,0.192
2025-12-01 12:04:43,10.0.1.105,10.0.0.6,159.000,0.159
2025-12-01 12:04:48,10.0.1.106,10.0.0.6,138.000,0.138
2025-12-01 12:04:51,10.0.1.107,10.0.0.6,224.000,0.224
2025-12-01 12:04:57,10.0.1.109,10.0.0.6,114.000,0.114
2025-12-01 12:05:06,10.0.1.108,10.0.0.7,4940909.000,4940.909
2025-12-01 12:05:06,10.0.1.110,10.0.0.7,5000365.000,5000.365
2025-12-01 12:05:06,10.0.1.111,10.0.0.6,247.000,0.247
2025-12-01 12:05:09,10.0.1.112,10.0.0.7,93.000,0.093
2025-12-01 12:05:10,10.0.1.113,10.0.0.6,269.000,0.269
2025-12-01 12:05:14,10.0.1.114,10.0.0.7,113.000,0.113
2025-12-01 12:05:18,10.0.1.115,10.0.0.6,132.000,0.132
2025-12-01 12:05:24,10.0.1.116,10.0.0.7,185.000,0.185
2025-12-01 12:05:25,10.0.1.117,10.0.0.6,186.000,0.186
2025-12-01 12:05:30,10.0.1.118,10.0.0.7,118.000,0.118
2025-12-01 12:05:35,10.0.1.119,10.0.0.6,171.000,0.171
2025-12-01 12:05:38,10.0.1.120,10.0.0.7,217.000,0.217
2025-12-01 12:05:43,10.0.1.121,10.0.0.6,270.000,0.270
2025-12-01 12:05:44,10.0.1.122,10.0.0.7,177.000,0.177
2025-12-01 12:05:46,10.0.1.123,10.0.0.6,90.000,0.090
2025-12-01 12:05:48,10.0.1.124,10.0.0.7,20915.000,20.915
2025-12-01 12:05:53,10.0.1.125,10.0.0.6,173.000,0.173
2025-12-01 12:05:58,10.0.1.126,10.0.0.7,145.000,0.145
2025-12-01 12:06:02,10.0.1.127,10.0.0.6,119.000,0.119
2025-12-01 12:06:05,10.0.1.128,10.0.0.7,126.000,0.126
2025-12-01 12:06:07,10.0.1.129,10.0.0.6,238.000,0.238
2025-12-01 12:06:12,10.0.1.130,10.0.0.7,241.000,0.241
2025-12-01 12:06:17,10.0.1.131,10.0.0.6,321.000,0.321
2025-12-01 12:06:22,10.0.1.132,10.0.0.7,111.000,0.111
2025-12-01 12:06:27,10.0.1.133,10.0.0.7,358.000,0.358
2025-12-01 12:06:31,10.0.1.134,10.0.0.7,108.000,0.108
2025-12-01 12:06:35,10.0.1.135,10.0.0.7,154.000,0.154
2025-12-01 12:06:38,10.0.1.136,10.0.0.7,137.000,0.137
2025-12-01 12:06:43,10.0.1.137,10.0.0.7,112.000,0.112
2025-12-01 12:06:45,10.0.1.138,10.0.0.7,153.000,0.153
2025-12-01 12:06:47,10.0.1.139,10.0.0.7,387.000,0.387
2025-12-01 12:06:52,10.0.1.140,10.0.0.7,189.000,0.189
2025-12-01 12:06:57,10.0.1.141,10.0.0.7,220.000,0.220
2025-12-01 12:06:59,10.0.1.142,10.0.0.7,222.000,0.222
2025-12-01 12:07:01,10.0.1.143,10.0.0.7,181.000,0.181
2025-12-01 12:07:09,10.0.1.145,10.0.0.7,82.000,0.082
2025-12-01 12:07:13,10.0.1.147,10.0.0.7,77.000,0.077
2025-12-01 12:07:17,10.0.1.149,10.0.0.7,111.000,0.111
2025-12-01 12:07:28,10.0.1.151,10.0.0.7,123.000,0.123
2025-12-01 12:07:31,10.0.1.153,10.0.0.7,100.000,0.100
2025-12-01 12:07:34,10.0.1.155,10.0.0.7,190.000,0.190
2025-12-01 12:07:42,10.0.1.154,10.0.0.8,2782418.000,2782.418
2025-12-01 12:07:42,10.0.1.157,10.0.0.7,130.000,0.130
2025-12-01 12:07:42,10.0.1.150,10.0.0.8,164829.000,164.829
2025-12-01 12:07:44,10.0.1.144,10.0.0.8,1622903.000,1622.903
2025-12-01 12:07:44,10.0.1.146,10.0.0.8,1729377.000,1729.377
2025-12-01 12:07:44,10.0.1.156,10.0.0.8,1877361.000,1877.361
2025-12-01 12:07:44,10.0.1.148,10.0.0.8,1953289.000,1953.289
2025-12-01 12:07:44,10.0.1.158,10.0.0.8,116.000,0.116
2025-12-01 12:07:45,10.0.1.152,10.0.0.8,294628.000,294.628
2025-12-01 12:07:47,10.0.1.159,10.0.0.7,242.000,0.242
2025-12-01 12:07:51,10.0.1.160,10.0.0.8,199.000,0.199
2025-12-01 12:07:53,10.0.1.161,10.0.0.7,143.000,0.143
2025-12-01 12:07:56,10.0.1.162,10.0.0.8,313.000,0.313
2025-12-01 12:08:01,10.0.1.163,10.0.0.7,151.000,0.151
2025-12-01 12:08:06,10.0.1.164,10.0.0.8,302.000,0.302
2025-12-01 12:08:09,10.0.1.165,10.0.0.7,297.000,0.297
2025-12-01 12:08:12,10.0.1.166,10.0.0.8,173.000,0.173
2025-12-01 12:08:18,10.0.1.167,10.0.0.7,166.000,0.166
2025-12-01 12:08:22,10.0.1.168,10.0.0.8,468.000,0.468
2025-12-01 12:08:26,10.0.1.169,10.0.0.7,104.000,0.104
2025-12-01 12:08:27,10.0.1.170,10.0.0.8,324.000,0.324
2025-12-01 12:08:30,10.0.1.171,10.0.0.7,371.000,0.371
2025-12-01 12:08:35,10.0.1.172,10.0.0.8,294.000,0.294
2025-12-01 12:08:38,10.0.1.173,10.0.0.7,329.000,0.329
2025-12-01 12:08:39,10.0.1.174,10.0.0.8,240.000,0.240
2025-12-01 12:08:44,10.0.1.175,10.0.0.7,222.000,0.222
2025-12-01 12:08:48,10.0.1.176,10.0.0.8,185.000,0.185
2025-12-01 12:08:50,10.0.1.177,10.0.0.8,230.000,0.230
2025-12-01 12:08:55,10.0.1.178,10.0.0.8,196.000,0.196
2025-12-01 12:08:58,10.0.1.179,10.0.0.8,305.000,0.305
2025-12-01 12:09:03,10.0.1.180,10.0.0.8,118.000,0.118
2025-12-01 12:09:08,10.0.1.181,10.0.0.8,304.000,0.304
2025-12-01 12:09:10,10.0.1.182,10.0.0.8,288.000,0.288
2025-12-01 12:09:13,10.0.1.183,10.0.0.8,116.000,0.116
2025-12-01 12:09:15,10.0.1.184,10.0.0.8,211.000,0.211
2025-12-01 12:09:21,10.0.1.185,10.0.0.8,114.000,0.114
2025-12-01 12:09:26,10.0.1.186,10.0.0.8,287.000,0.287
2025-12-01 12:09:29,10.0.1.187,10.0.0.8,325.000,0.325
2025-12-01 12:09:31,10.0.1.188,10.0.0.8,119.000,0.119
2025-12-01 12:09:34,10.0.1.189,10.0.0.8,226.000,0.226
2025-12-01 12:09:36,10.0.1.190,10.0.0.8,184.000,0.184
2025-12-01 12:09:41,10.0.1.191,10.0.0.8,348.000,0.348
2025-12-01 12:09:45,10.0.1.192,10.0.0.8,85.000,0.085
2025-12-01 12:09:50,10.0.1.193,10.0.0.8,177.000,0.177
2025-12-01 12:09:52,10.0.1.194,10.0.0.8,281.000,0.281
2025-12-01 12:09:53,10.0.1.195,10.0.0.8,221.000,0.221
2025-12-01 12:09:57,10.0.1.196,10.0.0.8,172.000,0.172
2025-12-01 12:09:58,10.0.1.197,10.0.0.8,101.000,0.101
2025-12-01 12:10:03,10.0.1.198,10.0.0.8,182.000,0.182
2025-12-01 12:10:05,10.0.1.199,10.0.0.8,494.000,0.494
