Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-11-30 16:55:38.183,0,2,1,42,0,0,0,0,0,0,0,0,1,44
2025-11-30 16:55:43.477,0,2,1,42,0,0,0,0,0,0,0,0,1,44
2025-11-30 16:55:48.786,0,2,1,42,0,0,0,0,0,0,0,0,1,44
2025-11-30 16:55:54.144,0,2,1,42,0,0,0,0,0,0,0,0,1,44
2025-11-30 16:55:59.498,0,2,1,42,0,0,0,0,0,0,0,0,1,44
2025-11-30 16:56:04.806,1,2,1,42,0,0,0,0,0,0,0,0,2,44
2025-11-30 16:56:10.105,1,2,1,42,0,0,0,0,0,0,0,0,2,44
2025-11-30 16:56:15.377,1,2,1,42,0,0,0,0,0,0,0,0,2,44
2025-11-30 16:56:20.701,1,2,1,42,0,0,0,0,0,0,0,0,2,44
2025-11-30 16:56:26.049,1,2,1,42,0,0,0,0,0,0,0,0,2,44
2025-11-30 16:56:31.371,1,2,1,42,0,0,0,0,0,0,0,0,2,44
2025-11-30 16:56:36.669,0,2,1,42,0,0,0,0,0,0,0,0,1,44
2025-11-30 16:56:42.033,0,2,1,42,0,0,0,0,0,0,0,0,1,44
2025-11-30 16:56:47.301,0,2,1,42,0,0,0,0,0,0,0,0,1,44
2025-11-30 16:56:52.557,1,2,2,42,0,0,0,0,0,0,0,0,3,44
2025-11-30 16:56:57.821,1,2,2,42,0,0,0,0,0,0,0,0,3,44
2025-11-30 16:57:03.137,1,2,2,42,0,0,0,0,0,0,0,0,3,44
2025-11-30 16:57:08.516,1,2,2,42,0,0,0,0,0,0,0,0,3,44
2025-11-30 16:57:13.850,1,2,2,42,0,0,0,0,0,0,0,0,3,44
2025-11-30 16:57:19.169,2,3,3,43,0,0,0,0,0,0,0,0,5,46
