timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-12-18 17:12:08,10.0.1.0,10.0.0.4,1485.000,1.485
2025-12-18 17:12:14,10.0.1.1,10.0.0.4,1359.000,1.359
2025-12-18 17:12:17,10.0.1.2,10.0.0.4,1748.000,1.748
2025-12-18 17:12:20,10.0.1.3,10.0.0.4,1388.000,1.388
2025-12-18 17:12:25,10.0.1.4,10.0.0.4,2617.000,2.617
2025-12-18 17:12:29,10.0.1.5,10.0.0.4,975.000,0.975
2025-12-18 17:12:32,10.0.1.6,10.0.0.4,1194.000,1.194
2025-12-18 17:12:36,10.0.1.7,10.0.0.4,827.000,0.827
2025-12-18 17:12:39,10.0.1.8,10.0.0.4,3665.000,3.665
2025-12-18 17:12:42,10.0.1.9,10.0.0.4,746.000,0.746
2025-12-18 17:12:43,10.0.1.10,10.0.0.4,588.000,0.588
2025-12-18 17:12:45,10.0.1.11,10.0.0.4,2541.000,2.541
2025-12-18 17:12:48,10.0.1.12,10.0.0.4,1178.000,1.178
2025-12-18 17:12:54,10.0.1.13,10.0.0.4,638.000,0.638
2025-12-18 17:12:55,10.0.1.14,10.0.0.4,995.000,0.995
2025-12-18 17:12:58,10.0.1.15,10.0.0.4,1048.000,1.048
2025-12-18 17:13:02,10.0.1.16,10.0.0.4,1521.000,1.521
2025-12-18 17:13:07,10.0.1.17,10.0.0.4,1189.000,1.189
2025-12-18 17:13:08,10.0.1.18,10.0.0.4,839.000,0.839
2025-12-18 17:13:11,10.0.1.19,10.0.0.4,649.000,0.649
2025-12-18 17:13:16,10.0.1.20,10.0.0.4,1232.000,1.232
2025-12-18 17:13:18,10.0.1.21,10.0.0.4,659.000,0.659
2025-12-18 17:13:24,10.0.1.22,10.0.0.4,1824.000,1.824
2025-12-18 17:13:25,10.0.1.23,10.0.0.4,796.000,0.796
2025-12-18 17:13:28,10.0.1.24,10.0.0.4,1220.000,1.220
2025-12-18 17:13:32,10.0.1.25,10.0.0.4,563.000,0.563
2025-12-18 17:13:34,10.0.1.26,10.0.0.4,738.000,0.738
2025-12-18 17:13:39,10.0.1.27,10.0.0.4,519.000,0.519
2025-12-18 17:13:45,10.0.1.28,10.0.0.4,1304.000,1.304
2025-12-18 17:13:46,10.0.1.29,10.0.0.4,1906.000,1.906
2025-12-18 17:13:48,10.0.1.30,10.0.0.4,1771.000,1.771
2025-12-18 17:13:51,10.0.1.31,10.0.0.4,1383.000,1.383
2025-12-18 17:13:53,10.0.1.32,10.0.0.4,1205.000,1.205
2025-12-18 17:13:55,10.0.1.33,10.0.0.4,1946.000,1.946
2025-12-18 17:13:56,10.0.1.34,10.0.0.4,461.000,0.461
2025-12-18 17:14:02,10.0.1.35,10.0.0.4,631.000,0.631
2025-12-18 17:14:07,10.0.1.36,10.0.0.4,977.000,0.977
2025-12-18 17:14:10,10.0.1.37,10.0.0.4,623.000,0.623
2025-12-18 17:14:15,10.0.1.38,10.0.0.4,1425.000,1.425
2025-12-18 17:14:20,10.0.1.39,10.0.0.4,1433.000,1.433
2025-12-18 17:14:22,10.0.1.40,10.0.0.4,939.000,0.939
2025-12-18 17:14:27,10.0.1.41,10.0.0.4,1965.000,1.965
2025-12-18 17:14:30,10.0.1.42,10.0.0.4,1276.000,1.276
2025-12-18 17:14:31,10.0.1.43,10.0.0.4,943.000,0.943
2025-12-18 17:14:36,10.0.1.44,10.0.0.4,1321.000,1.321
2025-12-18 17:14:41,10.0.1.45,10.0.0.4,1185.000,1.185
