Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-12-18 22:41:16.225,2,1,1,9,0,0,0,0,0,0,0,0,3,10
2025-12-18 22:41:22.300,2,1,1,9,0,0,0,0,0,0,0,0,3,10
2025-12-18 22:41:28.348,2,1,1,9,0,0,0,0,0,0,0,0,3,10
2025-12-18 22:41:34.410,2,1,1,9,0,0,0,0,0,0,0,0,3,10
2025-12-18 22:41:40.440,1,1,1,9,0,0,0,0,0,0,0,0,2,10
2025-12-18 22:41:46.443,1,1,1,9,0,0,0,0,0,0,0,0,2,10
2025-12-18 22:41:52.490,1,1,1,9,0,0,0,0,0,0,0,0,2,10
2025-12-18 22:41:58.568,1,1,1,9,0,0,0,0,0,0,0,0,2,10
2025-12-18 22:42:04.612,1,1,1,9,0,0,0,0,0,0,0,0,2,10
2025-12-18 22:42:10.666,0,1,1,9,0,0,0,0,0,0,0,0,1,10
2025-12-18 22:42:16.700,0,1,1,9,0,0,0,0,0,0,0,0,1,10
2025-12-18 22:42:22.772,0,1,4,10,0,0,0,0,0,0,0,0,4,11
2025-12-18 22:42:28.796,0,1,4,10,0,0,0,0,0,0,0,0,4,11
2025-12-18 22:42:34.833,0,1,4,10,0,0,0,0,0,0,0,0,4,11
2025-12-18 22:42:40.903,2,2,5,10,0,0,0,0,0,0,0,0,7,12
2025-12-18 22:42:46.961,2,2,5,10,0,0,0,0,0,0,0,0,7,12
2025-12-18 22:42:53.029,4,2,7,10,0,0,0,0,0,0,0,0,11,12
2025-12-18 22:42:59.092,4,2,7,10,0,0,0,0,0,0,0,0,11,12
2025-12-18 22:43:05.111,4,2,7,10,0,0,0,0,0,0,0,0,11,12
2025-12-18 22:43:11.149,4,3,7,10,0,0,0,0,0,0,0,0,11,13
2025-12-18 22:43:17.177,4,3,7,10,0,0,0,0,0,0,0,0,11,13
2025-12-18 22:43:23.259,3,4,6,10,0,0,0,0,0,0,0,0,9,14
2025-12-18 22:43:29.333,3,4,6,10,0,0,0,0,0,0,0,0,9,14
2025-12-18 22:43:35.382,3,4,6,10,0,0,0,0,0,0,0,0,9,14
2025-12-18 22:43:41.447,3,4,7,11,0,0,0,0,0,0,0,0,10,15
2025-12-18 22:43:47.483,3,4,7,11,0,0,0,0,0,0,0,0,10,15
2025-12-18 22:43:53.571,4,4,6,11,0,0,0,0,0,0,0,0,10,15
2025-12-18 22:43:59.635,4,4,6,11,0,0,0,0,0,0,0,0,10,15
2025-12-18 22:44:05.695,4,4,6,11,0,0,0,0,0,0,0,0,10,15
2025-12-18 22:44:11.746,4,5,7,11,0,0,0,0,0,0,0,0,11,16
2025-12-18 22:44:17.786,4,5,7,11,0,0,0,0,0,0,0,0,11,16
2025-12-18 22:44:23.835,3,5,7,11,0,0,0,0,0,0,0,0,10,16
2025-12-18 22:44:29.882,3,5,7,11,0,0,0,0,0,0,0,0,10,16
2025-12-18 22:44:35.945,3,6,6,11,0,0,0,0,0,0,0,0,9,17
2025-12-18 22:44:41.995,3,6,6,11,0,0,0,0,0,0,0,0,9,17
2025-12-18 22:44:48.036,3,6,6,11,0,0,0,0,0,0,0,0,9,17
2025-12-18 22:44:54.081,3,6,6,11,0,0,0,0,0,0,0,0,9,17
2025-12-18 22:45:00.152,3,6,6,11,0,0,0,0,0,0,0,0,9,17
2025-12-18 22:45:06.216,3,7,6,11,0,0,0,0,0,0,0,0,9,18
2025-12-18 22:45:12.251,3,7,6,11,0,0,0,0,0,0,0,0,9,18
2025-12-18 22:45:18.294,3,7,6,11,0,0,0,0,0,0,0,0,9,18
2025-12-18 22:45:24.340,4,8,6,11,0,0,0,0,0,0,0,0,10,19
2025-12-18 22:45:30.385,4,8,6,11,0,0,0,0,0,0,0,0,10,19
2025-12-18 22:45:36.442,3,8,5,11,0,0,0,0,0,0,0,0,8,19
2025-12-18 22:45:42.488,3,8,5,11,0,0,0,0,0,0,0,0,8,19
2025-12-18 22:45:48.548,3,8,5,11,0,0,0,0,0,0,0,0,8,19
2025-12-18 22:45:54.598,2,8,4,11,0,0,0,0,0,0,0,0,6,19
2025-12-18 22:46:00.696,2,8,4,11,0,0,0,0,0,0,0,0,6,19
2025-12-18 22:46:06.718,3,9,4,12,0,0,0,0,0,0,0,0,7,21
2025-12-18 22:46:12.736,3,9,4,12,0,0,0,0,0,0,0,0,7,21
2025-12-18 22:46:18.804,3,9,4,12,0,0,0,0,0,0,0,0,7,21
2025-12-18 22:46:24.888,17,10,1,12,0,0,0,0,0,0,0,0,18,22
2025-12-18 22:46:30.946,17,10,1,12,0,0,0,0,0,0,0,0,18,22
2025-12-18 22:46:37.032,2,10,1,12,288,83,0,0,0,0,0,0,291,105
2025-12-18 22:46:43.125,2,10,1,12,288,83,0,0,0,0,0,0,291,105
2025-12-18 22:46:49.370,2,10,1,12,288,83,0,0,0,0,0,0,291,105
2025-12-18 22:46:55.534,3,11,1,12,288,83,0,0,0,0,0,0,292,106
2025-12-18 22:47:01.675,3,11,1,12,288,83,0,0,0,0,0,0,292,106
2025-12-18 22:47:07.739,5,11,1,12,93,9,0,0,0,0,0,0,99,32
2025-12-18 22:47:13.825,5,11,1,12,93,9,0,0,0,0,0,0,99,32
2025-12-18 22:47:19.952,5,11,1,12,93,9,0,0,0,0,0,0,99,32
