Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2026-01-02 17:01:30.412,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-02 17:01:36.548,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-02 17:01:42.608,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-02 17:01:48.679,16,2,6,9,0,0,0,0,0,0,0,0,22,11
2026-01-02 17:01:54.744,16,2,6,9,0,0,0,0,0,0,0,0,22,11
2026-01-02 17:02:00.804,16,2,6,9,0,0,0,0,0,0,0,0,22,11
2026-01-02 17:02:06.868,16,2,6,9,0,0,0,0,0,0,0,0,22,11
2026-01-02 17:02:12.961,16,2,6,9,0,0,0,0,0,0,0,0,22,11
2026-01-02 17:02:18.971,13,3,5,10,640,90,0,0,0,0,0,0,658,103
2026-01-02 17:02:24.978,13,3,5,10,640,90,0,0,0,0,0,0,658,103
2026-01-02 17:02:30.973,13,3,5,10,640,90,0,0,0,0,0,0,658,103
2026-01-02 17:02:36.969,5,3,2,10,625,9,0,0,0,0,0,0,632,22
2026-01-02 17:02:42.977,5,3,2,10,625,9,0,0,0,0,0,0,632,22
2026-01-02 17:02:49.026,5,3,1,10,9,10,701,9,0,0,0,0,716,32
2026-01-02 17:02:55.081,5,3,1,10,9,10,701,9,0,0,0,0,716,32
2026-01-02 17:03:01.056,5,3,1,10,9,10,701,9,0,0,0,0,716,32
2026-01-02 17:03:07.037,15,4,1,10,1,10,19,9,0,0,0,0,36,33
2026-01-02 17:03:13.009,15,4,1,10,1,10,19,9,0,0,0,0,36,33
2026-01-02 17:03:19.039,12,5,1,10,1,10,5,10,0,0,0,0,19,35
2026-01-02 17:03:25.069,12,5,1,10,1,10,5,10,0,0,0,0,19,35
2026-01-02 17:03:31.055,12,5,1,10,1,10,5,10,0,0,0,0,19,35
2026-01-02 17:03:37.033,4,5,1,10,1,10,4,10,755,85,0,0,765,120
2026-01-02 17:03:42.986,4,5,1,10,1,10,4,10,755,85,0,0,765,120
2026-01-02 17:03:48.973,21,6,1,10,1,10,1,10,33,10,0,0,57,46
2026-01-02 17:03:54.981,21,6,1,10,1,10,1,10,33,10,0,0,57,46
2026-01-02 17:04:01.143,21,6,1,10,1,10,1,10,33,10,0,0,57,46
2026-01-02 17:04:07.179,2,6,1,10,1,10,1,10,4,10,376,10,385,56
2026-01-02 17:04:13.151,2,6,1,10,1,10,1,10,4,10,376,10,385,56
