timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-12-19 12:14:33,10.0.1.0,10.0.0.4,1131.000,1.131
2025-12-19 12:14:39,10.0.1.1,10.0.0.4,1426.000,1.426
2025-12-19 12:14:42,10.0.1.2,10.0.0.4,686.000,0.686
2025-12-19 12:14:45,10.0.1.3,10.0.0.4,1015.000,1.015
2025-12-19 12:14:50,10.0.1.4,10.0.0.4,921.000,0.921
2025-12-19 12:14:54,10.0.1.5,10.0.0.4,1054.000,1.054
2025-12-19 12:14:57,10.0.1.6,10.0.0.4,1369.000,1.369
2025-12-19 12:15:00,10.0.1.7,10.0.0.4,1009.000,1.009
2025-12-19 12:15:04,10.0.1.8,10.0.0.4,1841.000,1.841
2025-12-19 12:15:06,10.0.1.9,10.0.0.4,713.000,0.713
2025-12-19 12:15:07,10.0.1.10,10.0.0.4,2179.000,2.179
2025-12-19 12:15:10,10.0.1.11,10.0.0.4,1553.000,1.553
2025-12-19 12:15:13,10.0.1.12,10.0.0.4,1428.000,1.428
2025-12-19 12:15:18,10.0.1.13,10.0.0.4,560.000,0.560
2025-12-19 12:15:20,10.0.1.14,10.0.0.4,538.000,0.538
2025-12-19 12:15:23,10.0.1.15,10.0.0.4,633.000,0.633
2025-12-19 12:15:26,10.0.1.16,10.0.0.4,913.000,0.913
2025-12-19 12:15:31,10.0.1.17,10.0.0.4,984.000,0.984
2025-12-19 12:15:33,10.0.1.18,10.0.0.4,554.000,0.554
2025-12-19 12:15:35,10.0.1.19,10.0.0.4,1332.000,1.332
2025-12-19 12:15:40,10.0.1.20,10.0.0.4,1017.000,1.017
2025-12-19 12:15:43,10.0.1.21,10.0.0.4,649.000,0.649
2025-12-19 12:15:48,10.0.1.22,10.0.0.4,1606.000,1.606
2025-12-19 12:15:49,10.0.1.23,10.0.0.4,549.000,0.549
2025-12-19 12:15:53,10.0.1.24,10.0.0.4,844.000,0.844
2025-12-19 12:15:56,10.0.1.25,10.0.0.4,495.000,0.495
2025-12-19 12:15:58,10.0.1.26,10.0.0.4,624.000,0.624
2025-12-19 12:16:03,10.0.1.27,10.0.0.4,1088.000,1.088
2025-12-19 12:16:09,10.0.1.28,10.0.0.4,1381.000,1.381
2025-12-19 12:16:10,10.0.1.29,10.0.0.4,1744.000,1.744
2025-12-19 12:16:12,10.0.1.30,10.0.0.4,995.000,0.995
2025-12-19 12:16:15,10.0.1.31,10.0.0.4,565.000,0.565
2025-12-19 12:16:20,10.0.1.33,10.0.0.4,661.000,0.661
2025-12-19 12:16:25,10.0.1.32,10.0.0.4,4511693.000,4511.693
2025-12-19 12:16:26,10.0.1.35,10.0.0.4,943.000,0.943
2025-12-19 12:16:31,10.0.1.36,10.0.0.4,1259.000,1.259
2025-12-19 12:16:36,10.0.1.34,10.0.0.4,1125389.000,1125.389
2025-12-19 12:16:39,10.0.1.37,10.0.0.4,666023.000,666.023
2025-12-19 12:16:44,10.0.1.39,10.0.0.4,1365.000,1.365
2025-12-19 12:16:46,10.0.1.40,10.0.0.5,1038.000,1.038
2025-12-19 12:16:49,10.0.1.38,10.0.0.4,2409969.000,2409.969
2025-12-19 12:16:51,10.0.1.41,10.0.0.5,1480.000,1.480
2025-12-19 12:16:54,10.0.1.42,10.0.0.5,1657.000,1.657
2025-12-19 12:16:55,10.0.1.43,10.0.0.5,1121.000,1.121
2025-12-19 12:16:59,10.0.1.44,10.0.0.5,1157.000,1.157
2025-12-19 12:17:05,10.0.1.45,10.0.0.5,566.000,0.566
2025-12-19 12:17:08,10.0.1.46,10.0.0.5,532.000,0.532
2025-12-19 12:17:11,10.0.1.47,10.0.0.5,966.000,0.966
2025-12-19 12:17:14,10.0.1.48,10.0.0.5,601.000,0.601
2025-12-19 12:17:18,10.0.1.49,10.0.0.5,725.000,0.725
2025-12-19 12:17:22,10.0.1.50,10.0.0.5,909.000,0.909
2025-12-19 12:17:24,10.0.1.51,10.0.0.5,535.000,0.535
2025-12-19 12:17:26,10.0.1.52,10.0.0.5,570.000,0.570
2025-12-19 12:17:31,10.0.1.53,10.0.0.5,579.000,0.579
2025-12-19 12:17:33,10.0.1.54,10.0.0.5,669.000,0.669
2025-12-19 12:17:39,10.0.1.55,10.0.0.5,1392.000,1.392
2025-12-19 12:17:43,10.0.1.56,10.0.0.5,504.000,0.504
2025-12-19 12:17:48,10.0.1.57,10.0.0.5,1557.000,1.557
2025-12-19 12:17:50,10.0.1.58,10.0.0.5,629.000,0.629
2025-12-19 12:17:54,10.0.1.59,10.0.0.5,1592.000,1.592
2025-12-19 12:17:59,10.0.1.60,10.0.0.5,1234.000,1.234
2025-12-19 12:18:05,10.0.1.61,10.0.0.5,536.000,0.536
2025-12-19 12:18:10,10.0.1.62,10.0.0.5,616.000,0.616
2025-12-19 12:18:13,10.0.1.63,10.0.0.5,554.000,0.554
2025-12-19 12:18:14,10.0.1.64,10.0.0.5,547.000,0.547
2025-12-19 12:18:18,10.0.1.65,10.0.0.5,562.000,0.562
2025-12-19 12:18:20,10.0.1.66,10.0.0.5,549.000,0.549
2025-12-19 12:18:22,10.0.1.67,10.0.0.5,621.000,0.621
2025-12-19 12:18:25,10.0.1.68,10.0.0.5,1202.000,1.202
2025-12-19 12:18:30,10.0.1.69,10.0.0.5,532.000,0.532
2025-12-19 12:18:31,10.0.1.70,10.0.0.5,644.000,0.644
2025-12-19 12:18:35,10.0.1.71,10.0.0.5,555.000,0.555
2025-12-19 12:18:39,10.0.1.73,10.0.0.5,1215.000,1.215
2025-12-19 12:18:44,10.0.1.74,10.0.0.5,678.000,0.678
2025-12-19 12:18:47,10.0.1.72,10.0.0.5,1729431.000,1729.431
2025-12-19 12:18:50,10.0.1.75,10.0.0.6,5001228.000,5001.228
2025-12-19 12:18:50,10.0.1.76,10.0.0.5,1355.000,1.355
2025-12-19 12:18:54,10.0.1.77,10.0.0.6,1917.000,1.917
2025-12-19 12:18:57,10.0.1.78,10.0.0.5,599.000,0.599
2025-12-19 12:18:58,10.0.1.79,10.0.0.6,1124.000,1.124
2025-12-19 12:18:59,10.0.1.80,10.0.0.5,1719.000,1.719
2025-12-19 12:19:03,10.0.1.81,10.0.0.6,563.000,0.563
2025-12-19 12:19:04,10.0.1.82,10.0.0.5,466.000,0.466
2025-12-19 12:19:09,10.0.1.83,10.0.0.6,621.000,0.621
2025-12-19 12:19:12,10.0.1.84,10.0.0.5,495.000,0.495
2025-12-19 12:19:16,10.0.1.85,10.0.0.6,633.000,0.633
2025-12-19 12:19:17,10.0.1.86,10.0.0.5,501.000,0.501
2025-12-19 12:19:22,10.0.1.87,10.0.0.6,526.000,0.526
2025-12-19 12:19:27,10.0.1.88,10.0.0.6,574.000,0.574
2025-12-19 12:19:30,10.0.1.89,10.0.0.6,987.000,0.987
2025-12-19 12:19:33,10.0.1.90,10.0.0.6,1532.000,1.532
2025-12-19 12:19:39,10.0.1.91,10.0.0.6,492.000,0.492
2025-12-19 12:19:41,10.0.1.92,10.0.0.6,755.000,0.755
2025-12-19 12:19:46,10.0.1.93,10.0.0.6,515.000,0.515
2025-12-19 12:19:52,10.0.1.94,10.0.0.6,1543.000,1.543
2025-12-19 12:19:56,10.0.1.95,10.0.0.6,1270.000,1.270
2025-12-19 12:20:00,10.0.1.96,10.0.0.6,553.000,0.553
2025-12-19 12:20:02,10.0.1.97,10.0.0.6,635.000,0.635
2025-12-19 12:20:03,10.0.1.98,10.0.0.6,1586.000,1.586
2025-12-19 12:20:08,10.0.1.99,10.0.0.6,615.000,0.615
2025-12-19 12:20:11,10.0.1.100,10.0.0.6,539.000,0.539
2025-12-19 12:20:15,10.0.1.101,10.0.0.6,1709.000,1.709
2025-12-19 12:20:20,10.0.1.102,10.0.0.6,1869.000,1.869
2025-12-19 12:20:25,10.0.1.103,10.0.0.6,1245.000,1.245
2025-12-19 12:20:29,10.0.1.104,10.0.0.6,800.000,0.800
2025-12-19 12:20:34,10.0.1.105,10.0.0.6,587.000,0.587
2025-12-19 12:20:39,10.0.1.106,10.0.0.6,1103.000,1.103
2025-12-19 12:20:41,10.0.1.107,10.0.0.6,564.000,0.564
2025-12-19 12:20:44,10.0.1.108,10.0.0.6,587.000,0.587
2025-12-19 12:20:48,10.0.1.109,10.0.0.6,570.000,0.570
2025-12-19 12:20:52,10.0.1.110,10.0.0.6,1182.000,1.182
2025-12-19 12:20:58,10.0.1.111,10.0.0.6,763.000,0.763
2025-12-19 12:21:01,10.0.1.112,10.0.0.6,1960.000,1.960
2025-12-19 12:21:07,10.0.1.114,10.0.0.6,1553.000,1.553
2025-12-19 12:21:11,10.0.1.115,10.0.0.6,616.000,0.616
2025-12-19 12:21:16,10.0.1.116,10.0.0.6,545.000,0.545
2025-12-19 12:21:18,10.0.1.113,10.0.0.6,527943.000,527.943
2025-12-19 12:21:23,10.0.1.118,10.0.0.6,1199.000,1.199
2025-12-19 12:21:28,10.0.1.119,10.0.0.6,605.000,0.605
2025-12-19 12:21:33,10.0.1.117,10.0.0.6,1032503.000,1032.503
2025-12-19 12:21:37,10.0.1.120,10.0.0.7,5001390.000,5001.390
2025-12-19 12:21:37,10.0.1.121,10.0.0.6,614.000,0.614
