Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2026-01-09 22:59:07.077,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-09 22:59:13.038,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-09 22:59:19.020,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-09 22:59:24.973,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2026-01-09 22:59:30.937,20,2,7,10,0,0,0,0,0,0,0,0,27,12
2026-01-09 22:59:36.949,20,2,7,10,0,0,0,0,0,0,0,0,27,12
2026-01-09 22:59:42.924,20,2,7,10,0,0,0,0,0,0,0,0,27,12
2026-01-09 22:59:48.978,3,2,5,10,0,0,0,0,0,0,0,0,8,12
2026-01-09 22:59:54.946,3,2,5,10,0,0,0,0,0,0,0,0,8,12
2026-01-09 23:00:00.934,5,2,7,10,0,0,0,0,0,0,0,0,12,12
2026-01-09 23:00:06.983,5,2,7,10,0,0,0,0,0,0,0,0,12,12
2026-01-09 23:00:12.984,5,2,7,10,0,0,0,0,0,0,0,0,12,12
2026-01-09 23:00:18.982,4,3,6,10,0,0,0,0,0,0,0,0,10,13
2026-01-09 23:00:24.948,4,3,6,10,0,0,0,0,0,0,0,0,10,13
2026-01-09 23:00:30.905,3,3,7,10,0,0,0,0,0,0,0,0,10,13
2026-01-09 23:00:36.910,3,3,7,10,0,0,0,0,0,0,0,0,10,13
2026-01-09 23:00:42.901,3,3,7,10,0,0,0,0,0,0,0,0,10,13
2026-01-09 23:00:48.922,4,4,6,10,0,0,0,0,0,0,0,0,10,14
2026-01-09 23:00:54.940,4,4,6,10,0,0,0,0,0,0,0,0,10,14
2026-01-09 23:01:00.929,19,4,5,10,338,9,0,0,0,0,0,0,362,23
2026-01-09 23:01:06.963,19,4,5,10,338,9,0,0,0,0,0,0,362,23
2026-01-09 23:01:12.911,19,4,5,10,338,9,0,0,0,0,0,0,362,23
2026-01-09 23:01:18.858,3,6,5,10,352,9,0,0,0,0,0,0,360,25
2026-01-09 23:01:24.802,3,6,5,10,352,9,0,0,0,0,0,0,360,25
2026-01-09 23:01:30.733,4,6,6,11,352,9,0,0,0,0,0,0,362,26
2026-01-09 23:01:36.714,4,6,6,11,352,9,0,0,0,0,0,0,362,26
2026-01-09 23:01:42.738,4,6,6,11,352,9,0,0,0,0,0,0,362,26
2026-01-09 23:01:48.719,3,6,4,11,6,9,0,0,0,0,0,0,13,26
2026-01-09 23:01:54.685,3,6,4,11,6,9,0,0,0,0,0,0,13,26
2026-01-09 23:02:00.619,3,7,1,11,5,10,0,0,0,0,0,0,9,28
2026-01-09 23:02:06.627,3,7,1,11,5,10,0,0,0,0,0,0,9,28
2026-01-09 23:02:12.678,3,7,1,11,5,10,0,0,0,0,0,0,9,28
2026-01-09 23:02:18.647,3,7,1,11,6,10,0,0,0,0,0,0,10,28
2026-01-09 23:02:24.628,3,7,1,11,6,10,0,0,0,0,0,0,10,28
2026-01-09 23:02:30.588,3,8,1,11,5,10,0,0,0,0,0,0,9,29
2026-01-09 23:02:36.594,3,8,1,11,5,10,0,0,0,0,0,0,9,29
2026-01-09 23:02:42.561,3,8,1,11,5,10,0,0,0,0,0,0,9,29
2026-01-09 23:02:48.581,3,8,1,11,4,10,0,0,0,0,0,0,8,29
2026-01-09 23:02:54.560,3,8,1,11,4,10,0,0,0,0,0,0,8,29
2026-01-09 23:03:00.527,2,8,1,11,5,10,0,0,0,0,0,0,8,29
2026-01-09 23:03:06.559,2,8,1,11,5,10,0,0,0,0,0,0,8,29
2026-01-09 23:03:12.635,2,8,1,11,5,10,0,0,0,0,0,0,8,29
2026-01-09 23:03:18.619,24,9,1,11,4,10,658,82,0,0,0,0,687,112
2026-01-09 23:03:24.589,24,9,1,11,4,10,658,82,0,0,0,0,687,112
2026-01-09 23:03:30.553,3,10,1,11,5,10,1,83,0,0,0,0,10,114
2026-01-09 23:03:36.531,3,10,1,11,5,10,1,83,0,0,0,0,10,114
2026-01-09 23:03:42.495,3,10,1,11,5,10,1,83,0,0,0,0,10,114
2026-01-09 23:03:48.461,4,11,1,11,5,10,123,9,0,0,0,0,133,41
2026-01-09 23:03:54.431,4,11,1,11,5,10,123,9,0,0,0,0,133,41
2026-01-09 23:04:00.408,3,11,1,11,4,10,5,10,0,0,0,0,13,42
2026-01-09 23:04:06.385,3,11,1,11,4,10,5,10,0,0,0,0,13,42
2026-01-09 23:04:12.352,3,11,1,11,4,10,5,10,0,0,0,0,13,42
2026-01-09 23:04:18.319,3,11,1,11,1,10,6,10,0,0,0,0,11,42
2026-01-09 23:04:24.317,3,11,1,11,1,10,6,10,0,0,0,0,11,42
2026-01-09 23:04:30.297,3,12,1,11,1,10,4,10,0,0,0,0,9,43
2026-01-09 23:04:36.266,3,12,1,11,1,10,4,10,0,0,0,0,9,43
2026-01-09 23:04:42.297,3,12,1,11,1,10,4,10,0,0,0,0,9,43
2026-01-09 23:04:48.250,3,12,1,11,1,10,6,10,0,0,0,0,11,43
2026-01-09 23:04:54.234,3,12,1,11,1,10,6,10,0,0,0,0,11,43
2026-01-09 23:05:00.205,3,13,1,11,1,10,6,10,0,0,0,0,11,44
2026-01-09 23:05:06.255,3,13,1,11,1,10,6,10,0,0,0,0,11,44
2026-01-09 23:05:12.248,3,13,1,11,1,10,6,10,0,0,0,0,11,44
2026-01-09 23:05:18.232,3,13,1,11,1,10,4,10,0,0,0,0,9,44
2026-01-09 23:05:24.248,3,13,1,11,1,10,4,10,0,0,0,0,9,44
2026-01-09 23:05:30.320,12,14,1,11,1,10,4,10,0,0,0,0,18,45
2026-01-09 23:05:36.317,12,14,1,11,1,10,4,10,0,0,0,0,18,45
2026-01-09 23:05:42.455,12,14,1,11,1,10,4,10,0,0,0,0,18,45
2026-01-09 23:05:48.544,3,14,1,11,1,10,4,10,138,9,0,0,147,54
2026-01-09 23:05:54.616,3,14,1,11,1,10,4,10,138,9,0,0,147,54
2026-01-09 23:06:00.659,3,15,1,11,1,10,6,10,378,9,0,0,389,55
2026-01-09 23:06:06.646,3,15,1,11,1,10,6,10,378,9,0,0,389,55
2026-01-09 23:06:12.683,3,15,1,11,1,10,6,10,378,9,0,0,389,55
2026-01-09 23:06:18.756,3,15,1,11,1,10,5,10,4,9,0,0,14,55
2026-01-09 23:06:24.745,3,15,1,11,1,10,5,10,4,9,0,0,14,55
2026-01-09 23:06:30.734,4,15,1,11,1,10,3,10,4,9,0,0,13,55
2026-01-09 23:06:36.785,4,15,1,11,1,10,3,10,4,9,0,0,13,55
2026-01-09 23:06:42.807,4,15,1,11,1,10,3,10,4,9,0,0,13,55
2026-01-09 23:06:48.851,3,16,1,11,1,10,2,10,6,10,0,0,13,57
2026-01-09 23:06:54.819,3,16,1,11,1,10,2,10,6,10,0,0,13,57
2026-01-09 23:07:00.823,3,16,1,11,1,10,1,10,5,10,0,0,11,57
2026-01-09 23:07:06.844,3,16,1,11,1,10,1,10,5,10,0,0,11,57
2026-01-09 23:07:12.899,3,16,1,11,1,10,1,10,5,10,0,0,11,57
2026-01-09 23:07:18.906,3,17,1,11,1,10,1,10,4,10,0,0,10,58
2026-01-09 23:07:24.949,3,17,1,11,1,10,1,10,4,10,0,0,10,58
2026-01-09 23:07:30.972,3,17,1,11,1,10,1,10,6,10,0,0,12,58
2026-01-09 23:07:36.987,3,17,1,11,1,10,1,10,6,10,0,0,12,58
2026-01-09 23:07:42.990,3,17,1,11,1,10,1,10,6,10,0,0,12,58
2026-01-09 23:07:49.093,3,17,1,11,1,10,1,10,6,10,0,0,12,58
2026-01-09 23:07:55.136,3,17,1,11,1,10,1,10,6,10,0,0,12,58
2026-01-09 23:08:01.160,17,18,1,11,1,10,1,10,6,10,0,0,26,59
2026-01-09 23:08:07.197,17,18,1,11,1,10,1,10,6,10,0,0,26,59
2026-01-09 23:08:13.324,17,18,1,11,1,10,1,10,3,10,132,9,155,68
2026-01-09 23:08:19.342,3,19,1,11,1,10,1,10,3,10,132,9,141,69
2026-01-09 23:08:25.352,3,19,1,11,1,10,1,10,3,10,132,9,141,69
2026-01-09 23:08:31.365,4,19,1,11,1,10,1,10,5,11,354,9,366,70
2026-01-09 23:08:37.458,4,19,1,11,1,10,1,10,5,11,354,9,366,70
2026-01-09 23:08:43.460,4,19,1,11,1,10,1,10,3,10,3,9,13,69
2026-01-09 23:08:49.493,3,19,1,11,1,10,1,10,3,10,3,9,12,69
2026-01-09 23:08:55.502,3,19,1,11,1,10,1,10,3,10,3,9,12,69
2026-01-09 23:09:01.503,3,20,1,11,1,10,1,10,1,10,5,10,12,71
2026-01-09 23:09:07.512,3,20,1,11,1,10,1,10,1,10,5,10,12,71
2026-01-09 23:09:13.594,3,20,1,11,1,10,1,10,1,10,5,10,12,71
2026-01-09 23:09:19.650,2,20,1,11,1,10,1,10,1,10,5,10,11,71
2026-01-09 23:09:25.687,2,20,1,11,1,10,1,10,1,10,5,10,11,71
2026-01-09 23:09:31.765,3,20,1,11,1,10,1,10,1,10,6,10,13,71
2026-01-09 23:09:37.819,3,20,1,11,1,10,1,10,1,10,6,10,13,71
2026-01-09 23:09:43.857,3,20,1,11,1,10,1,10,1,10,5,10,12,71
2026-01-09 23:09:49.959,4,21,1,11,1,10,1,10,1,10,5,10,13,72
2026-01-09 23:09:55.953,4,21,1,11,1,10,1,10,1,10,5,10,13,72
2026-01-09 23:10:01.991,3,22,1,11,1,10,1,10,1,10,5,10,12,73
2026-01-09 23:10:08.032,3,22,1,11,1,10,1,10,1,10,5,10,12,73
2026-01-09 23:10:14.092,2,22,1,11,1,11,1,10,1,10,4,10,10,74
2026-01-09 23:10:20.169,2,22,1,11,1,11,1,10,1,10,4,10,10,74
2026-01-09 23:10:26.199,2,22,1,11,1,11,1,10,1,10,4,10,10,74
2026-01-09 23:10:32.236,3,22,1,11,1,11,1,10,1,10,6,10,13,74
2026-01-09 23:10:38.277,3,22,1,11,1,11,1,10,1,10,6,10,13,74
2026-01-09 23:10:44.339,3,23,1,11,1,11,1,10,1,10,6,10,13,75
2026-01-09 23:10:50.437,3,23,1,11,1,11,1,10,1,10,6,10,13,75
2026-01-09 23:10:56.460,3,23,1,11,1,11,1,10,1,10,6,10,13,75
2026-01-09 23:11:02.480,3,23,1,11,1,11,1,10,1,10,6,10,13,75
2026-01-09 23:11:08.491,3,23,1,11,1,11,1,10,1,10,6,10,13,75
2026-01-09 23:11:14.515,2,23,1,11,1,11,1,10,1,10,1,10,7,75
2026-01-09 23:11:20.545,2,23,1,11,1,11,1,10,1,10,1,10,7,75
2026-01-09 23:11:26.548,2,23,1,11,1,11,1,10,1,10,1,10,7,75
2026-01-09 23:11:32.546,0,23,1,11,1,11,1,10,1,10,1,10,5,75
2026-01-09 23:11:38.561,0,23,1,11,1,11,1,10,1,10,1,10,5,75
2026-01-09 23:11:44.544,0,23,1,11,1,11,1,10,1,10,1,10,5,75
2026-01-09 23:11:50.544,0,23,1,11,1,11,1,10,1,10,1,10,5,75
2026-01-09 23:11:56.527,0,23,1,11,1,11,1,10,1,10,1,10,5,75
2026-01-09 23:12:02.503,1,23,1,11,1,11,1,10,1,10,1,10,6,75
2026-01-09 23:12:08.482,1,23,1,11,1,11,1,10,1,10,1,10,6,75
2026-01-09 23:12:14.460,1,22,1,11,1,11,1,10,1,10,1,10,6,74
2026-01-09 23:12:20.446,1,22,1,11,1,11,1,10,1,10,1,10,6,74
2026-01-09 23:12:26.422,1,22,1,11,1,11,1,10,1,10,1,10,6,74
2026-01-09 23:12:32.412,1,22,1,11,1,11,1,10,1,10,1,10,6,74
2026-01-09 23:12:38.402,1,22,1,11,1,11,1,10,1,10,1,10,6,74
2026-01-09 23:12:44.378,1,22,1,11,1,11,1,10,1,10,1,10,6,74
2026-01-09 23:12:50.375,1,22,1,11,1,11,1,10,1,10,1,10,6,74
2026-01-09 23:12:56.372,1,22,1,11,1,11,1,10,1,10,1,10,6,74
2026-01-09 23:13:02.384,1,21,1,11,1,11,1,10,1,10,1,10,6,73
2026-01-09 23:13:08.377,1,21,1,11,1,11,1,10,1,10,1,10,6,73
2026-01-09 23:13:14.353,1,21,1,11,1,11,1,10,1,10,1,10,6,73
2026-01-09 23:13:20.335,1,21,1,11,1,11,1,10,1,10,1,10,6,73
2026-01-09 23:13:26.315,1,21,1,11,1,11,1,10,1,10,1,10,6,73
2026-01-09 23:13:32.284,1,21,1,11,1,11,1,10,1,10,1,11,6,74
2026-01-09 23:13:38.286,1,21,1,11,1,11,1,10,1,10,1,11,6,74
2026-01-09 23:13:44.301,1,20,1,11,1,11,1,10,1,10,1,11,6,73
2026-01-09 23:13:50.313,1,20,1,11,1,11,1,10,1,10,1,11,6,73
