timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-12-13 10:24:04,10.0.1.0,10.0.0.4,1580.000,1.580
2025-12-13 10:24:05,10.0.1.1,10.0.0.4,614.000,0.614
2025-12-13 10:24:07,10.0.1.2,10.0.0.4,981.000,0.981
2025-12-13 10:24:12,10.0.1.3,10.0.0.4,1212.000,1.212
2025-12-13 10:24:15,10.0.1.4,10.0.0.4,573.000,0.573
2025-12-13 10:24:29,10.0.1.5,10.0.0.4,995.000,0.995
2025-12-13 10:24:31,10.0.1.6,10.0.0.4,595.000,0.595
2025-12-13 10:24:35,10.0.1.7,10.0.0.4,1481.000,1.481
2025-12-13 10:24:44,10.0.1.8,10.0.0.4,1465.000,1.465
2025-12-13 10:24:53,10.0.1.9,10.0.0.4,852.000,0.852
2025-12-13 10:25:04,10.0.1.10,10.0.0.4,464.000,0.464
2025-12-13 10:25:06,10.0.1.11,10.0.0.4,627.000,0.627
2025-12-13 10:25:09,10.0.1.12,10.0.0.4,1724.000,1.724
2025-12-13 10:25:14,10.0.1.13,10.0.0.4,796.000,0.796
2025-12-13 10:25:18,10.0.1.14,10.0.0.4,1753.000,1.753
2025-12-13 10:25:22,10.0.1.15,10.0.0.4,1337.000,1.337
2025-12-13 10:25:25,10.0.1.16,10.0.0.4,1130.000,1.130
2025-12-13 10:25:28,10.0.1.17,10.0.0.4,1337.000,1.337
2025-12-13 10:25:33,10.0.1.19,10.0.0.4,527.000,0.527
2025-12-13 10:25:37,10.0.1.20,10.0.0.4,440.000,0.440
2025-12-13 10:25:44,10.0.1.21,10.0.0.4,1279.000,1.279
2025-12-13 10:25:47,10.0.1.23,10.0.0.4,947.000,0.947
2025-12-13 10:25:51,10.0.1.22,10.0.0.4,3919560.000,3919.560
2025-12-13 10:25:52,10.0.1.18,10.0.0.5,5313498.000,5313.498
2025-12-13 10:26:02,10.0.1.24,10.0.0.4,728.000,0.728
2025-12-13 10:26:07,10.0.1.25,10.0.0.5,1001.000,1.001
2025-12-13 10:26:11,10.0.1.26,10.0.0.4,544.000,0.544
2025-12-13 10:26:13,10.0.1.27,10.0.0.5,1614.000,1.614
2025-12-13 10:26:21,10.0.1.28,10.0.0.4,1059.000,1.059
2025-12-13 10:26:35,10.0.1.29,10.0.0.5,443.000,0.443
2025-12-13 10:26:45,10.0.1.30,10.0.0.4,1417.000,1.417
2025-12-13 10:26:54,10.0.1.31,10.0.0.5,429.000,0.429
2025-12-13 10:26:56,10.0.1.32,10.0.0.4,1538.000,1.538
2025-12-13 10:27:00,10.0.1.33,10.0.0.5,1260.000,1.260
2025-12-13 10:27:11,10.0.1.34,10.0.0.4,872.000,0.872
2025-12-13 10:27:13,10.0.1.35,10.0.0.5,1058.000,1.058
2025-12-13 10:27:15,10.0.1.36,10.0.0.4,996.000,0.996
2025-12-13 10:27:20,10.0.1.37,10.0.0.5,897.000,0.897
2025-12-13 10:27:31,10.0.1.38,10.0.0.4,1358.000,1.358
2025-12-13 10:27:35,10.0.1.39,10.0.0.5,902.000,0.902
2025-12-13 10:27:36,10.0.1.40,10.0.0.4,1696.000,1.696
2025-12-13 10:27:39,10.0.1.41,10.0.0.5,1410.000,1.410
2025-12-13 10:27:59,10.0.1.42,10.0.0.4,1312.000,1.312
2025-12-13 10:28:03,10.0.1.43,10.0.0.5,1541.000,1.541
2025-12-13 10:28:07,10.0.1.44,10.0.0.4,1285.000,1.285
2025-12-13 10:28:11,10.0.1.45,10.0.0.5,1330.000,1.330
2025-12-13 10:28:17,10.0.1.46,10.0.0.4,1123.000,1.123
2025-12-13 10:28:18,10.0.1.47,10.0.0.5,1717.000,1.717
2025-12-13 10:28:21,10.0.1.48,10.0.0.4,1198.000,1.198
2025-12-13 10:28:22,10.0.1.49,10.0.0.5,1287.000,1.287
2025-12-13 10:28:24,10.0.1.50,10.0.0.4,1027.000,1.027
2025-12-13 10:28:48,10.0.1.51,10.0.0.5,1166.000,1.166
2025-12-13 10:28:51,10.0.1.52,10.0.0.4,1220.000,1.220
2025-12-13 10:28:57,10.0.1.53,10.0.0.5,1345.000,1.345
2025-12-13 10:28:58,10.0.1.54,10.0.0.4,1227.000,1.227
2025-12-13 10:29:01,10.0.1.55,10.0.0.5,517.000,0.517
2025-12-13 10:29:07,10.0.1.56,10.0.0.4,1446.000,1.446
2025-12-13 10:29:16,10.0.1.57,10.0.0.5,570.000,0.570
2025-12-13 10:29:21,10.0.1.58,10.0.0.4,815.000,0.815
2025-12-13 10:29:38,10.0.1.59,10.0.0.5,1230.000,1.230
2025-12-13 10:29:44,10.0.1.60,10.0.0.4,1214.000,1.214
2025-12-13 10:29:45,10.0.1.61,10.0.0.5,441.000,0.441
2025-12-13 10:29:51,10.0.1.62,10.0.0.4,1670.000,1.670
2025-12-13 10:30:00,10.0.1.63,10.0.0.5,449.000,0.449
2025-12-13 10:30:05,10.0.1.64,10.0.0.4,1424.000,1.424
2025-12-13 10:30:07,10.0.1.65,10.0.0.5,1756.000,1.756
2025-12-13 10:30:08,10.0.1.66,10.0.0.4,1038.000,1.038
2025-12-13 10:30:15,10.0.1.67,10.0.0.5,697.000,0.697
2025-12-13 10:30:27,10.0.1.68,10.0.0.4,423.000,0.423
2025-12-13 10:30:29,10.0.1.69,10.0.0.5,1635.000,1.635
