Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-12-13 15:53:30.493,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2025-12-13 15:53:36.462,0,0,1,9,0,0,0,0,0,0,0,0,1,9
2025-12-13 15:53:42.453,3,2,1,9,0,0,0,0,0,0,0,0,4,11
2025-12-13 15:53:48.411,3,2,1,9,0,0,0,0,0,0,0,0,4,11
2025-12-13 15:53:54.370,3,2,1,9,0,0,0,0,0,0,0,0,4,11
2025-12-13 15:54:00.308,0,1,1,9,0,0,0,0,0,0,0,0,1,10
2025-12-13 15:54:06.274,0,1,1,9,0,0,0,0,0,0,0,0,1,10
2025-12-13 15:54:12.266,0,1,4,9,0,0,0,0,0,0,0,0,4,10
2025-12-13 15:54:18.215,0,1,4,9,0,0,0,0,0,0,0,0,4,10
2025-12-13 15:54:24.187,0,1,4,9,0,0,0,0,0,0,0,0,4,10
2025-12-13 15:54:30.164,2,2,8,10,0,0,0,0,0,0,0,0,10,12
2025-12-13 15:54:36.122,2,2,8,10,0,0,0,0,0,0,0,0,10,12
2025-12-13 15:54:42.084,2,2,1,9,0,0,0,0,0,0,0,0,3,11
2025-12-13 15:54:48.041,2,2,1,9,0,0,0,0,0,0,0,0,3,11
2025-12-13 15:54:54.017,2,2,1,9,0,0,0,0,0,0,0,0,3,11
2025-12-13 15:55:00.021,2,2,4,10,0,0,0,0,0,0,0,0,6,12
2025-12-13 15:55:06.005,2,2,4,10,0,0,0,0,0,0,0,0,6,12
2025-12-13 15:55:11.958,2,2,3,10,0,0,0,0,0,0,0,0,5,12
2025-12-13 15:55:17.981,2,2,3,10,0,0,0,0,0,0,0,0,5,12
2025-12-13 15:55:23.943,2,2,3,10,0,0,0,0,0,0,0,0,5,12
2025-12-13 15:55:29.930,3,3,5,10,0,0,0,0,0,0,0,0,8,13
2025-12-13 15:55:36.014,3,3,5,10,0,0,0,0,0,0,0,0,8,13
2025-12-13 15:55:42.087,3,3,5,10,0,0,0,0,0,0,0,0,8,13
2025-12-13 15:55:48.146,3,3,5,10,0,0,0,0,0,0,0,0,8,13
2025-12-13 15:55:54.172,3,3,5,10,0,0,0,0,0,0,0,0,8,13
2025-12-13 15:56:00.119,17,4,6,10,555,9,0,0,0,0,0,0,578,23
2025-12-13 15:56:06.058,17,4,6,10,555,9,0,0,0,0,0,0,578,23
2025-12-13 15:56:12.017,3,3,4,10,1,9,0,0,0,0,0,0,8,22
2025-12-13 15:56:17.974,3,3,4,10,1,9,0,0,0,0,0,0,8,22
2025-12-13 15:56:23.913,3,3,4,10,1,9,0,0,0,0,0,0,8,22
2025-12-13 15:56:29.836,2,3,3,10,1,9,0,0,0,0,0,0,6,22
2025-12-13 15:56:35.787,2,3,3,10,1,9,0,0,0,0,0,0,6,22
2025-12-13 15:56:41.749,1,3,2,10,4,9,0,0,0,0,0,0,7,22
2025-12-13 15:56:47.708,1,3,2,10,4,9,0,0,0,0,0,0,7,22
2025-12-13 15:56:53.641,1,3,2,10,4,9,0,0,0,0,0,0,7,22
2025-12-13 15:56:59.589,2,3,2,10,2,10,0,0,0,0,0,0,6,23
2025-12-13 15:57:05.542,2,3,2,10,2,10,0,0,0,0,0,0,6,23
2025-12-13 15:57:11.474,3,3,2,10,2,10,0,0,0,0,0,0,7,23
2025-12-13 15:57:17.411,3,3,2,10,2,10,0,0,0,0,0,0,7,23
2025-12-13 15:57:23.370,3,3,2,10,2,10,0,0,0,0,0,0,7,23
2025-12-13 15:57:29.326,3,3,4,10,3,10,0,0,0,0,0,0,10,23
2025-12-13 15:57:35.268,3,3,4,10,3,10,0,0,0,0,0,0,10,23
2025-12-13 15:57:41.211,2,3,2,10,2,10,0,0,0,0,0,0,6,23
2025-12-13 15:57:47.168,2,3,2,10,2,10,0,0,0,0,0,0,6,23
2025-12-13 15:57:53.115,2,3,2,10,2,10,0,0,0,0,0,0,6,23
2025-12-13 15:57:59.070,2,3,2,10,3,10,0,0,0,0,0,0,7,23
2025-12-13 15:58:05.015,2,3,2,10,3,10,0,0,0,0,0,0,7,23
2025-12-13 15:58:10.969,2,3,2,10,1,10,0,0,0,0,0,0,5,23
2025-12-13 15:58:16.901,2,3,2,10,1,10,0,0,0,0,0,0,5,23
2025-12-13 15:58:22.839,2,3,2,10,1,10,0,0,0,0,0,0,5,23
2025-12-13 15:58:28.787,3,3,3,10,3,10,0,0,0,0,0,0,9,23
2025-12-13 15:58:34.721,3,3,3,10,3,10,0,0,0,0,0,0,9,23
2025-12-13 15:58:40.649,5,3,3,10,2,10,0,0,0,0,0,0,10,23
2025-12-13 15:58:46.612,5,3,3,10,2,10,0,0,0,0,0,0,10,23
2025-12-13 15:58:52.547,5,3,3,10,2,10,0,0,0,0,0,0,10,23
2025-12-13 15:58:58.484,1,3,1,10,1,10,0,0,0,0,0,0,3,23
2025-12-13 15:59:04.430,1,3,1,10,1,10,0,0,0,0,0,0,3,23
2025-12-13 15:59:10.385,2,3,2,10,2,10,0,0,0,0,0,0,6,23
