timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-12-17 18:15:18,10.0.1.0,10.0.0.6,1523.000,1.523
2025-12-17 18:15:24,10.0.1.1,10.0.0.8,2148.000,2.148
2025-12-17 18:15:27,10.0.1.2,10.0.0.5,1145.000,1.145
2025-12-17 18:15:30,10.0.1.3,10.0.0.4,1314.000,1.314
2025-12-17 18:15:35,10.0.1.4,10.0.0.7,1409.000,1.409
2025-12-17 18:15:39,10.0.1.5,10.0.0.4,1428.000,1.428
2025-12-17 18:15:42,10.0.1.6,10.0.0.8,969.000,0.969
2025-12-17 18:15:46,10.0.1.7,10.0.0.5,1105.000,1.105
2025-12-17 18:15:49,10.0.1.8,10.0.0.6,2090.000,2.090
2025-12-17 18:15:51,10.0.1.9,10.0.0.7,1718.000,1.718
2025-12-17 18:15:53,10.0.1.10,10.0.0.4,998.000,0.998
2025-12-17 18:15:55,10.0.1.11,10.0.0.5,1273.000,1.273
2025-12-17 18:15:58,10.0.1.12,10.0.0.8,870.000,0.870
2025-12-17 18:16:03,10.0.1.13,10.0.0.7,527.000,0.527
2025-12-17 18:16:05,10.0.1.14,10.0.0.6,1310.000,1.310
2025-12-17 18:16:08,10.0.1.15,10.0.0.6,2157.000,2.157
2025-12-17 18:16:11,10.0.1.16,10.0.0.4,674.000,0.674
2025-12-17 18:16:17,10.0.1.17,10.0.0.8,1412.000,1.412
2025-12-17 18:16:18,10.0.1.18,10.0.0.5,1057.000,1.057
2025-12-17 18:16:20,10.0.1.19,10.0.0.7,550.000,0.550
2025-12-17 18:16:25,10.0.1.20,10.0.0.5,1222.000,1.222
2025-12-17 18:16:28,10.0.1.21,10.0.0.4,1460.000,1.460
2025-12-17 18:16:33,10.0.1.22,10.0.0.8,522.000,0.522
2025-12-17 18:16:34,10.0.1.23,10.0.0.6,1528.000,1.528
2025-12-17 18:16:38,10.0.1.24,10.0.0.7,1256.000,1.256
2025-12-17 18:16:41,10.0.1.25,10.0.0.5,767.000,0.767
2025-12-17 18:16:43,10.0.1.26,10.0.0.5,2042.000,2.042
2025-12-17 18:16:49,10.0.1.27,10.0.0.7,1198.000,1.198
2025-12-17 18:16:54,10.0.1.28,10.0.0.8,882.000,0.882
2025-12-17 18:16:55,10.0.1.29,10.0.0.4,1747.000,1.747
2025-12-17 18:16:57,10.0.1.30,10.0.0.6,1857.000,1.857
2025-12-17 18:17:00,10.0.1.31,10.0.0.6,652.000,0.652
2025-12-17 18:17:02,10.0.1.32,10.0.0.8,1530.000,1.530
2025-12-17 18:17:04,10.0.1.33,10.0.0.7,543.000,0.543
2025-12-17 18:17:06,10.0.1.34,10.0.0.5,480.000,0.480
2025-12-17 18:17:11,10.0.1.35,10.0.0.4,562.000,0.562
2025-12-17 18:17:16,10.0.1.36,10.0.0.4,1428.000,1.428
2025-12-17 18:17:19,10.0.1.37,10.0.0.8,979.000,0.979
2025-12-17 18:17:24,10.0.1.38,10.0.0.6,1025.000,1.025
2025-12-17 18:17:29,10.0.1.39,10.0.0.7,1161.000,1.161
2025-12-17 18:17:31,10.0.1.40,10.0.0.5,1254.000,1.254
2025-12-17 18:17:36,10.0.1.41,10.0.0.5,1193.000,1.193
2025-12-17 18:17:39,10.0.1.42,10.0.0.8,1862.000,1.862
2025-12-17 18:17:40,10.0.1.43,10.0.0.4,1600.000,1.600
2025-12-17 18:17:45,10.0.1.44,10.0.0.6,568.000,0.568
2025-12-17 18:17:50,10.0.1.45,10.0.0.7,1340.000,1.340
2025-12-17 18:17:53,10.0.1.46,10.0.0.7,3073.000,3.073
2025-12-17 18:17:56,10.0.1.47,10.0.0.5,1718.000,1.718
2025-12-17 18:17:59,10.0.1.48,10.0.0.4,1065.000,1.065
2025-12-17 18:18:03,10.0.1.49,10.0.0.8,1250.000,1.250
2025-12-17 18:18:07,10.0.1.50,10.0.0.4,917.000,0.917
2025-12-17 18:18:09,10.0.1.51,10.0.0.7,1793.000,1.793
2025-12-17 18:18:11,10.0.1.52,10.0.0.6,1463.000,1.463
2025-12-17 18:18:16,10.0.1.53,10.0.0.8,1297.000,1.297
2025-12-17 18:18:19,10.0.1.54,10.0.0.5,986.000,0.986
2025-12-17 18:18:24,10.0.1.55,10.0.0.5,1343.000,1.343
2025-12-17 18:18:28,10.0.1.56,10.0.0.4,506.000,0.506
2025-12-17 18:18:33,10.0.1.57,10.0.0.6,971.000,0.971
2025-12-17 18:18:35,10.0.1.58,10.0.0.8,1617.000,1.617
2025-12-17 18:18:39,10.0.1.59,10.0.0.7,1163.000,1.163
2025-12-17 18:18:44,10.0.1.60,10.0.0.7,1521.000,1.521
2025-12-17 18:18:50,10.0.1.61,10.0.0.4,1034.000,1.034
2025-12-17 18:18:55,10.0.1.62,10.0.0.5,1185.000,1.185
2025-12-17 18:18:58,10.0.1.63,10.0.0.8,742.000,0.742
2025-12-17 18:18:59,10.0.1.64,10.0.0.6,503.000,0.503
2025-12-17 18:19:03,10.0.1.65,10.0.0.6,1499.000,1.499
2025-12-17 18:19:05,10.0.1.66,10.0.0.5,882.000,0.882
2025-12-17 18:19:07,10.0.1.67,10.0.0.7,1568.000,1.568
2025-12-17 18:19:10,10.0.1.68,10.0.0.4,1304.000,1.304
2025-12-17 18:19:15,10.0.1.69,10.0.0.8,607.000,0.607
2025-12-17 18:19:16,10.0.1.70,10.0.0.8,1733.000,1.733
2025-12-17 18:19:19,10.0.1.71,10.0.0.5,1719.000,1.719
2025-12-17 18:19:21,10.0.1.72,10.0.0.6,1116.000,1.116
2025-12-17 18:19:24,10.0.1.73,10.0.0.4,468.000,0.468
2025-12-17 18:19:28,10.0.1.74,10.0.0.7,520.000,0.520
2025-12-17 18:19:30,10.0.1.75,10.0.0.8,1160.000,1.160
2025-12-17 18:19:35,10.0.1.76,10.0.0.4,1515.000,1.515
2025-12-17 18:19:38,10.0.1.77,10.0.0.5,769.000,0.769
2025-12-17 18:19:42,10.0.1.78,10.0.0.6,1451.000,1.451
2025-12-17 18:19:43,10.0.1.79,10.0.0.7,1084.000,1.084
2025-12-17 18:19:44,10.0.1.80,10.0.0.5,1055.000,1.055
2025-12-17 18:19:47,10.0.1.81,10.0.0.4,1389.000,1.389
2025-12-17 18:19:49,10.0.1.82,10.0.0.8,1002.000,1.002
2025-12-17 18:19:54,10.0.1.83,10.0.0.6,536.000,0.536
2025-12-17 18:19:56,10.0.1.84,10.0.0.7,629.000,0.629
2025-12-17 18:20:01,10.0.1.85,10.0.0.5,1057.000,1.057
2025-12-17 18:20:02,10.0.1.86,10.0.0.4,1386.000,1.386
2025-12-17 18:20:07,10.0.1.87,10.0.0.6,1409.000,1.409
2025-12-17 18:20:11,10.0.1.88,10.0.0.8,615.000,0.615
2025-12-17 18:20:15,10.0.1.89,10.0.0.7,1081.000,1.081
2025-12-17 18:20:18,10.0.1.90,10.0.0.4,807.000,0.807
2025-12-17 18:20:23,10.0.1.91,10.0.0.5,434.000,0.434
2025-12-17 18:20:26,10.0.1.92,10.0.0.7,951.000,0.951
2025-12-17 18:20:31,10.0.1.93,10.0.0.6,1339.000,1.339
2025-12-17 18:20:36,10.0.1.94,10.0.0.8,852.000,0.852
2025-12-17 18:20:41,10.0.1.95,10.0.0.4,1523.000,1.523
2025-12-17 18:20:45,10.0.1.96,10.0.0.6,1249.000,1.249
2025-12-17 18:20:46,10.0.1.97,10.0.0.6,1188.000,1.188
2025-12-17 18:20:47,10.0.1.98,10.0.0.7,1429.000,1.429
2025-12-17 18:20:53,10.0.1.99,10.0.0.8,526.000,0.526
