Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-12-17 23:44:14.403,0,0,1,8,1,9,1,9,1,9,1,9,5,44
2025-12-17 23:44:20.503,0,0,1,8,1,9,1,9,1,9,1,9,5,44
2025-12-17 23:44:26.583,3,1,1,8,1,9,1,9,1,9,1,9,8,45
2025-12-17 23:44:32.618,3,1,1,8,1,9,1,9,1,9,1,9,8,45
2025-12-17 23:44:38.680,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:44:44.728,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:44:50.805,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:44:56.821,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:45:02.883,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:45:08.908,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:45:14.940,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:45:21.003,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:45:27.067,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:45:33.144,0,1,1,8,1,9,1,9,1,9,1,9,5,45
2025-12-17 23:45:39.208,3,2,4,9,6,9,3,9,1,9,1,9,18,47
2025-12-17 23:45:45.239,3,2,4,9,6,9,3,9,1,9,1,9,18,47
2025-12-17 23:45:51.277,4,2,4,9,6,9,1,9,5,10,4,9,24,48
2025-12-17 23:45:57.329,4,2,4,9,6,9,1,9,5,10,4,9,24,48
2025-12-17 23:46:03.355,4,2,2,9,2,9,2,9,2,10,2,9,14,48
2025-12-17 23:46:09.383,4,2,2,9,2,9,2,9,2,10,2,9,14,48
2025-12-17 23:46:15.400,5,3,2,9,2,9,2,9,2,10,2,9,15,49
2025-12-17 23:46:21.393,5,3,2,9,2,9,2,9,2,10,2,9,15,49
2025-12-17 23:46:27.427,4,3,2,9,1,9,3,10,2,10,2,9,14,50
2025-12-17 23:46:33.447,4,3,2,9,1,9,3,10,2,10,2,9,14,50
2025-12-17 23:46:39.458,5,4,2,9,3,10,1,10,2,10,2,9,15,52
2025-12-17 23:46:45.452,5,4,2,9,3,10,1,10,2,10,2,9,15,52
2025-12-17 23:46:51.441,5,4,2,9,2,10,2,10,2,10,2,10,15,53
2025-12-17 23:46:57.450,5,4,2,9,2,10,2,10,2,10,2,10,15,53
2025-12-17 23:47:03.434,4,5,1,9,2,10,2,10,2,10,1,10,12,54
2025-12-17 23:47:09.446,4,5,1,9,2,10,2,10,2,10,1,10,12,54
2025-12-17 23:47:15.412,4,5,2,9,2,10,2,10,2,10,3,10,15,54
2025-12-17 23:47:21.411,4,5,2,9,2,10,2,10,2,10,3,10,15,54
2025-12-17 23:47:27.382,4,5,2,9,2,10,2,10,2,10,3,10,15,54
2025-12-17 23:47:33.362,4,5,2,9,2,10,2,10,2,10,3,10,15,54
2025-12-17 23:47:39.333,4,6,2,9,1,10,3,10,2,10,2,10,14,55
2025-12-17 23:47:45.340,4,6,2,9,1,10,3,10,2,10,2,10,14,55
2025-12-17 23:47:51.342,4,6,1,9,3,10,3,10,1,10,1,10,13,55
2025-12-17 23:47:57.313,4,6,1,9,3,10,3,10,1,10,1,10,13,55
2025-12-17 23:48:03.330,4,6,2,9,1,10,2,10,1,10,2,10,12,55
2025-12-17 23:48:09.290,4,6,2,9,1,10,2,10,1,10,2,10,12,55
2025-12-17 23:48:15.270,4,7,2,9,2,10,1,10,3,10,2,10,14,56
2025-12-17 23:48:21.257,4,7,2,9,2,10,1,10,3,10,2,10,14,56
2025-12-17 23:48:27.250,5,7,3,9,2,10,2,10,2,10,2,10,16,56
2025-12-17 23:48:33.236,5,7,3,9,2,10,2,10,2,10,2,10,16,56
2025-12-17 23:48:39.239,3,8,2,9,2,10,2,10,2,10,2,10,13,57
2025-12-17 23:48:45.228,3,8,2,9,2,10,2,10,2,10,2,10,13,57
2025-12-17 23:48:51.212,3,8,2,9,1,10,2,10,2,10,2,10,12,57
2025-12-17 23:48:57.199,3,8,2,9,1,10,2,10,2,10,2,10,12,57
2025-12-17 23:49:03.219,3,8,1,9,2,10,1,10,2,10,1,10,10,57
2025-12-17 23:49:09.198,3,8,1,9,2,10,1,10,2,10,1,10,10,57
2025-12-17 23:49:15.195,4,9,2,9,2,10,2,10,1,10,2,10,13,58
2025-12-17 23:49:21.184,4,9,2,9,2,10,2,10,1,10,2,10,13,58
2025-12-17 23:49:27.162,4,9,2,9,2,10,1,10,2,10,3,10,14,58
2025-12-17 23:49:33.134,4,9,2,9,2,10,1,10,2,10,3,10,14,58
2025-12-17 23:49:39.091,4,9,2,9,2,10,1,10,1,10,3,10,13,58
2025-12-17 23:49:45.076,4,9,2,9,2,10,1,10,1,10,3,10,13,58
2025-12-17 23:49:51.036,4,10,2,9,2,10,2,10,1,10,1,10,12,59
2025-12-17 23:49:57.013,4,10,2,9,2,10,2,10,1,10,1,10,12,59
2025-12-17 23:50:02.984,5,10,2,9,2,10,2,10,2,10,2,10,15,59
2025-12-17 23:50:08.966,5,10,2,9,2,10,2,10,2,10,2,10,15,59
2025-12-17 23:50:14.931,4,11,2,9,2,10,3,10,2,10,2,10,15,60
