timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-11-30 13:19:40,10.0.1.0,10.0.0.7,358.000,0.358
2025-11-30 13:19:45,10.0.1.1,10.0.0.4,378.000,0.378
2025-11-30 13:19:48,10.0.1.2,10.0.0.6,615.000,0.615
2025-11-30 13:19:52,10.0.1.3,10.0.0.5,533.000,0.533
2025-11-30 13:19:56,10.0.1.4,10.0.0.8,456.000,0.456
2025-11-30 13:20:00,10.0.1.5,10.0.0.5,132.000,0.132
2025-11-30 13:20:03,10.0.1.6,10.0.0.5,126.000,0.126
2025-11-30 13:20:06,10.0.1.7,10.0.0.6,285.000,0.285
2025-11-30 13:20:09,10.0.1.8,10.0.0.7,195.000,0.195
2025-11-30 13:20:11,10.0.1.9,10.0.0.8,173.000,0.173
2025-11-30 13:20:12,10.0.1.10,10.0.0.5,154.000,0.154
2025-11-30 13:20:15,10.0.1.11,10.0.0.6,219.000,0.219
2025-11-30 13:20:18,10.0.1.12,10.0.0.6,166.000,0.166
2025-11-30 13:20:23,10.0.1.13,10.0.0.8,141.000,0.141
2025-11-30 13:20:24,10.0.1.14,10.0.0.7,155.000,0.155
2025-11-30 13:20:27,10.0.1.15,10.0.0.7,349.000,0.349
2025-11-30 13:20:30,10.0.1.16,10.0.0.5,209.000,0.209
2025-11-30 13:20:35,10.0.1.17,10.0.0.7,222.000,0.222
2025-11-30 13:20:36,10.0.1.18,10.0.0.6,219.000,0.219
2025-11-30 13:20:38,10.0.1.19,10.0.0.8,133.000,0.133
2025-11-30 13:20:44,10.0.1.20,10.0.0.6,244.000,0.244
2025-11-30 13:20:46,10.0.1.21,10.0.0.5,119.000,0.119
2025-11-30 13:20:51,10.0.1.22,10.0.0.8,241.000,0.241
2025-11-30 13:20:52,10.0.1.23,10.0.0.7,293.000,0.293
2025-11-30 13:20:55,10.0.1.24,10.0.0.8,192.000,0.192
2025-11-30 13:20:58,10.0.1.25,10.0.0.6,3429.000,3.429
2025-11-30 13:21:00,10.0.1.26,10.0.0.6,158.000,0.158
