Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-11-30 18:48:47.179,1,1,1,41,1,41,1,41,1,41,1,41,6,206
2025-11-30 18:48:52.501,1,1,1,41,1,41,1,41,1,41,1,41,6,206
2025-11-30 18:48:57.902,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:03.169,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:08.521,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:13.821,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:19.182,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:24.505,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:29.777,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:35.149,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:40.437,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:45.725,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:50.969,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:49:56.241,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 18:50:01.589,1,1,1,42,1,41,1,42,1,41,1,41,6,208
2025-11-30 18:50:06.925,1,1,1,42,1,41,1,42,1,41,1,41,6,208
2025-11-30 18:50:12.225,1,2,1,42,2,42,1,42,1,42,2,42,8,212
2025-11-30 18:50:17.565,1,2,1,42,2,42,1,42,1,42,2,42,8,212
2025-11-30 18:50:22.873,2,2,1,42,1,42,1,42,1,42,1,42,7,212
2025-11-30 18:50:28.181,2,2,1,42,1,42,1,42,1,42,1,42,7,212
2025-11-30 18:50:33.517,1,3,1,42,1,42,1,42,1,42,1,42,6,213
