Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2026-01-06 16:32:05.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:32:11.660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:32:17.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:32:23.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:32:29.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:32:35.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:32:41.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:32:47.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:32:52.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:32:58.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:04.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:10.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:16.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:22.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:28.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:34.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:40.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:46.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:52.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:33:58.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:34:04.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:34:10.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:34:16.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:34:22.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:34:28.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:34:34.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:34:40.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:34:46.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:34:52.691,11,0,0,0,0,0,0,0,0,0,0,0,11,0
2026-01-06 16:34:58.698,11,0,0,0,0,0,0,0,0,0,0,0,11,0
2026-01-06 16:35:04.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:35:10.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:35:16.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:35:22.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:35:28.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:35:34.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:35:40.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:35:46.762,0,0,0,0,110,0,96,0,0,0,0,0,206,0
2026-01-06 16:35:52.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:35:58.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 16:36:04.682,0,0,0,0,549,83,349,9,0,0,0,0,898,92
2026-01-06 16:36:10.657,0,0,0,0,549,83,349,9,0,0,0,0,898,92
2026-01-06 16:36:16.621,0,0,0,0,549,83,349,9,0,0,0,0,898,92
2026-01-06 16:36:22.580,0,0,0,0,85,9,1,9,0,0,0,0,86,18
2026-01-06 16:36:28.559,0,0,0,0,85,9,1,9,0,0,0,0,86,18
2026-01-06 16:36:34.515,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:36:40.501,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:36:46.482,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:36:52.446,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:36:58.433,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:04.417,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:10.460,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:16.423,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:22.417,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:28.385,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:34.355,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:40.349,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:46.311,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:52.370,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:37:58.392,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 16:38:04.366,0,0,559,9,1,9,1,9,251,8,594,85,1406,120
2026-01-06 16:38:10.404,0,0,559,9,1,9,1,9,251,8,594,85,1406,120
2026-01-06 16:38:16.406,0,0,559,9,1,9,1,9,251,8,594,85,1406,120
2026-01-06 16:38:22.394,0,0,0,9,1,9,1,9,82,9,41,9,125,45
2026-01-06 16:38:28.371,0,0,0,9,1,9,1,9,82,9,41,9,125,45
2026-01-06 16:38:34.375,0,0,1,9,1,9,1,9,404,9,1,9,408,45
2026-01-06 16:38:40.353,0,0,1,9,1,9,1,9,404,9,1,9,408,45
2026-01-06 16:38:46.316,0,0,1,9,1,9,1,9,404,9,1,9,408,45
2026-01-06 16:38:52.295,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:38:58.271,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:04.262,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:10.219,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:16.165,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:22.129,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:28.102,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:34.079,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:40.033,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:45.979,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:51.945,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:39:57.940,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:03.910,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:09.877,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:15.845,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:21.812,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:27.791,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:33.745,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:39.752,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:45.713,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:51.694,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:40:57.655,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:03.623,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:09.578,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:15.583,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:21.563,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:27.548,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:33.517,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:39.517,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:45.510,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:51.485,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:41:57.459,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:03.444,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:09.421,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:15.411,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:21.378,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:27.378,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:33.367,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:39.344,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:45.342,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:51.393,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:42:57.392,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:03.383,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:09.367,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:15.349,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:21.346,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:27.340,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:33.338,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:39.292,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:45.260,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:51.247,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:43:57.215,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:03.216,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:09.202,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:15.160,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:21.117,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:27.088,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:33.050,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:39.013,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:44.980,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:50.956,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:44:56.936,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:02.900,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:08.865,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:14.822,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:20.791,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:26.744,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:32.694,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:38.703,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:44.668,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:50.675,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:45:56.644,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:02.615,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:08.589,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:14.580,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:20.557,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:26.567,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:32.546,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:38.518,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:44.496,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:50.497,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:46:56.483,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:02.459,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:08.440,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:14.402,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:20.389,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:26.378,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:32.357,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:38.334,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:44.309,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:50.308,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:47:56.276,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:02.258,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:08.261,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:14.212,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:20.235,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:26.203,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:32.183,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:38.161,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:44.122,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:50.102,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:48:56.063,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:49:02.037,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:49:08.007,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:49:13.969,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:49:19.949,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:49:25.914,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:49:31.863,0,0,1,9,1,9,1,9,1,9,1,9,5,45
2026-01-06 16:49:37.849,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:49:43.864,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:49:49.814,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:49:55.785,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:01.742,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:07.713,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:13.686,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:19.648,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:25.601,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:31.575,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:37.542,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:43.488,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:49.486,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:50:55.436,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:01.464,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:07.425,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:13.405,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:19.390,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:25.392,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:31.362,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:37.350,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:43.329,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:49.300,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:51:55.263,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:01.250,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:07.227,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:13.187,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:19.174,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:25.156,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:31.124,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:37.075,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:43.042,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:49.043,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:52:54.995,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:53:00.978,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:53:06.954,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:53:12.933,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:53:18.897,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:53:24.861,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:53:30.824,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:53:36.791,0,0,1,10,1,9,1,9,1,9,1,9,5,46
2026-01-06 16:53:42.753,0,0,1,10,1,9,1,9,1,9,1,9,5,46
