timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-11-30 12:16:23,10.0.1.0,10.0.0.4,851.000,0.851
2025-11-30 12:16:28,10.0.1.1,10.0.0.5,1646.000,1.646
2025-11-30 12:16:31,10.0.1.2,10.0.0.6,3331.000,3.331
2025-11-30 12:16:34,10.0.1.3,10.0.0.7,1044.000,1.044
2025-11-30 12:16:38,10.0.1.4,10.0.0.8,1236.000,1.236
2025-11-30 12:16:42,10.0.1.5,10.0.0.4,556.000,0.556
2025-11-30 12:16:45,10.0.1.6,10.0.0.5,1113.000,1.113
2025-11-30 12:16:48,10.0.1.7,10.0.0.6,201.000,0.201
2025-11-30 12:16:52,10.0.1.8,10.0.0.7,1864.000,1.864
2025-11-30 12:16:54,10.0.1.9,10.0.0.8,771.000,0.771
2025-11-30 12:16:55,10.0.1.10,10.0.0.4,379.000,0.379
2025-11-30 12:16:57,10.0.1.11,10.0.0.5,7517.000,7.517
2025-11-30 12:17:00,10.0.1.12,10.0.0.6,830.000,0.830
2025-11-30 12:17:05,10.0.1.13,10.0.0.7,2648.000,2.648
2025-11-30 12:17:06,10.0.1.14,10.0.0.8,1124.000,1.124
2025-11-30 12:17:10,10.0.1.15,10.0.0.4,514.000,0.514
2025-11-30 12:17:13,10.0.1.16,10.0.0.5,528.000,0.528
2025-11-30 12:17:18,10.0.1.17,10.0.0.6,469.000,0.469
2025-11-30 12:17:19,10.0.1.18,10.0.0.7,1517.000,1.517
2025-11-30 12:17:21,10.0.1.19,10.0.0.8,1350.000,1.350
2025-11-30 12:17:26,10.0.1.20,10.0.0.4,580.000,0.580
2025-11-30 12:17:29,10.0.1.21,10.0.0.5,3615.000,3.615
2025-11-30 12:17:34,10.0.1.22,10.0.0.6,255.000,0.255
2025-11-30 12:17:35,10.0.1.23,10.0.0.7,2647.000,2.647
2025-11-30 12:17:38,10.0.1.24,10.0.0.8,2236.000,2.236
2025-11-30 12:17:41,10.0.1.25,10.0.0.4,1015.000,1.015
2025-11-30 12:17:44,10.0.1.26,10.0.0.5,2518.000,2.518
2025-11-30 12:17:49,10.0.1.27,10.0.0.6,775.000,0.775
2025-11-30 12:17:54,10.0.1.28,10.0.0.7,186.000,0.186
2025-11-30 12:17:56,10.0.1.29,10.0.0.8,1686.000,1.686
2025-11-30 12:17:58,10.0.1.30,10.0.0.4,1800.000,1.800
2025-11-30 12:18:00,10.0.1.31,10.0.0.5,804.000,0.804
2025-11-30 12:18:02,10.0.1.32,10.0.0.6,1241.000,1.241
2025-11-30 12:18:04,10.0.1.33,10.0.0.7,2348.000,2.348
2025-11-30 12:18:06,10.0.1.34,10.0.0.8,1616.000,1.616
2025-11-30 12:18:11,10.0.1.35,10.0.0.4,277.000,0.277
2025-11-30 12:18:16,10.0.1.36,10.0.0.5,711.000,0.711
2025-11-30 12:18:19,10.0.1.37,10.0.0.6,1395.000,1.395
2025-11-30 12:18:24,10.0.1.38,10.0.0.7,446.000,0.446
2025-11-30 12:18:28,10.0.1.39,10.0.0.8,381.000,0.381
2025-11-30 12:18:30,10.0.1.40,10.0.0.4,1177.000,1.177
2025-11-30 12:18:35,10.0.1.41,10.0.0.5,357.000,0.357
2025-11-30 12:18:38,10.0.1.42,10.0.0.6,823.000,0.823
2025-11-30 12:18:40,10.0.1.43,10.0.0.7,2405.000,2.405
2025-11-30 12:18:46,10.0.1.44,10.0.0.8,3090.000,3.090
2025-11-30 12:18:51,10.0.1.45,10.0.0.4,2104.000,2.104
2025-11-30 12:18:54,10.0.1.46,10.0.0.5,267.000,0.267
2025-11-30 12:18:58,10.0.1.47,10.0.0.6,1739.000,1.739
2025-11-30 12:18:59,10.0.1.48,10.0.0.7,546.000,0.546
2025-11-30 12:19:04,10.0.1.49,10.0.0.8,664.000,0.664
2025-11-30 12:19:10,10.0.1.50,10.0.0.4,490.000,0.490
2025-11-30 12:19:10,10.0.1.51,10.0.0.5,1968.000,1.968
2025-11-30 12:19:12,10.0.1.52,10.0.0.6,1433.000,1.433
2025-11-30 12:19:17,10.0.1.53,10.0.0.7,2067.000,2.067
2025-11-30 12:19:20,10.0.1.54,10.0.0.8,2035.000,2.035
2025-11-30 12:19:25,10.0.1.55,10.0.0.4,1498.000,1.498
2025-11-30 12:19:31,10.0.1.56,10.0.0.5,1575.000,1.575
2025-11-30 12:19:36,10.0.1.57,10.0.0.6,293.000,0.293
2025-11-30 12:19:37,10.0.1.58,10.0.0.7,1760.000,1.760
2025-11-30 12:19:44,10.0.1.59,10.0.0.8,2201.000,2.201
2025-11-30 12:19:48,10.0.1.60,10.0.0.4,2560.000,2.560
2025-11-30 12:19:53,10.0.1.61,10.0.0.5,870.000,0.870
2025-11-30 12:19:58,10.0.1.62,10.0.0.6,607.000,0.607
2025-11-30 12:20:02,10.0.1.63,10.0.0.7,1436.000,1.436
2025-11-30 12:20:03,10.0.1.64,10.0.0.8,944.000,0.944
2025-11-30 12:20:06,10.0.1.65,10.0.0.4,396.000,0.396
2025-11-30 12:20:08,10.0.1.66,10.0.0.5,536.000,0.536
2025-11-30 12:20:15,10.0.1.67,10.0.0.6,560.000,0.560
2025-11-30 12:20:16,10.0.1.68,10.0.0.7,6308.000,6.308
2025-11-30 12:20:21,10.0.1.69,10.0.0.8,709.000,0.709
2025-11-30 12:20:22,10.0.1.70,10.0.0.4,296.000,0.296
2025-11-30 12:20:25,10.0.1.71,10.0.0.5,1862.000,1.862
