timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-12-17 15:52:43,10.0.1.0,10.0.0.4,1097.000,1.097
2025-12-17 15:52:49,10.0.1.1,10.0.0.5,894.000,0.894
2025-12-17 15:52:52,10.0.1.2,10.0.0.6,816.000,0.816
2025-12-17 15:52:55,10.0.1.3,10.0.0.7,734.000,0.734
2025-12-17 15:53:00,10.0.1.4,10.0.0.8,1785.000,1.785
2025-12-17 15:53:04,10.0.1.5,10.0.0.4,911.000,0.911
2025-12-17 15:53:07,10.0.1.6,10.0.0.5,1843.000,1.843
2025-12-17 15:53:10,10.0.1.7,10.0.0.6,1127.000,1.127
2025-12-17 15:53:14,10.0.1.8,10.0.0.7,1460.000,1.460
2025-12-17 15:53:16,10.0.1.9,10.0.0.8,1806.000,1.806
2025-12-17 15:53:17,10.0.1.10,10.0.0.4,1993.000,1.993
2025-12-17 15:53:20,10.0.1.11,10.0.0.5,1455.000,1.455
2025-12-17 15:53:23,10.0.1.12,10.0.0.6,1217.000,1.217
2025-12-17 15:53:28,10.0.1.13,10.0.0.7,1383.000,1.383
2025-12-17 15:53:30,10.0.1.14,10.0.0.8,2272.000,2.272
2025-12-17 15:53:33,10.0.1.15,10.0.0.4,481.000,0.481
2025-12-17 15:53:36,10.0.1.16,10.0.0.5,450.000,0.450
2025-12-17 15:53:41,10.0.1.17,10.0.0.6,1125.000,1.125
2025-12-17 15:53:43,10.0.1.18,10.0.0.7,1450.000,1.450
2025-12-17 15:53:45,10.0.1.19,10.0.0.8,584.000,0.584
2025-12-17 15:53:50,10.0.1.20,10.0.0.4,1107.000,1.107
2025-12-17 15:53:53,10.0.1.21,10.0.0.5,969.000,0.969
2025-12-17 15:53:58,10.0.1.22,10.0.0.6,1102.000,1.102
2025-12-17 15:53:59,10.0.1.23,10.0.0.7,1353.000,1.353
2025-12-17 15:54:03,10.0.1.24,10.0.0.8,606.000,0.606
2025-12-17 15:54:06,10.0.1.25,10.0.0.4,618.000,0.618
2025-12-17 15:54:08,10.0.1.26,10.0.0.5,1512.000,1.512
2025-12-17 15:54:13,10.0.1.27,10.0.0.6,1282.000,1.282
2025-12-17 15:54:19,10.0.1.28,10.0.0.7,616.000,0.616
2025-12-17 15:54:20,10.0.1.29,10.0.0.8,1646.000,1.646
2025-12-17 15:54:22,10.0.1.30,10.0.0.4,1159.000,1.159
2025-12-17 15:54:25,10.0.1.31,10.0.0.5,990.000,0.990
2025-12-17 15:54:27,10.0.1.32,10.0.0.6,494.000,0.494
2025-12-17 15:54:29,10.0.1.33,10.0.0.7,1348.000,1.348
2025-12-17 15:54:31,10.0.1.34,10.0.0.8,1322.000,1.322
2025-12-17 15:54:36,10.0.1.35,10.0.0.4,1041.000,1.041
2025-12-17 15:54:41,10.0.1.36,10.0.0.5,1059.000,1.059
2025-12-17 15:54:44,10.0.1.37,10.0.0.6,1142.000,1.142
2025-12-17 15:54:49,10.0.1.38,10.0.0.7,1946.000,1.946
2025-12-17 15:54:54,10.0.1.39,10.0.0.8,1372.000,1.372
2025-12-17 15:54:56,10.0.1.40,10.0.0.4,917.000,0.917
2025-12-17 15:55:01,10.0.1.41,10.0.0.5,1373.000,1.373
2025-12-17 15:55:04,10.0.1.42,10.0.0.6,1386.000,1.386
2025-12-17 15:55:05,10.0.1.43,10.0.0.7,1027.000,1.027
2025-12-17 15:55:10,10.0.1.44,10.0.0.8,2429.000,2.429
2025-12-17 15:55:15,10.0.1.45,10.0.0.4,897.000,0.897
2025-12-17 15:55:18,10.0.1.46,10.0.0.5,835.000,0.835
2025-12-17 15:55:21,10.0.1.47,10.0.0.6,991.000,0.991
2025-12-17 15:55:24,10.0.1.48,10.0.0.7,1246.000,1.246
2025-12-17 15:55:28,10.0.1.49,10.0.0.8,1699.000,1.699
2025-12-17 15:55:32,10.0.1.50,10.0.0.4,1048.000,1.048
2025-12-17 15:55:34,10.0.1.51,10.0.0.5,519.000,0.519
2025-12-17 15:55:36,10.0.1.52,10.0.0.6,1192.000,1.192
