Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-12-17 21:21:35.259,0,0,54,9,1,9,355,9,1,9,1,9,412,45
2025-12-17 21:21:41.207,0,0,177,9,1,9,1,9,1,9,1,9,181,45
2025-12-17 21:21:47.157,0,0,177,9,1,9,1,9,1,9,1,9,181,45
2025-12-17 21:21:53.127,0,0,177,9,1,9,1,9,1,9,1,9,181,45
2025-12-17 21:21:59.081,2,1,1,9,1,9,1,9,1,9,1,9,7,46
2025-12-17 21:22:05.053,2,1,1,9,1,9,1,9,1,9,1,9,7,46
2025-12-17 21:22:11.015,2,1,1,9,1,9,1,9,1,9,1,9,7,46
2025-12-17 21:22:16.954,2,1,1,9,1,9,1,9,1,9,1,9,7,46
2025-12-17 21:22:22.915,2,1,1,9,1,9,1,9,1,9,1,9,7,46
2025-12-17 21:22:28.900,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-12-17 21:22:34.911,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-12-17 21:22:40.901,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-12-17 21:22:46.916,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-12-17 21:22:52.940,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-12-17 21:22:58.934,0,1,3,9,1,9,1,9,1,9,1,9,7,46
2025-12-17 21:23:04.932,0,1,3,9,1,9,1,9,1,9,1,9,7,46
2025-12-17 21:23:10.928,3,2,2,9,3,9,2,9,3,9,3,9,16,47
2025-12-17 21:23:16.956,3,2,2,9,3,9,2,9,3,9,3,9,16,47
2025-12-17 21:23:22.994,3,2,2,9,3,9,2,9,3,9,3,9,16,47
2025-12-17 21:23:29.040,3,2,3,9,2,9,2,9,2,9,2,9,14,47
2025-12-17 21:23:35.051,3,2,3,9,2,9,2,9,2,9,2,9,14,47
2025-12-17 21:23:41.027,5,3,1,9,2,9,2,9,2,9,2,9,14,48
2025-12-17 21:23:46.992,5,3,1,9,2,9,2,9,2,9,2,9,14,48
2025-12-17 21:23:52.960,5,3,1,9,2,9,2,9,2,9,2,9,14,48
2025-12-17 21:23:59.000,4,3,2,9,1,9,2,9,2,9,2,9,13,48
2025-12-17 21:24:04.949,4,3,2,9,1,9,2,9,2,9,2,9,13,48
