timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2026-01-06 13:15:58,10.0.1.0,10.0.0.4,893.000,0.893
2026-01-06 13:16:04,10.0.1.1,10.0.0.5,1427.000,1.427
2026-01-06 13:16:07,10.0.1.2,10.0.0.6,1751.000,1.751
2026-01-06 13:16:10,10.0.1.3,10.0.0.7,1887.000,1.887
2026-01-06 13:16:15,10.0.1.4,10.0.0.8,1488.000,1.488
2026-01-06 13:16:19,10.0.1.5,10.0.0.4,1647.000,1.647
2026-01-06 13:16:22,10.0.1.6,10.0.0.5,1691.000,1.691
2026-01-06 13:16:25,10.0.1.7,10.0.0.6,1470.000,1.470
2026-01-06 13:16:29,10.0.1.8,10.0.0.7,830.000,0.830
2026-01-06 13:16:31,10.0.1.9,10.0.0.8,684.000,0.684
2026-01-06 13:16:32,10.0.1.10,10.0.0.4,430.000,0.430
2026-01-06 13:16:35,10.0.1.11,10.0.0.5,495.000,0.495
2026-01-06 13:16:38,10.0.1.12,10.0.0.6,1461.000,1.461
2026-01-06 13:16:43,10.0.1.13,10.0.0.7,507.000,0.507
2026-01-06 13:16:45,10.0.1.14,10.0.0.8,347.000,0.347
2026-01-06 13:16:48,10.0.1.15,10.0.0.4,552.000,0.552
2026-01-06 13:16:51,10.0.1.16,10.0.0.5,732.000,0.732
2026-01-06 13:16:56,10.0.1.17,10.0.0.6,1308.000,1.308
2026-01-06 13:16:58,10.0.1.18,10.0.0.7,433.000,0.433
2026-01-06 13:17:00,10.0.1.19,10.0.0.8,420.000,0.420
2026-01-06 13:17:05,10.0.1.20,10.0.0.4,865.000,0.865
2026-01-06 13:17:08,10.0.1.21,10.0.0.5,981.000,0.981
2026-01-06 13:17:13,10.0.1.22,10.0.0.6,422.000,0.422
2026-01-06 13:17:14,10.0.1.23,10.0.0.7,1173.000,1.173
2026-01-06 13:17:18,10.0.1.24,10.0.0.8,956.000,0.956
2026-01-06 13:17:21,10.0.1.25,10.0.0.4,1577.000,1.577
2026-01-06 13:17:23,10.0.1.26,10.0.0.5,791.000,0.791
2026-01-06 13:17:29,10.0.1.27,10.0.0.6,1117.000,1.117
2026-01-06 13:17:34,10.0.1.28,10.0.0.7,15895.000,15.895
2026-01-06 13:17:35,10.0.1.29,10.0.0.8,430.000,0.430
2026-01-06 13:17:37,10.0.1.30,10.0.0.4,901.000,0.901
2026-01-06 13:17:40,10.0.1.31,10.0.0.5,557.000,0.557
2026-01-06 13:17:42,10.0.1.32,10.0.0.6,1128.000,1.128
2026-01-06 13:17:44,10.0.1.33,10.0.0.7,1328.000,1.328
2026-01-06 13:17:46,10.0.1.34,10.0.0.8,438.000,0.438
2026-01-06 13:17:51,10.0.1.35,10.0.0.4,446.000,0.446
2026-01-06 13:17:56,10.0.1.36,10.0.0.5,441.000,0.441
2026-01-06 13:18:00,10.0.1.37,10.0.0.6,1115.000,1.115
2026-01-06 13:18:04,10.0.1.38,10.0.0.7,1035.000,1.035
2026-01-06 13:18:09,10.0.1.39,10.0.0.8,1160.000,1.160
2026-01-06 13:18:11,10.0.1.40,10.0.0.4,406.000,0.406
2026-01-06 13:18:16,10.0.1.41,10.0.0.5,628.000,0.628
2026-01-06 13:18:19,10.0.1.42,10.0.0.6,402.000,0.402
2026-01-06 13:18:20,10.0.1.43,10.0.0.7,398.000,0.398
2026-01-06 13:18:25,10.0.1.44,10.0.0.8,410.000,0.410
2026-01-06 13:18:30,10.0.1.45,10.0.0.4,452.000,0.452
2026-01-06 13:18:33,10.0.1.46,10.0.0.5,1347.000,1.347
2026-01-06 13:18:37,10.0.1.47,10.0.0.6,390.000,0.390
2026-01-06 13:18:39,10.0.1.48,10.0.0.7,373.000,0.373
2026-01-06 13:18:43,10.0.1.49,10.0.0.8,501.000,0.501
2026-01-06 13:18:47,10.0.1.50,10.0.0.4,541.000,0.541
2026-01-06 13:18:49,10.0.1.51,10.0.0.5,1661.000,1.661
2026-01-06 13:18:51,10.0.1.52,10.0.0.6,1610.000,1.610
2026-01-06 13:18:56,10.0.1.53,10.0.0.7,1002.000,1.002
2026-01-06 13:18:59,10.0.1.54,10.0.0.8,500.000,0.500
2026-01-06 13:19:04,10.0.1.55,10.0.0.4,513.000,0.513
2026-01-06 13:19:08,10.0.1.56,10.0.0.5,517.000,0.517
2026-01-06 13:19:14,10.0.1.57,10.0.0.6,1208.000,1.208
2026-01-06 13:19:15,10.0.1.58,10.0.0.7,1240.000,1.240
2026-01-06 13:19:19,10.0.1.59,10.0.0.8,438.000,0.438
2026-01-06 13:19:24,10.0.1.60,10.0.0.4,23516.000,23.516
2026-01-06 13:19:30,10.0.1.61,10.0.0.5,1448.000,1.448
2026-01-06 13:19:35,10.0.1.62,10.0.0.6,1160.000,1.160
2026-01-06 13:19:38,10.0.1.63,10.0.0.7,344.000,0.344
2026-01-06 13:19:40,10.0.1.64,10.0.0.8,408.000,0.408
2026-01-06 13:19:43,10.0.1.65,10.0.0.4,408.000,0.408
2026-01-06 13:19:45,10.0.1.66,10.0.0.5,397.000,0.397
2026-01-06 13:19:48,10.0.1.67,10.0.0.6,407.000,0.407
2026-01-06 13:19:50,10.0.1.68,10.0.0.7,427.000,0.427
2026-01-06 13:19:55,10.0.1.69,10.0.0.8,449.000,0.449
2026-01-06 13:19:57,10.0.1.70,10.0.0.4,384.000,0.384
2026-01-06 13:20:00,10.0.1.71,10.0.0.5,403.000,0.403
2026-01-06 13:20:01,10.0.1.72,10.0.0.6,372.000,0.372
2026-01-06 13:20:04,10.0.1.73,10.0.0.7,912.000,0.912
2026-01-06 13:20:09,10.0.1.74,10.0.0.8,1176.000,1.176
2026-01-06 13:20:10,10.0.1.75,10.0.0.4,441.000,0.441
2026-01-06 13:20:15,10.0.1.76,10.0.0.5,2656.000,2.656
2026-01-06 13:20:19,10.0.1.77,10.0.0.6,379.000,0.379
2026-01-06 13:20:22,10.0.1.78,10.0.0.7,433.000,0.433
2026-01-06 13:20:23,10.0.1.79,10.0.0.8,1459.000,1.459
2026-01-06 13:20:25,10.0.1.80,10.0.0.4,406.000,0.406
2026-01-06 13:20:28,10.0.1.81,10.0.0.5,530.000,0.530
2026-01-06 13:20:29,10.0.1.82,10.0.0.6,585.000,0.585
2026-01-06 13:20:34,10.0.1.83,10.0.0.7,418.000,0.418
2026-01-06 13:20:37,10.0.1.84,10.0.0.8,558.000,0.558
2026-01-06 13:20:41,10.0.1.85,10.0.0.4,313.000,0.313
2026-01-06 13:20:42,10.0.1.86,10.0.0.5,474.000,0.474
2026-01-06 13:20:48,10.0.1.87,10.0.0.6,415.000,0.415
2026-01-06 13:20:52,10.0.1.88,10.0.0.7,506.000,0.506
2026-01-06 13:20:55,10.0.1.89,10.0.0.8,453.000,0.453
2026-01-06 13:20:59,10.0.1.90,10.0.0.4,382.000,0.382
2026-01-06 13:21:04,10.0.1.91,10.0.0.5,1327.000,1.327
2026-01-06 13:21:06,10.0.1.92,10.0.0.6,387.000,0.387
2026-01-06 13:21:12,10.0.1.93,10.0.0.7,424.000,0.424
2026-01-06 13:21:17,10.0.1.94,10.0.0.8,370.000,0.370
2026-01-06 13:21:21,10.0.1.95,10.0.0.4,450.000,0.450
2026-01-06 13:21:26,10.0.1.96,10.0.0.5,1505.000,1.505
2026-01-06 13:21:27,10.0.1.97,10.0.0.6,366.000,0.366
2026-01-06 13:21:28,10.0.1.98,10.0.0.7,421.000,0.421
2026-01-06 13:21:34,10.0.1.99,10.0.0.8,359.000,0.359
2026-01-06 13:21:37,10.0.1.100,10.0.0.4,436.000,0.436
2026-01-06 13:21:40,10.0.1.101,10.0.0.5,427.000,0.427
2026-01-06 13:21:45,10.0.1.102,10.0.0.6,365.000,0.365
2026-01-06 13:21:51,10.0.1.103,10.0.0.7,395.000,0.395
2026-01-06 13:21:54,10.0.1.104,10.0.0.8,451.000,0.451
2026-01-06 13:21:59,10.0.1.105,10.0.0.4,462.000,0.462
2026-01-06 13:22:05,10.0.1.106,10.0.0.5,435.000,0.435
2026-01-06 13:22:07,10.0.1.107,10.0.0.6,426.000,0.426
2026-01-06 13:22:09,10.0.1.108,10.0.0.7,336.000,0.336
2026-01-06 13:22:14,10.0.1.109,10.0.0.8,383.000,0.383
2026-01-06 13:22:18,10.0.1.110,10.0.0.4,413.000,0.413
2026-01-06 13:22:23,10.0.1.111,10.0.0.5,428.000,0.428
2026-01-06 13:22:26,10.0.1.112,10.0.0.6,1487.000,1.487
2026-01-06 13:22:28,10.0.1.113,10.0.0.7,348.000,0.348
2026-01-06 13:22:32,10.0.1.114,10.0.0.8,1137.000,1.137
2026-01-06 13:22:36,10.0.1.115,10.0.0.4,550.000,0.550
2026-01-06 13:22:42,10.0.1.116,10.0.0.5,366.000,0.366
2026-01-06 13:22:43,10.0.1.117,10.0.0.6,464.000,0.464
2026-01-06 13:22:48,10.0.1.118,10.0.0.7,423.000,0.423
2026-01-06 13:22:54,10.0.1.119,10.0.0.8,453.000,0.453
2026-01-06 13:22:57,10.0.1.120,10.0.0.4,360.000,0.360
2026-01-06 13:23:02,10.0.1.121,10.0.0.5,360.000,0.360
2026-01-06 13:23:04,10.0.1.122,10.0.0.6,1279.000,1.279
