Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2026-01-06 19:53:56.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:02.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:08.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:14.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:20.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:26.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:32.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:38.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:44.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:50.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:54:57.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:55:03.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-06 19:55:09.039,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:55:15.106,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:55:21.100,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:55:27.089,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:55:33.117,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:55:39.136,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:55:45.074,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:55:51.077,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:55:57.037,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:03.078,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:09.062,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:15.037,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:21.063,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:27.007,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:33.001,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:38.989,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:45.096,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:51.107,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:56:57.064,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:57:03.054,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:57:09.022,12,0,0,0,1,9,1,9,0,0,0,0,14,18
2026-01-06 19:57:15.108,12,0,0,0,1,9,1,9,0,0,0,0,14,18
2026-01-06 19:57:21.118,12,0,0,0,1,9,1,9,0,0,0,0,14,18
2026-01-06 19:57:27.085,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:57:33.058,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:57:39.015,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:57:45.029,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:57:51.008,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:57:56.958,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:02.954,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:08.966,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:14.924,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:20.901,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:26.909,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:32.884,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:38.898,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:44.883,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:50.877,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:58:56.901,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:02.851,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:08.903,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:14.869,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:20.869,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:26.859,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:32.975,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:38.996,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:45.016,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:50.995,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 19:59:57.017,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 20:00:02.984,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 20:00:08.968,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 20:00:15.005,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 20:00:21.016,0,0,0,0,1,9,1,9,0,0,0,0,2,18
2026-01-06 20:00:26.964,0,0,0,0,1,9,1,9,0,0,0,0,2,18
