timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-11-30 18:12:48,10.0.1.0,10.0.0.4,2579.000,2.579
2025-11-30 18:12:54,10.0.1.1,10.0.0.5,2268.000,2.268
2025-11-30 18:12:57,10.0.1.2,10.0.0.6,2556.000,2.556
2025-11-30 18:13:00,10.0.1.3,10.0.0.7,2677.000,2.677
2025-11-30 18:13:05,10.0.1.4,10.0.0.8,2343.000,2.343
2025-11-30 18:13:09,10.0.1.5,10.0.0.4,471.000,0.471
2025-11-30 18:13:12,10.0.1.6,10.0.0.5,2306.000,2.306
2025-11-30 18:13:15,10.0.1.7,10.0.0.6,1349.000,1.349
2025-11-30 18:13:19,10.0.1.8,10.0.0.7,1621.000,1.621
2025-11-30 18:13:21,10.0.1.9,10.0.0.8,645.000,0.645
2025-11-30 18:13:22,10.0.1.10,10.0.0.4,1968.000,1.968
2025-11-30 18:13:25,10.0.1.11,10.0.0.5,1408.000,1.408
2025-11-30 18:13:28,10.0.1.12,10.0.0.6,624.000,0.624
2025-11-30 18:13:33,10.0.1.13,10.0.0.7,805.000,0.805
2025-11-30 18:13:35,10.0.1.14,10.0.0.8,1733.000,1.733
2025-11-30 18:13:38,10.0.1.15,10.0.0.4,1635.000,1.635
2025-11-30 18:13:41,10.0.1.16,10.0.0.5,537.000,0.537
2025-11-30 18:13:47,10.0.1.17,10.0.0.6,638.000,0.638
2025-11-30 18:13:48,10.0.1.18,10.0.0.7,1848.000,1.848
2025-11-30 18:13:50,10.0.1.19,10.0.0.8,1995.000,1.995
2025-11-30 18:13:56,10.0.1.20,10.0.0.4,595.000,0.595
2025-11-30 18:13:58,10.0.1.21,10.0.0.5,1160.000,1.160
2025-11-30 18:14:03,10.0.1.22,10.0.0.6,1713.000,1.713
2025-11-30 18:14:04,10.0.1.23,10.0.0.7,1032.000,1.032
2025-11-30 18:14:08,10.0.1.24,10.0.0.8,1151.000,1.151
2025-11-30 18:14:11,10.0.1.25,10.0.0.4,700.000,0.700
2025-11-30 18:14:13,10.0.1.26,10.0.0.5,559.000,0.559
2025-11-30 18:14:19,10.0.1.27,10.0.0.6,742.000,0.742
2025-11-30 18:14:24,10.0.1.28,10.0.0.7,1908.000,1.908
2025-11-30 18:14:25,10.0.1.29,10.0.0.8,1532.000,1.532
2025-11-30 18:14:28,10.0.1.30,10.0.0.4,1158.000,1.158
2025-11-30 18:14:30,10.0.1.31,10.0.0.5,1633.000,1.633
2025-11-30 18:14:32,10.0.1.32,10.0.0.6,1889.000,1.889
2025-11-30 18:14:35,10.0.1.33,10.0.0.7,1387.000,1.387
2025-11-30 18:14:36,10.0.1.34,10.0.0.8,1511.000,1.511
