Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-11-30 23:42:26.007,2,1,1,9,1,9,1,9,1,9,1,9,7,46
2025-11-30 23:42:32.069,2,1,1,9,1,9,1,9,1,9,1,9,7,46
2025-11-30 23:42:38.158,2,1,1,9,1,9,1,9,1,9,1,9,7,46
2025-11-30 23:42:44.217,2,1,1,9,1,9,1,9,1,9,1,9,7,46
2025-11-30 23:42:50.229,1,1,1,9,1,9,1,9,1,9,1,9,6,46
2025-11-30 23:42:56.255,1,1,1,9,1,9,1,9,1,9,1,9,6,46
2025-11-30 23:43:02.336,1,1,1,9,1,9,1,9,1,9,1,9,6,46
2025-11-30 23:43:08.396,1,1,3,10,2,9,1,9,1,9,1,9,9,47
2025-11-30 23:43:14.465,1,1,3,10,2,9,1,9,1,9,1,9,9,47
2025-11-30 23:43:20.493,4,2,2,10,1,9,2,9,3,9,2,9,14,48
2025-11-30 23:43:26.540,4,2,2,10,1,9,2,9,3,9,2,9,14,48
2025-11-30 23:43:32.592,4,2,2,10,3,9,2,9,1,9,1,9,13,48
2025-11-30 23:43:38.681,4,2,2,10,3,9,2,9,1,9,1,9,13,48
2025-11-30 23:43:44.756,4,2,2,10,3,9,2,9,1,9,1,9,13,48
2025-11-30 23:43:50.822,4,3,2,10,1,9,2,9,2,9,2,9,13,49
2025-11-30 23:43:56.863,4,3,2,10,1,9,2,9,2,9,2,9,13,49
2025-11-30 23:44:02.918,5,4,2,10,2,10,2,10,1,9,2,9,14,52
2025-11-30 23:44:09.002,5,4,2,10,2,10,2,10,1,9,2,9,14,52
2025-11-30 23:44:15.091,5,4,2,10,2,10,2,10,1,9,2,9,14,52
2025-11-30 23:44:21.171,5,4,2,10,2,10,2,10,2,10,2,10,15,54
2025-11-30 23:44:27.234,5,4,2,10,2,10,2,10,2,10,2,10,15,54
2025-11-30 23:44:33.282,3,4,2,10,2,10,2,10,2,10,1,10,12,54
2025-11-30 23:44:39.339,3,4,2,10,2,10,2,10,2,10,1,10,12,54
2025-11-30 23:44:45.370,3,4,2,10,2,10,2,10,2,10,1,10,12,54
2025-11-30 23:44:51.450,6,5,2,10,2,10,2,10,2,10,3,10,17,55
2025-11-30 23:44:57.510,6,5,2,10,2,10,2,10,2,10,3,10,17,55
2025-11-30 23:45:03.549,3,5,2,10,2,10,2,10,2,10,1,10,12,55
2025-11-30 23:45:09.585,3,5,2,10,2,10,2,10,2,10,1,10,12,55
2025-11-30 23:45:15.670,3,5,2,10,2,10,2,10,2,10,1,10,12,55
