timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2026-01-06 10:47:13,10.0.1.0,10.0.0.4,1418.000,1.418
2026-01-06 10:47:18,10.0.1.1,10.0.0.5,1427.000,1.427
2026-01-06 10:47:21,10.0.1.2,10.0.0.6,1947.000,1.947
2026-01-06 10:47:25,10.0.1.3,10.0.0.7,1837.000,1.837
2026-01-06 10:47:29,10.0.1.4,10.0.0.8,1106.000,1.106
2026-01-06 10:47:33,10.0.1.5,10.0.0.4,509.000,0.509
2026-01-06 10:47:37,10.0.1.6,10.0.0.5,998.000,0.998
2026-01-06 10:47:40,10.0.1.7,10.0.0.6,1206.000,1.206
2026-01-06 10:47:43,10.0.1.8,10.0.0.7,1010.000,1.010
2026-01-06 10:47:46,10.0.1.9,10.0.0.8,1531.000,1.531
2026-01-06 10:47:47,10.0.1.10,10.0.0.4,1716.000,1.716
2026-01-06 10:47:49,10.0.1.11,10.0.0.5,1154.000,1.154
2026-01-06 10:47:53,10.0.1.12,10.0.0.6,508.000,0.508
2026-01-06 10:47:58,10.0.1.13,10.0.0.7,1244.000,1.244
2026-01-06 10:47:59,10.0.1.14,10.0.0.8,340.000,0.340
2026-01-06 10:48:02,10.0.1.15,10.0.0.4,1004.000,1.004
2026-01-06 10:48:06,10.0.1.16,10.0.0.5,1324.000,1.324
2026-01-06 10:48:11,10.0.1.17,10.0.0.6,1148.000,1.148
2026-01-06 10:48:12,10.0.1.18,10.0.0.7,1664.000,1.664
2026-01-06 10:48:15,10.0.1.19,10.0.0.8,849.000,0.849
2026-01-06 10:48:20,10.0.1.20,10.0.0.4,1454.000,1.454
2026-01-06 10:48:22,10.0.1.21,10.0.0.5,1253.000,1.253
2026-01-06 10:48:28,10.0.1.22,10.0.0.6,1244.000,1.244
2026-01-06 10:48:29,10.0.1.23,10.0.0.7,1115.000,1.115
2026-01-06 10:48:32,10.0.1.24,10.0.0.8,823.000,0.823
2026-01-06 10:48:35,10.0.1.25,10.0.0.4,391.000,0.391
2026-01-06 10:48:38,10.0.1.26,10.0.0.5,1219.000,1.219
2026-01-06 10:48:43,10.0.1.27,10.0.0.6,483.000,0.483
2026-01-06 10:48:48,10.0.1.28,10.0.0.7,19725.000,19.725
2026-01-06 10:48:50,10.0.1.29,10.0.0.8,1245.000,1.245
2026-01-06 10:48:52,10.0.1.30,10.0.0.4,1054.000,1.054
2026-01-06 10:48:54,10.0.1.31,10.0.0.5,602.000,0.602
2026-01-06 10:48:57,10.0.1.32,10.0.0.6,989.000,0.989
2026-01-06 10:48:59,10.0.1.33,10.0.0.7,823.000,0.823
2026-01-06 10:49:00,10.0.1.34,10.0.0.8,1146.000,1.146
2026-01-06 10:49:06,10.0.1.35,10.0.0.4,905.000,0.905
2026-01-06 10:49:11,10.0.1.36,10.0.0.5,1021.000,1.021
2026-01-06 10:49:14,10.0.1.37,10.0.0.6,1181.000,1.181
2026-01-06 10:49:19,10.0.1.38,10.0.0.7,1317.000,1.317
2026-01-06 10:49:24,10.0.1.39,10.0.0.8,463.000,0.463
2026-01-06 10:49:26,10.0.1.40,10.0.0.4,1178.000,1.178
2026-01-06 10:49:30,10.0.1.41,10.0.0.5,1112.000,1.112
2026-01-06 10:49:34,10.0.1.42,10.0.0.6,689.000,0.689
2026-01-06 10:49:35,10.0.1.43,10.0.0.7,412.000,0.412
2026-01-06 10:49:39,10.0.1.44,10.0.0.8,990.000,0.990
2026-01-06 10:49:45,10.0.1.45,10.0.0.4,1186.000,1.186
2026-01-06 10:49:48,10.0.1.46,10.0.0.5,1209.000,1.209
2026-01-06 10:49:51,10.0.1.47,10.0.0.6,537.000,0.537
2026-01-06 10:49:54,10.0.1.48,10.0.0.7,997.000,0.997
2026-01-06 10:49:58,10.0.1.49,10.0.0.8,1223.000,1.223
