Timestamp,TOTAL-AMF-CPU
0.0,2
5.266,2
10.57,1
15.872,1
21.134,1
26.472,1
31.798,1
37.074,1
42.392,1
47.67,1
53.006,3
58.37,3
63.65,3
68.977,3
74.29,3
79.604,3
84.978,5
90.314,5
95.586,5
100.868,3
106.21,3
111.522,3
116.778,3
122.042,3
127.362,4
132.602,4
137.854,4
143.083,260
148.414,260
153.694,260
159.097,4
164.378,4
169.651,4
174.975,4
180.27,4
185.606,4
190.93,3
196.21,3
201.55,3
206.827,4
212.106,4
217.458,4
222.691,4
227.93,4
233.165,142
238.389,142
243.722,142
249.006,86
254.322,86
259.558,86
264.87,4
270.156,4
275.398,4
280.686,7
285.974,7
291.262,7
296.51,6
301.774,6
307.006,6
312.23,13
317.534,13
322.814,235
328.065,235
333.394,235
338.686,5
343.998,5
349.37,5
354.634,5
359.975,5
365.346,5
370.646,6
375.939,6
381.259,6
386.578,5
391.87,5
397.222,5
402.482,5
407.758,5
412.994,5
418.21,5
423.538,5
428.822,8
434.157,8
439.474,8
444.767,9
450.078,9
455.366,9
460.634,7
465.878,7
471.206,7
476.502,6
481.862,6
487.142,6
492.414,6
497.746,6
503.04,6
508.422,6
513.794,6
519.07,6
524.386,6
529.674,6
534.941,6
540.218,6
545.538,6
550.79,6
556.104,6
561.414,6
566.694,6
572.018,6
577.386,6
582.67,6
588.046,6
593.354,6
598.69,6
603.991,6
609.254,6
614.57,6
619.867,6
625.168,6
630.52,6
635.874,6
641.162,6
646.474,6
651.794,6
657.054,6
662.347,6
667.613,6
672.856,6
678.226,6
683.57,7
688.846,7
694.146,7
699.49,8
704.854,8
710.226,8
715.606,7
720.882,7
726.266,7
731.566,6
736.882,6
742.258,5
747.523,5
752.822,5
758.17,5
763.452,5
768.778,5
774.09,6
779.418,6
784.754,6
790.118,5
795.446,5
800.81,5
806.098,5
811.378,5
816.69,5
821.964,5
827.279,5
832.547,5
837.906,5
843.274,5
848.571,6
853.882,6
859.202,6
864.491,5
869.782,5
875.078,5
880.406,5
885.738,5
891.006,5
896.402,6
901.746,6
907.024,6
912.314,6
917.634,6
922.942,6
928.259,6
933.598,6
938.891,6
944.23,6
949.49,6
954.798,6
960.067,6
965.378,6
970.696,6
976.018,6
981.334,6
986.63,6
991.922,6
997.198,6
1002.539,6
1007.858,6
1013.194,6
1018.554,6
1023.874,6
1029.19,6
1034.506,6
1039.832,6
1045.13,6
1050.454,6
1055.725,6
1061.042,6
1066.325,6
1071.626,6
1076.898,6
1082.198,6
1087.464,6
1092.76,6
1098.036,6
1103.362,6
1108.665,6
1113.97,6
1119.23,6
1124.514,6
1129.817,6
1135.154,11
1140.498,11
1145.802,11
1151.166,5
1156.495,5
1161.802,5
1167.095,5
1172.355,5
1177.702,5
1183.038,5
1188.358,5
1193.63,15
1198.902,15
1204.234,15
1209.582,5
1214.862,4
1220.162,4
1225.528,4
1230.898,4
1236.178,4
1241.427,4
1246.738,4
1252.115,4
1257.468,4
1262.758,4
1268.046,4
1273.386,4
1278.686,4
1283.962,4
1289.298,4
1294.586,4
1299.866,4
1305.139,4
1310.478,4
1315.786,8
1321.078,8
1326.426,8
1331.73,3
1337.023,3
1342.366,3
1347.678,3
1352.954,3
1358.298,3
1363.634,3
1368.974,3
1374.234,3
1379.562,3
1384.914,3
1390.204,2
1395.534,2
1400.902,2
1406.242,2
1411.578,2
1416.89,2
1422.222,2
1427.538,2
1432.818,3
1438.162,3
