Timestamp,TOTAL-AMF-CPU
0.0,1
6.014,1
12.005,1
17.969,1
23.984,4
29.986,4
35.988,3
42.0,3
47.989,3
54.023,9
60.013,9
66.015,10
71.996,10
78.008,10
84.015,11
89.995,11
95.979,10
101.959,10
107.931,10
113.954,10
119.938,10
125.943,10
131.931,10
137.914,10
143.926,10
149.906,10
155.903,11
161.904,11
167.894,11
173.909,9
179.895,9
185.914,9
191.924,9
197.915,9
203.953,10
209.959,10
215.977,9
221.975,9
227.968,9
233.986,9
239.967,9
245.962,7
251.981,7
258.018,7
264.035,21
270.043,21
276.027,230
282.043,230
288.034,230
294.078,6
300.071,6
306.071,8
312.061,8
318.053,8
324.121,8
330.193,8
336.187,7
342.257,7
348.305,7
354.431,8
360.509,8
366.572,8
372.67,8
378.735,8
384.854,10
390.893,10
396.925,9
402.959,9
409.041,11
415.103,12
421.15,12
427.208,11
433.327,11
439.388,11
445.427,11
451.472,11
457.543,9
463.674,9
469.723,13
475.725,13
481.857,13
487.996,22
494.176,22
500.382,255
506.565,255
512.78,255
519.079,231
525.291,231
531.543,162
537.69,162
544.074,162
550.415,36
556.686,36
562.769,469
568.928,469
574.977,27
581.044,27
587.14,27
593.334,13
599.495,13
605.714,8
611.932,8
618.186,8
624.497,9
630.796,9
637.054,9
643.397,9
649.757,8
656.102,9
662.518,9
668.982,8
675.41,8
681.931,8
688.48,8
694.99,8
701.591,10
708.121,10
714.561,29
720.994,29
727.545,240
734.029,240
740.725,240
747.243,56
753.89,56
760.372,297
767.013,297
773.55,155
780.147,155
786.717,22
793.13,22
799.706,22
806.182,19
812.792,19
819.243,18
825.824,18
832.385,24
838.938,24
845.471,12
852.069,12
858.597,12
865.123,14
871.6,14
878.052,15
884.586,15
891.072,16
897.797,15
904.44,15
911.039,17
917.501,17
924.084,11
930.641,11
937.231,14
943.889,14
950.4,14
957.081,39
963.756,39
970.427,410
977.015,410
983.678,125
990.214,125
996.744,22
1003.388,22
1010.003,19
1016.562,14
1023.159,14
1029.749,11
1036.307,11
1042.831,13
1049.383,13
1055.995,17
1062.686,17
1069.308,17
1075.914,15
1082.419,15
1088.916,15
1095.573,15
1102.135,14
1108.665,14
1115.306,14
1121.912,22
1128.487,22
1135.065,15
1141.603,15
1148.117,15
1154.71,14
1161.355,14
1167.936,18
1174.61,18
1181.336,18
1187.997,18
1194.597,18
1201.254,18
1207.843,18
1214.485,18
1220.964,18
1227.664,13
1234.146,13
1240.779,12
1247.414,12
1253.918,11
1260.392,11
1267.033,11
1273.568,11
1280.212,11
1286.862,11
1293.715,11
1300.459,10
1307.101,10
1313.693,10
1320.263,10
1326.828,10
1333.399,9
1340.033,9
1346.558,11
1353.333,11
1360.103,11
1366.721,11
1373.455,14
1380.057,14
1386.821,14
1393.498,13
1400.079,13
1406.758,12
1413.522,12
1420.312,10
1426.904,10
1433.53,8
1440.229,8
1446.903,8
1453.559,7
1460.183,7
1466.77,6
1473.386,6
1480.043,5
1486.599,5
1493.236,5
1499.8,5
1506.367,5
1512.989,5
1519.567,5
1526.15,6
1532.768,6
1539.347,5
1545.818,5
1552.46,5
1559.05,5
1565.723,5
1572.351,5
1579.001,5
1585.665,6
1592.286,6
1598.924,6
1605.548,6
1612.204,5
1618.98,5
1625.576,5
1632.085,5
1638.718,5
1645.327,6
1651.909,6
1658.516,5
1665.201,5
1671.858,5
1678.402,5
1684.997,5
1691.641,5
1698.159,5
1704.719,6
1711.452,6
1718.036,5
1724.612,5
1731.544,5
1738.146,5
1744.679,5
1751.334,5
1758.029,5
1764.479,6
1771.015,6
1777.596,5
1784.133,5
1790.733,5
1797.266,5
1803.751,5
1810.32,5
1816.915,5
1823.393,6
1830.02,6
1836.69,5
1843.325,5
1849.953,5
1856.544,5
1863.17,5
1869.851,5
1876.462,5
1883.124,6
1889.788,6
1896.424,5
1903.003,5
1909.587,5
1916.131,5
1922.839,5
1929.401,5
1935.963,5
1942.52,5
1949.291,5
1955.905,5
1962.468,6
1969.008,6
1975.52,5
1982.142,5
1988.68,5
1995.28,5
2001.934,6
2008.498,6
2014.99,6
2021.605,5
2028.108,5
2034.842,5
2041.499,5
2048.136,5
2054.695,5
2061.276,5
2067.894,5
2074.439,5
2081.052,6
2087.774,6
2094.535,5
2101.101,5
2107.75,5
2114.306,5
2120.884,5
2127.634,5
2134.293,5
2140.855,6
2147.484,6
2154.039,5
2160.817,5
2167.442,5
2173.969,5
2180.606,5
2187.108,6
2193.666,6
2200.298,5
2207.09,5
2213.77,5
2220.415,5
2226.96,5
2233.466,5
2240.061,5
2246.556,5
2253.238,5
2259.941,6
2266.647,6
2273.393,5
2279.958,5
2286.669,5
2293.207,5
2299.83,5
2306.502,6
2313.246,6
2319.802,5
2326.439,5
2333.174,5
2339.832,5
2346.492,5
2353.058,5
2359.826,5
2366.503,6
2373.15,6
2379.779,6
2386.449,6
2393.182,5
2399.862,5
2406.46,5
2413.206,5
2420.004,5
2426.688,6
2433.327,6
2440.02,5
2446.624,5
2453.126,5
2459.672,5
2466.29,5
2472.989,5
2479.66,5
2486.229,6
2492.717,6
2499.301,5
2505.759,5
2512.265,5
2518.853,6
2525.492,6
2532.01,7
2538.404,7
2544.873,8
2551.342,8
2557.796,8
2564.375,7
2570.819,7
2577.351,7
2583.793,7
2590.286,7
2596.682,7
2603.097,8
2609.55,8
2616.072,8
2622.597,7
2629.168,7
2635.7,2
2642.253,2
2648.757,2
2655.375,2
2661.91,4
2668.367,5
2675.049,5
2681.583,7
2688.086,7
2694.644,7
2701.172,7
2707.667,8
2714.219,8
2720.645,8
2727.181,8
2733.758,8
2740.239,6
2746.751,6
2753.31,6
2759.795,6
2766.294,6
2772.838,6
2779.383,6
2785.964,7
2792.44,7
2799.014,8
2805.552,8
2812.07,7
2818.492,7
2825.013,7
2831.509,7
2838.0,7
2844.407,28
2850.904,28
2857.309,7
2863.739,6
2870.24,6
2876.674,5
2883.173,5
2889.745,6
2896.297,6
2902.891,6
2909.41,6
2915.879,6
2922.362,6
2928.824,6
2935.239,6
2941.83,6
2948.364,6
2954.919,6
2961.351,6
2967.961,7
2974.624,7
2981.204,8
2987.68,8
2994.201,6
3000.859,6
3007.293,5
3013.797,5
3020.357,30
3026.785,30
3033.214,30
3039.732,5
3046.218,5
3052.683,7
3059.098,7
3065.538,5
3072.001,5
3078.463,5
3084.815,5
3091.301,5
3097.686,5
3104.122,5
3110.639,5
3117.158,5
3123.7,5
3130.125,5
3136.605,5
3143.078,5
3149.574,5
3156.049,5
3162.464,5
3168.897,5
3175.477,6
3181.868,6
3188.36,5
3194.827,5
3201.295,18
3207.779,18
3214.179,5
3220.596,4
3227.042,4
3233.548,3
3240.047,3
3246.494,4
3252.842,4
3259.242,4
3265.443,4
3271.746,4
3277.939,3
3284.076,3
3290.232,3
3296.378,3
3302.436,3
3308.467,4
3314.539,4
3320.658,15
3326.662,15
3332.737,15
3338.753,2
3344.779,2
3350.825,2
3356.815,2
3362.8,2
3368.841,2
3374.834,2
3380.839,2
3386.831,2
3392.838,2
3398.857,2
3404.871,2
3410.972,2
3417.032,2
3423.109,2
3429.165,2
3435.226,2
3441.261,1
3447.353,1
3453.468,2
3459.583,2
3465.674,2
3471.795,1
3477.896,1
3484.016,1
3490.127,1
3496.244,1
3502.374,2
3508.462,2
3514.583,1
3520.787,1
3526.886,1
3532.996,1
3539.13,1
3545.253,1
3551.393,1
3557.536,1
3563.681,2
3569.784,2
3575.831,1
3581.905,1
3588.016,1
