timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-11-30 11:26:33,10.0.1.0,10.0.0.4,754.000,0.754
2025-11-30 11:26:38,10.0.1.1,10.0.0.4,450.000,0.450
2025-11-30 11:26:42,10.0.1.2,10.0.0.4,127.000,0.127
2025-11-30 11:26:45,10.0.1.3,10.0.0.4,207.000,0.207
2025-11-30 11:26:49,10.0.1.4,10.0.0.4,429.000,0.429
2025-11-30 11:26:53,10.0.1.5,10.0.0.4,297.000,0.297
2025-11-30 11:26:56,10.0.1.6,10.0.0.4,240.000,0.240
2025-11-30 11:26:59,10.0.1.7,10.0.0.4,307.000,0.307
2025-11-30 11:27:02,10.0.1.8,10.0.0.4,133.000,0.133
2025-11-30 11:27:04,10.0.1.9,10.0.0.4,165.000,0.165
2025-11-30 11:27:06,10.0.1.10,10.0.0.4,157.000,0.157
2025-11-30 11:27:08,10.0.1.11,10.0.0.4,284.000,0.284
2025-11-30 11:27:11,10.0.1.12,10.0.0.4,257.000,0.257
2025-11-30 11:27:16,10.0.1.13,10.0.0.4,268.000,0.268
2025-11-30 11:27:17,10.0.1.14,10.0.0.4,162.000,0.162
2025-11-30 11:27:20,10.0.1.15,10.0.0.4,121.000,0.121
2025-11-30 11:27:23,10.0.1.16,10.0.0.4,295.000,0.295
2025-11-30 11:27:28,10.0.1.17,10.0.0.4,198.000,0.198
2025-11-30 11:27:29,10.0.1.18,10.0.0.4,144.000,0.144
2025-11-30 11:27:32,10.0.1.19,10.0.0.4,314.000,0.314
2025-11-30 11:27:37,10.0.1.20,10.0.0.4,121.000,0.121
2025-11-30 11:27:39,10.0.1.21,10.0.0.4,354.000,0.354
2025-11-30 11:27:44,10.0.1.22,10.0.0.4,115.000,0.115
2025-11-30 11:27:45,10.0.1.23,10.0.0.4,119.000,0.119
2025-11-30 11:27:48,10.0.1.24,10.0.0.4,107.000,0.107
2025-11-30 11:27:51,10.0.1.25,10.0.0.4,201.000,0.201
2025-11-30 11:27:53,10.0.1.26,10.0.0.4,236.000,0.236
2025-11-30 11:27:58,10.0.1.27,10.0.0.4,264.000,0.264
2025-11-30 11:28:04,10.0.1.28,10.0.0.4,301.000,0.301
2025-11-30 11:28:05,10.0.1.29,10.0.0.4,253.000,0.253
2025-11-30 11:28:07,10.0.1.30,10.0.0.4,108.000,0.108
2025-11-30 11:28:09,10.0.1.31,10.0.0.4,189.000,0.189
2025-11-30 11:28:14,10.0.1.33,10.0.0.4,108.000,0.108
2025-11-30 11:28:19,10.0.1.35,10.0.0.4,126.000,0.126
2025-11-30 11:28:27,10.0.1.37,10.0.0.4,119.000,0.119
2025-11-30 11:28:37,10.0.1.39,10.0.0.4,111.000,0.111
2025-11-30 11:28:43,10.0.1.41,10.0.0.4,181.000,0.181
2025-11-30 11:28:47,10.0.1.43,10.0.0.4,139.000,0.139
2025-11-30 11:28:51,10.0.1.42,10.0.0.5,3869503.000,3869.503
2025-11-30 11:28:51,10.0.1.44,10.0.0.5,157.000,0.157
2025-11-30 11:28:52,10.0.1.38,10.0.0.5,328913.000,328.913
2025-11-30 11:28:54,10.0.1.40,10.0.0.5,2555219.000,2555.219
2025-11-30 11:28:54,10.0.1.32,10.0.0.5,2877825.000,2877.825
2025-11-30 11:28:54,10.0.1.34,10.0.0.5,2910313.000,2910.313
2025-11-30 11:28:54,10.0.1.36,10.0.0.5,3119802.000,3119.802
2025-11-30 11:28:56,10.0.1.45,10.0.0.4,275.000,0.275
2025-11-30 11:28:59,10.0.1.46,10.0.0.5,344.000,0.344
2025-11-30 11:29:03,10.0.1.47,10.0.0.4,132.000,0.132
2025-11-30 11:29:05,10.0.1.48,10.0.0.5,115.000,0.115
2025-11-30 11:29:09,10.0.1.49,10.0.0.5,120.000,0.120
2025-11-30 11:29:13,10.0.1.50,10.0.0.5,333.000,0.333
2025-11-30 11:29:14,10.0.1.51,10.0.0.5,191.000,0.191
2025-11-30 11:29:16,10.0.1.52,10.0.0.5,170.000,0.170
2025-11-30 11:29:21,10.0.1.53,10.0.0.5,199.000,0.199
2025-11-30 11:29:23,10.0.1.54,10.0.0.5,111.000,0.111
2025-11-30 11:29:29,10.0.1.55,10.0.0.5,153.000,0.153
2025-11-30 11:29:33,10.0.1.56,10.0.0.5,94.000,0.094
2025-11-30 11:29:38,10.0.1.57,10.0.0.5,491.000,0.491
2025-11-30 11:29:39,10.0.1.58,10.0.0.5,144.000,0.144
2025-11-30 11:29:43,10.0.1.59,10.0.0.5,156.000,0.156
2025-11-30 11:29:48,10.0.1.60,10.0.0.5,276.000,0.276
2025-11-30 11:29:53,10.0.1.61,10.0.0.5,108.000,0.108
2025-11-30 11:29:58,10.0.1.62,10.0.0.5,174.000,0.174
2025-11-30 11:30:01,10.0.1.63,10.0.0.5,109.000,0.109
2025-11-30 11:30:06,10.0.1.65,10.0.0.5,114.000,0.114
2025-11-30 11:30:10,10.0.1.67,10.0.0.5,102.000,0.102
2025-11-30 11:30:17,10.0.1.69,10.0.0.5,131.000,0.131
2025-11-30 11:30:21,10.0.1.71,10.0.0.5,106.000,0.106
2025-11-30 11:30:25,10.0.1.73,10.0.0.5,119.000,0.119
2025-11-30 11:30:31,10.0.1.75,10.0.0.5,119.000,0.119
2025-11-30 11:30:39,10.0.1.77,10.0.0.5,131.000,0.131
2025-11-30 11:30:41,10.0.1.64,10.0.0.6,1789022.000,1789.022
2025-11-30 11:30:41,10.0.1.76,10.0.0.6,1899602.000,1899.602
2025-11-30 11:30:42,10.0.1.68,10.0.0.6,3007756.000,3007.756
2025-11-30 11:30:42,10.0.1.78,10.0.0.6,158.000,0.158
2025-11-30 11:30:42,10.0.1.72,10.0.0.6,345407.000,345.407
2025-11-30 11:30:43,10.0.1.66,10.0.0.6,689960.000,689.960
2025-11-30 11:30:43,10.0.1.79,10.0.0.5,113.000,0.113
2025-11-30 11:30:43,10.0.1.70,10.0.0.6,32779.000,32.779
2025-11-30 11:30:44,10.0.1.80,10.0.0.6,112.000,0.112
2025-11-30 11:30:45,10.0.1.74,10.0.0.6,360548.000,360.548
2025-11-30 11:30:47,10.0.1.81,10.0.0.5,283.000,0.283
2025-11-30 11:30:49,10.0.1.82,10.0.0.6,179.000,0.179
2025-11-30 11:30:54,10.0.1.83,10.0.0.5,322.000,0.322
2025-11-30 11:30:56,10.0.1.84,10.0.0.6,284.000,0.284
2025-11-30 11:31:00,10.0.1.85,10.0.0.5,157.000,0.157
2025-11-30 11:31:01,10.0.1.86,10.0.0.6,150.000,0.150
2025-11-30 11:31:06,10.0.1.87,10.0.0.5,329.000,0.329
2025-11-30 11:31:10,10.0.1.88,10.0.0.6,135.000,0.135
2025-11-30 11:31:13,10.0.1.89,10.0.0.5,256.000,0.256
2025-11-30 11:31:16,10.0.1.90,10.0.0.6,117.000,0.117
2025-11-30 11:31:22,10.0.1.91,10.0.0.5,117.000,0.117
2025-11-30 11:31:24,10.0.1.92,10.0.0.6,102.000,0.102
2025-11-30 11:31:29,10.0.1.93,10.0.0.5,238.000,0.238
2025-11-30 11:31:34,10.0.1.94,10.0.0.6,183.000,0.183
2025-11-30 11:31:38,10.0.1.95,10.0.0.5,213.000,0.213
2025-11-30 11:31:42,10.0.1.96,10.0.0.6,135.000,0.135
2025-11-30 11:31:44,10.0.1.98,10.0.0.6,106.000,0.106
2025-11-30 11:31:53,10.0.1.100,10.0.0.6,113.000,0.113
2025-11-30 11:32:01,10.0.1.102,10.0.0.6,129.000,0.129
2025-11-30 11:32:09,10.0.1.104,10.0.0.6,130.000,0.130
2025-11-30 11:32:19,10.0.1.106,10.0.0.6,130.000,0.130
2025-11-30 11:32:23,10.0.1.108,10.0.0.6,161.000,0.161
2025-11-30 11:32:24,10.0.1.99,10.0.0.7,1005537.000,1005.537
2025-11-30 11:32:26,10.0.1.101,10.0.0.7,2201611.000,2201.611
2025-11-30 11:32:26,10.0.1.103,10.0.0.7,2425253.000,2425.253
2025-11-30 11:32:26,10.0.1.107,10.0.0.7,2876994.000,2876.994
2025-11-30 11:32:28,10.0.1.109,10.0.0.7,109.000,0.109
2025-11-30 11:32:28,10.0.1.97,10.0.0.7,701843.000,701.843
2025-11-30 11:32:29,10.0.1.105,10.0.0.7,1564268.000,1564.268
2025-11-30 11:32:32,10.0.1.110,10.0.0.6,350.000,0.350
2025-11-30 11:32:37,10.0.1.111,10.0.0.7,134.000,0.134
2025-11-30 11:32:40,10.0.1.112,10.0.0.6,121.000,0.121
2025-11-30 11:32:41,10.0.1.113,10.0.0.7,134.000,0.134
2025-11-30 11:32:45,10.0.1.114,10.0.0.6,299.000,0.299
2025-11-30 11:32:49,10.0.1.115,10.0.0.7,235.000,0.235
2025-11-30 11:32:54,10.0.1.116,10.0.0.6,310.000,0.310
