timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-11-30 14:11:39,10.0.1.0,10.0.0.7,3677.000,3.677
2025-11-30 14:11:44,10.0.1.1,10.0.0.4,1235.000,1.235
2025-11-30 14:11:47,10.0.1.2,10.0.0.6,1047.000,1.047
2025-11-30 14:11:50,10.0.1.3,10.0.0.5,1097.000,1.097
2025-11-30 14:11:55,10.0.1.4,10.0.0.8,2241.000,2.241
2025-11-30 14:11:59,10.0.1.5,10.0.0.5,2292.000,2.292
2025-11-30 14:12:02,10.0.1.6,10.0.0.5,110.000,0.110
2025-11-30 14:12:05,10.0.1.7,10.0.0.6,2248.000,2.248
2025-11-30 14:12:08,10.0.1.8,10.0.0.7,2076.000,2.076
2025-11-30 14:12:10,10.0.1.9,10.0.0.8,296.000,0.296
2025-11-30 14:12:11,10.0.1.10,10.0.0.5,2002.000,2.002
2025-11-30 14:12:14,10.0.1.11,10.0.0.6,1987.000,1.987
2025-11-30 14:12:17,10.0.1.12,10.0.0.6,4208.000,4.208
2025-11-30 14:12:22,10.0.1.13,10.0.0.8,888.000,0.888
2025-11-30 14:12:23,10.0.1.14,10.0.0.7,1735.000,1.735
2025-11-30 14:12:26,10.0.1.15,10.0.0.7,1775.000,1.775
2025-11-30 14:12:29,10.0.1.16,10.0.0.5,901.000,0.901
2025-11-30 14:12:34,10.0.1.17,10.0.0.7,2104.000,2.104
2025-11-30 14:12:36,10.0.1.18,10.0.0.6,1700.000,1.700
2025-11-30 14:12:38,10.0.1.19,10.0.0.8,2337.000,2.337
2025-11-30 14:12:44,10.0.1.20,10.0.0.6,1217.000,1.217
2025-11-30 14:12:46,10.0.1.21,10.0.0.5,2715.000,2.715
2025-11-30 14:12:51,10.0.1.22,10.0.0.8,1800.000,1.800
2025-11-30 14:12:52,10.0.1.23,10.0.0.7,617.000,0.617
2025-11-30 14:12:55,10.0.1.24,10.0.0.8,2194.000,2.194
2025-11-30 14:12:59,10.0.1.25,10.0.0.6,369.000,0.369
2025-11-30 14:13:01,10.0.1.26,10.0.0.6,926.000,0.926
2025-11-30 14:13:07,10.0.1.27,10.0.0.8,503.000,0.503
2025-11-30 14:13:11,10.0.1.28,10.0.0.4,1616.000,1.616
2025-11-30 14:13:12,10.0.1.29,10.0.0.5,4673.000,4.673
2025-11-30 14:13:15,10.0.1.30,10.0.0.7,564.000,0.564
2025-11-30 14:13:17,10.0.1.31,10.0.0.7,770.000,0.770
2025-11-30 14:13:19,10.0.1.32,10.0.0.5,957.000,0.957
2025-11-30 14:13:21,10.0.1.33,10.0.0.8,1070.000,1.070
2025-11-30 14:13:22,10.0.1.34,10.0.0.6,420.000,0.420
2025-11-30 14:13:27,10.0.1.35,10.0.0.5,498.000,0.498
2025-11-30 14:13:32,10.0.1.36,10.0.0.5,1853.000,1.853
2025-11-30 14:13:36,10.0.1.37,10.0.0.6,321.000,0.321
2025-11-30 14:13:40,10.0.1.38,10.0.0.7,222.000,0.222
2025-11-30 14:13:45,10.0.1.39,10.0.0.8,3945.000,3.945
2025-11-30 14:13:47,10.0.1.40,10.0.0.6,23829.000,23.829
2025-11-30 14:13:51,10.0.1.41,10.0.0.6,2381.000,2.381
2025-11-30 14:13:54,10.0.1.42,10.0.0.7,2505.000,2.505
2025-11-30 14:13:55,10.0.1.43,10.0.0.5,1120.000,1.120
2025-11-30 14:14:00,10.0.1.44,10.0.0.7,1341.000,1.341
2025-11-30 14:14:05,10.0.1.45,10.0.0.8,1785.000,1.785
2025-11-30 14:14:08,10.0.1.46,10.0.0.8,458.000,0.458
2025-11-30 14:14:11,10.0.1.47,10.0.0.6,1790.000,1.790
2025-11-30 14:14:16,10.0.1.48,10.0.0.5,4017.000,4.017
2025-11-30 14:14:20,10.0.1.49,10.0.0.8,1821.000,1.821
2025-11-30 14:14:24,10.0.1.50,10.0.0.5,3923.000,3.923
2025-11-30 14:14:25,10.0.1.51,10.0.0.8,524.000,0.524
2025-11-30 14:14:28,10.0.1.52,10.0.0.7,443.000,0.443
2025-11-30 14:14:33,10.0.1.53,10.0.0.4,779.000,0.779
2025-11-30 14:14:35,10.0.1.54,10.0.0.6,2568.000,2.568
2025-11-30 14:14:40,10.0.1.55,10.0.0.6,2710.000,2.710
2025-11-30 14:14:45,10.0.1.56,10.0.0.5,197.000,0.197
2025-11-30 14:14:50,10.0.1.57,10.0.0.7,1173.000,1.173
2025-11-30 14:14:52,10.0.1.58,10.0.0.5,2535.000,2.535
2025-11-30 14:14:57,10.0.1.59,10.0.0.8,208.000,0.208
2025-11-30 14:15:03,10.0.1.60,10.0.0.8,1158.000,1.158
2025-11-30 14:15:08,10.0.1.61,10.0.0.5,622.000,0.622
2025-11-30 14:15:13,10.0.1.62,10.0.0.6,1473.000,1.473
2025-11-30 14:15:19,10.0.1.63,10.0.0.6,3005.000,3.005
2025-11-30 14:15:19,10.0.1.64,10.0.0.7,507.000,0.507
2025-11-30 14:15:22,10.0.1.65,10.0.0.7,1056.000,1.056
2025-11-30 14:15:24,10.0.1.66,10.0.0.6,2093.000,2.093
2025-11-30 14:15:27,10.0.1.67,10.0.0.8,742.000,0.742
2025-11-30 14:15:29,10.0.1.68,10.0.0.5,925.000,0.925
2025-11-30 14:15:35,10.0.1.69,10.0.0.7,632.000,0.632
2025-11-30 14:15:36,10.0.1.70,10.0.0.8,292.000,0.292
2025-11-30 14:15:39,10.0.1.71,10.0.0.6,811.000,0.811
2025-11-30 14:15:41,10.0.1.72,10.0.0.7,597.000,0.597
2025-11-30 14:15:44,10.0.1.73,10.0.0.5,524.000,0.524
2025-11-30 14:15:49,10.0.1.74,10.0.0.8,6173.000,6.173
2025-11-30 14:15:50,10.0.1.75,10.0.0.4,821.000,0.821
2025-11-30 14:15:55,10.0.1.76,10.0.0.5,689.000,0.689
2025-11-30 14:15:59,10.0.1.77,10.0.0.6,1008.000,1.008
2025-11-30 14:16:03,10.0.1.78,10.0.0.7,7020.000,7.020
2025-11-30 14:16:03,10.0.1.79,10.0.0.8,1752.000,1.752
2025-11-30 14:16:04,10.0.1.80,10.0.0.5,319.000,0.319
2025-11-30 14:16:07,10.0.1.81,10.0.0.7,4521.000,4.521
2025-11-30 14:16:08,10.0.1.82,10.0.0.8,1874.000,1.874
2025-11-30 14:16:14,10.0.1.83,10.0.0.7,6899.000,6.899
2025-11-30 14:16:16,10.0.1.84,10.0.0.4,501.000,0.501
2025-11-30 14:16:22,10.0.1.85,10.0.0.4,1629.000,1.629
2025-11-30 14:16:23,10.0.1.86,10.0.0.4,2070.000,2.070
2025-11-30 14:16:29,10.0.1.87,10.0.0.4,1945.000,1.945
2025-11-30 14:16:33,10.0.1.88,10.0.0.4,1136.000,1.136
2025-11-30 14:16:36,10.0.1.89,10.0.0.4,1449.000,1.449
2025-11-30 14:16:40,10.0.1.90,10.0.0.4,3538.000,3.538
2025-11-30 14:16:45,10.0.1.91,10.0.0.4,2033.000,2.033
2025-11-30 14:16:47,10.0.1.92,10.0.0.4,114.000,0.114
2025-11-30 14:16:52,10.0.1.93,10.0.0.4,284.000,0.284
2025-11-30 14:16:57,10.0.1.94,10.0.0.4,1503.000,1.503
2025-11-30 14:17:03,10.0.1.95,10.0.0.4,3491.000,3.491
2025-11-30 14:17:06,10.0.1.96,10.0.0.4,1760.000,1.760
2025-11-30 14:17:09,10.0.1.97,10.0.0.4,1321.000,1.321
2025-11-30 14:17:11,10.0.1.98,10.0.0.4,4396.000,4.396
2025-11-30 14:17:16,10.0.1.99,10.0.0.4,275.000,0.275
