Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-11-30 19:41:01.848,0,1,1,10,1,9,1,9,1,9,1,9,5,47
2025-11-30 19:41:07.259,0,1,1,10,1,9,1,9,1,9,1,9,5,47
2025-11-30 19:41:13.194,0,1,1,10,1,9,1,9,1,9,1,9,5,47
2025-11-30 19:41:19.100,0,1,1,10,1,9,1,9,1,9,1,9,5,47
2025-11-30 19:41:24.440,0,1,1,10,1,9,1,9,1,9,1,9,5,47
2025-11-30 19:41:29.795,0,1,1,10,1,9,1,9,1,9,1,9,5,47
2025-11-30 19:41:35.242,0,1,1,10,1,9,1,9,1,9,1,9,5,47
2025-11-30 19:41:40.578,0,1,1,10,1,9,1,9,1,9,1,9,5,47
2025-11-30 19:41:46.096,0,1,1,10,1,9,1,9,1,9,1,9,5,47
2025-11-30 19:41:51.903,0,1,1,11,1,9,1,9,1,9,1,9,5,48
2025-11-30 19:41:58.161,0,1,1,11,1,9,1,9,1,9,1,9,5,48
2025-11-30 19:42:03.534,1,1,1,11,1,9,1,9,1,10,1,9,6,49
2025-11-30 19:42:08.857,1,1,1,11,1,9,1,9,1,10,1,9,6,49
2025-11-30 19:42:14.278,1,2,1,11,1,9,1,9,1,10,1,9,6,50
2025-11-30 19:42:19.893,1,2,1,11,1,9,1,9,1,10,1,9,6,50
2025-11-30 19:42:27.016,2,2,1,11,1,9,1,10,1,10,1,9,7,51
2025-11-30 19:42:32.345,2,2,1,11,1,9,1,10,1,10,1,9,7,51
2025-11-30 19:42:37.704,2,3,1,11,1,9,1,10,1,10,1,9,7,52
2025-11-30 19:42:43.897,2,3,1,11,1,9,1,10,1,10,1,9,7,52
2025-11-30 19:42:49.893,2,3,1,11,1,9,1,10,1,10,1,10,7,53
2025-11-30 19:42:55.480,2,3,1,11,1,10,1,10,1,10,1,10,7,54
2025-11-30 19:43:00.932,2,3,1,11,1,10,1,10,1,10,1,10,7,54
2025-11-30 19:43:06.915,1,3,1,11,1,10,1,10,1,10,1,10,6,54
2025-11-30 19:43:12.442,1,3,1,11,1,10,1,10,1,10,1,10,6,54
2025-11-30 19:43:18.221,1,4,1,11,1,10,1,10,1,10,1,10,6,55
2025-11-30 19:43:23.649,1,4,1,11,1,10,1,10,1,10,1,10,6,55
2025-11-30 19:43:29.185,2,4,1,11,1,10,1,10,1,10,1,10,7,55
2025-11-30 19:43:34.502,2,4,1,11,1,10,1,10,1,10,1,10,7,55
2025-11-30 19:43:40.154,1,5,1,11,1,10,1,10,1,10,1,10,6,56
2025-11-30 19:43:45.592,1,5,1,11,1,10,1,10,1,10,1,10,6,56
2025-11-30 19:43:50.926,2,5,1,11,1,10,1,10,1,10,1,10,7,56
2025-11-30 19:43:56.312,2,5,1,11,1,10,1,10,1,10,1,10,7,56
