Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-11-30 17:36:48.656,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:36:57.390,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:02.720,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:08.068,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:14.099,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:19.530,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:25.051,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:30.400,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:36.370,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:41.699,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:47.404,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:52.727,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:37:58.067,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:38:03.449,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:38:08.837,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:38:16.043,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:38:22.457,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:38:27.782,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:38:33.229,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:38:38.662,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:38:44.032,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:38:49.401,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:38:54.787,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:39:00.217,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:39:05.824,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:39:11.483,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:39:17.062,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:39:23.064,1,1,1,9,1,21,1,9,1,41,1,9,6,90
2025-11-30 17:39:29.574,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:39:35.150,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:39:41.062,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:39:52.564,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:39:57.935,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:40:03.291,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:40:08.648,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:40:14.060,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:40:19.745,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:40:27.546,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:40:32.906,0,1,1,9,1,21,1,9,1,41,1,9,5,90
2025-11-30 17:40:40.060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30 17:41:01.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30 17:41:08.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30 17:41:43.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30 17:41:49.290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30 17:41:54.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30 17:42:00.340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30 17:42:05.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-30 17:42:11.152,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:42:16.991,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:42:22.473,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:42:27.838,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:42:33.208,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:42:39.309,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:42:45.259,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:42:50.587,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:42:55.964,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:43:01.570,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:43:08.064,0,1,1,9,1,21,1,10,1,41,1,9,5,91
2025-11-30 17:43:16.065,1,1,1,9,1,21,1,10,1,41,1,9,6,91
2025-11-30 17:43:25.270,1,1,1,9,1,21,1,10,1,41,1,9,6,91
2025-11-30 17:43:32.399,2,5,1,9,1,21,1,10,1,41,1,9,7,95
2025-11-30 17:43:37.747,2,5,1,9,1,21,1,10,1,41,1,9,7,95
2025-11-30 17:43:44.064,2,5,1,9,1,21,1,10,1,41,1,9,7,95
2025-11-30 17:43:51.536,2,5,1,9,1,21,1,10,1,41,1,9,7,95
2025-11-30 17:43:58.247,2,5,1,9,1,22,1,10,1,41,1,9,7,96
