Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-11-30 20:34:03.051,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:08.321,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:13.653,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:18.973,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:24.249,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:29.585,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:34.881,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:40.237,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:45.577,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:50.887,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:34:56.289,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:35:01.650,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:35:06.953,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:35:12.230,0,1,1,41,1,41,1,41,1,41,1,41,5,206
2025-11-30 20:35:17.537,1,1,1,42,1,42,1,41,1,41,1,41,6,208
2025-11-30 20:35:22.901,1,1,1,42,1,42,1,41,1,41,1,41,6,208
2025-11-30 20:35:28.219,1,1,1,42,1,42,1,41,1,41,1,41,6,208
2025-11-30 20:35:33.513,1,2,1,42,1,42,1,42,1,42,1,42,6,212
2025-11-30 20:35:38.792,1,2,1,42,1,42,1,42,1,42,1,42,6,212
2025-11-30 20:35:44.083,1,2,1,42,1,42,1,42,1,42,1,42,6,212
2025-11-30 20:35:49.437,2,2,1,42,1,42,1,42,1,42,1,42,7,212
2025-11-30 20:35:54.725,2,2,1,42,1,42,1,42,1,42,1,42,7,212
2025-11-30 20:36:00.065,1,3,1,42,1,42,1,42,1,42,1,42,6,213
2025-11-30 20:36:05.417,1,3,1,42,1,42,1,42,1,42,1,42,6,213
2025-11-30 20:36:10.680,1,3,1,42,1,42,1,42,1,42,1,42,6,213
2025-11-30 20:36:16.025,2,3,1,42,1,42,1,42,1,42,1,42,7,213
2025-11-30 20:36:21.317,2,3,1,42,1,42,1,42,1,42,1,42,7,213
2025-11-30 20:36:26.612,2,3,1,42,1,42,1,42,1,42,1,42,7,213
2025-11-30 20:36:31.957,2,3,1,42,1,42,1,42,1,42,1,42,7,213
2025-11-30 20:36:37.229,2,3,1,42,1,42,1,42,1,42,1,42,7,213
2025-11-30 20:36:42.473,2,3,1,42,1,42,1,42,1,42,1,42,7,213
2025-11-30 20:36:47.839,1,5,1,42,1,42,1,42,1,42,1,42,6,215
2025-11-30 20:36:53.137,1,5,1,42,1,42,1,42,1,42,1,42,6,215
2025-11-30 20:36:58.433,1,5,1,42,1,42,1,42,1,42,1,42,6,215
2025-11-30 20:37:03.700,1,5,1,42,1,42,1,42,1,42,1,42,6,215
2025-11-30 20:37:08.966,1,5,1,42,1,42,1,42,1,42,1,42,6,215
2025-11-30 20:37:14.337,1,5,1,42,1,42,1,42,1,42,1,42,6,215
