timestamp,gnb_ip,amf_ip,latency_us,latency_ms
2025-11-30 13:34:00,10.0.1.0,10.0.0.7,1790.000,1.790
2025-11-30 13:34:05,10.0.1.1,10.0.0.4,2396.000,2.396
2025-11-30 13:34:08,10.0.1.2,10.0.0.6,1679.000,1.679
2025-11-30 13:34:12,10.0.1.3,10.0.0.5,1165.000,1.165
2025-11-30 13:34:16,10.0.1.4,10.0.0.8,1458.000,1.458
2025-11-30 13:34:20,10.0.1.5,10.0.0.5,887.000,0.887
2025-11-30 13:34:24,10.0.1.6,10.0.0.5,1914.000,1.914
2025-11-30 13:34:27,10.0.1.7,10.0.0.6,536.000,0.536
2025-11-30 13:34:30,10.0.1.8,10.0.0.7,1159.000,1.159
2025-11-30 13:34:32,10.0.1.9,10.0.0.8,834.000,0.834
2025-11-30 13:34:34,10.0.1.10,10.0.0.5,490.000,0.490
2025-11-30 13:34:36,10.0.1.11,10.0.0.6,1320.000,1.320
2025-11-30 13:34:39,10.0.1.12,10.0.0.6,561.000,0.561
2025-11-30 13:34:45,10.0.1.13,10.0.0.8,1536.000,1.536
2025-11-30 13:34:46,10.0.1.14,10.0.0.7,1222.000,1.222
2025-11-30 13:34:49,10.0.1.15,10.0.0.7,1261.000,1.261
2025-11-30 13:34:53,10.0.1.16,10.0.0.5,1438.000,1.438
2025-11-30 13:34:58,10.0.1.17,10.0.0.7,1618.000,1.618
2025-11-30 13:34:59,10.0.1.18,10.0.0.6,584.000,0.584
2025-11-30 13:35:02,10.0.1.19,10.0.0.8,514.000,0.514
2025-11-30 13:35:07,10.0.1.20,10.0.0.6,1641.000,1.641
2025-11-30 13:35:09,10.0.1.21,10.0.0.5,601.000,0.601
2025-11-30 13:35:14,10.0.1.22,10.0.0.8,1226.000,1.226
2025-11-30 13:35:16,10.0.1.23,10.0.0.7,1683.000,1.683
2025-11-30 13:35:19,10.0.1.24,10.0.0.8,1177.000,1.177
2025-11-30 13:35:22,10.0.1.25,10.0.0.6,971.000,0.971
2025-11-30 13:35:25,10.0.1.26,10.0.0.6,1002.000,1.002
2025-11-30 13:35:30,10.0.1.27,10.0.0.8,1885.000,1.885
2025-11-30 13:35:35,10.0.1.28,10.0.0.4,934.000,0.934
2025-11-30 13:35:37,10.0.1.29,10.0.0.5,555.000,0.555
2025-11-30 13:35:39,10.0.1.30,10.0.0.7,847.000,0.847
2025-11-30 13:35:41,10.0.1.31,10.0.0.7,522.000,0.522
2025-11-30 13:35:44,10.0.1.32,10.0.0.5,589.000,0.589
2025-11-30 13:35:46,10.0.1.33,10.0.0.8,489.000,0.489
2025-11-30 13:35:47,10.0.1.34,10.0.0.6,971.000,0.971
2025-11-30 13:35:52,10.0.1.35,10.0.0.5,578.000,0.578
2025-11-30 13:35:58,10.0.1.36,10.0.0.5,1119.000,1.119
2025-11-30 13:36:01,10.0.1.37,10.0.0.6,765.000,0.765
2025-11-30 13:36:05,10.0.1.38,10.0.0.7,1723.000,1.723
2025-11-30 13:36:11,10.0.1.39,10.0.0.8,1064.000,1.064
2025-11-30 13:36:13,10.0.1.40,10.0.0.6,1432.000,1.432
2025-11-30 13:36:17,10.0.1.41,10.0.0.6,1421.000,1.421
2025-11-30 13:36:21,10.0.1.42,10.0.0.7,1302.000,1.302
2025-11-30 13:36:22,10.0.1.43,10.0.0.5,1541.000,1.541
2025-11-30 13:36:26,10.0.1.44,10.0.0.7,894.000,0.894
2025-11-30 13:36:31,10.0.1.45,10.0.0.8,993.000,0.993
2025-11-30 13:36:35,10.0.1.46,10.0.0.8,704.000,0.704
2025-11-30 13:36:38,10.0.1.47,10.0.0.6,1040.000,1.040
2025-11-30 13:36:40,10.0.1.48,10.0.0.5,1304.000,1.304
2025-11-30 13:36:45,10.0.1.49,10.0.0.8,1256.000,1.256
2025-11-30 13:36:49,10.0.1.50,10.0.0.5,1678.000,1.678
2025-11-30 13:36:50,10.0.1.51,10.0.0.8,1296.000,1.296
2025-11-30 13:36:53,10.0.1.52,10.0.0.7,1987.000,1.987
2025-11-30 13:36:58,10.0.1.53,10.0.0.4,1386.000,1.386
2025-11-30 13:37:00,10.0.1.54,10.0.0.6,981.000,0.981
2025-11-30 13:37:06,10.0.1.55,10.0.0.6,1041.000,1.041
2025-11-30 13:37:10,10.0.1.56,10.0.0.5,1297.000,1.297
2025-11-30 13:37:15,10.0.1.57,10.0.0.7,1397.000,1.397
2025-11-30 13:37:16,10.0.1.58,10.0.0.5,458.000,0.458
2025-11-30 13:37:21,10.0.1.59,10.0.0.8,1214.000,1.214
2025-11-30 13:37:26,10.0.1.60,10.0.0.8,1618.000,1.618
2025-11-30 13:37:31,10.0.1.61,10.0.0.5,1077.000,1.077
2025-11-30 13:37:37,10.0.1.62,10.0.0.6,1402.000,1.402
2025-11-30 13:37:40,10.0.1.63,10.0.0.6,637.000,0.637
2025-11-30 13:37:41,10.0.1.64,10.0.0.7,1536.000,1.536
2025-11-30 13:37:45,10.0.1.65,10.0.0.7,1434.000,1.434
2025-11-30 13:37:47,10.0.1.66,10.0.0.6,1241.000,1.241
2025-11-30 13:37:49,10.0.1.67,10.0.0.8,1509.000,1.509
2025-11-30 13:37:52,10.0.1.68,10.0.0.5,1025.000,1.025
2025-11-30 13:37:57,10.0.1.69,10.0.0.7,633.000,0.633
2025-11-30 13:37:58,10.0.1.70,10.0.0.8,1288.000,1.288
2025-11-30 13:38:01,10.0.1.71,10.0.0.6,546.000,0.546
