Timestamp,LB-CPU(m),LB-MEM(Mi),amf-1-CPU(m),amf-1-MEM(Mi),amf-2-CPU(m),amf-2-MEM(Mi),amf-3-CPU(m),amf-3-MEM(Mi),amf-4-CPU(m),amf-4-MEM(Mi),amf-5-CPU(m),amf-5-MEM(Mi),TOTAL-AMF-CPU,TOTAL-AMF-MEM
2025-11-30 19:03:35.046,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-11-30 19:03:41.133,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-11-30 19:03:47.215,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-11-30 19:03:53.250,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-11-30 19:03:59.271,0,1,1,9,1,9,1,9,1,9,1,9,5,46
2025-11-30 19:04:05.338,1,1,1,9,1,9,1,9,1,9,1,9,6,46
2025-11-30 19:04:11.401,1,1,1,9,1,9,1,9,1,9,1,9,6,46
2025-11-30 19:04:17.498,2,1,1,9,1,9,3,10,3,9,1,9,11,47
2025-11-30 19:04:23.573,2,1,1,9,1,9,3,10,3,9,1,9,11,47
2025-11-30 19:04:29.650,3,2,3,9,1,9,1,10,1,9,1,9,10,48
2025-11-30 19:04:35.700,3,2,3,9,1,9,1,10,1,9,3,9,12,48
2025-11-30 19:04:41.763,3,2,1,9,5,9,1,10,2,9,3,9,15,48
2025-11-30 19:04:47.786,3,2,1,9,5,9,1,10,2,9,2,9,14,48
2025-11-30 19:04:53.853,4,3,1,9,2,9,3,10,2,9,2,9,14,49
2025-11-30 19:04:59.884,4,3,1,9,2,9,2,10,2,9,2,9,13,49
2025-11-30 19:05:05.940,4,3,1,9,1,9,2,10,2,9,2,9,12,49
2025-11-30 19:05:12.002,4,3,1,9,1,9,2,10,3,10,2,10,13,51
2025-11-30 19:05:18.065,4,4,1,9,2,10,2,10,3,10,2,10,14,53
2025-11-30 19:05:24.106,4,4,1,9,2,10,3,10,1,10,2,10,13,53
2025-11-30 19:05:30.173,4,4,1,9,2,10,3,10,1,10,2,10,13,53
2025-11-30 19:05:36.199,4,4,1,9,1,10,3,10,2,10,3,10,14,53
2025-11-30 19:05:42.252,4,4,1,9,1,10,3,10,2,10,3,10,14,53
2025-11-30 19:05:48.303,4,4,1,9,3,10,1,10,3,10,2,10,14,53
2025-11-30 19:05:54.373,3,4,1,9,3,10,1,10,3,10,2,10,13,53
2025-11-30 19:06:00.393,5,5,1,9,2,10,2,10,3,10,2,10,15,54
2025-11-30 19:06:06.447,5,5,1,9,2,10,2,10,3,10,2,10,15,54
2025-11-30 19:06:12.494,3,5,1,9,2,10,2,10,1,10,1,10,10,54
2025-11-30 19:06:18.566,3,5,1,9,2,10,2,10,1,10,1,10,10,54
2025-11-30 19:06:24.618,3,6,1,9,2,10,2,10,2,10,1,10,11,55
2025-11-30 19:06:30.646,3,6,1,9,2,10,2,10,2,10,1,10,11,55
2025-11-30 19:06:36.683,4,6,1,9,2,10,2,10,2,10,2,10,13,55
2025-11-30 19:06:42.731,4,6,1,9,2,10,2,10,2,10,2,10,13,55
2025-11-30 19:06:48.760,4,7,1,9,2,10,2,10,2,10,2,10,13,56
2025-11-30 19:06:54.823,4,7,1,9,2,10,2,10,2,10,2,10,13,56
2025-11-30 19:07:00.869,4,7,1,9,2,10,2,10,2,10,3,10,14,56
2025-11-30 19:07:06.932,4,7,1,9,2,10,2,10,2,10,3,10,14,56
2025-11-30 19:07:13.002,4,7,2,9,1,10,2,10,2,10,1,10,12,56
2025-11-30 19:07:19.040,4,7,2,9,1,10,2,10,2,10,1,10,12,56
2025-11-30 19:07:25.068,4,8,2,9,4,10,2,10,1,10,1,10,14,57
2025-11-30 19:07:31.090,4,8,2,9,4,10,2,10,1,10,1,10,14,57
2025-11-30 19:07:37.161,3,8,1,9,2,10,1,10,2,10,2,10,11,57
2025-11-30 19:07:43.195,3,8,1,9,2,10,1,10,2,10,2,10,11,57
2025-11-30 19:07:49.295,4,9,1,9,1,10,2,10,1,10,1,10,10,58
